signal_id,ticker,isu_cd,market,name,entry_signal_date,entry_execution_date,entry_open,shares,original_shares,cost_basis,full_exit_signal_date,full_exit_execution_date,full_exit_type,partial_profit_taken,partial_execution_date,partial_sale_price,partial_sold_shares,final_valuation_price,final_valuation_date
084110|KR7084110006|KOSDAQ|2021-04-09,084110,KR7084110006,KOSDAQ,휴온스글로벌,2021-04-09,2021-04-12,34626.0,72,144,34626.0,2021-08-31,2021-09-06,EXIT4_SCORE_DRAWDOWN_GE_15,True,2021-04-26,54372.0,72,69253.0,2021-09-06
028050|KR7028050003|KOSPI|2021-04-30,028050,KR7028050003,KOSPI,삼성E&A,2021-04-30,2021-05-03,17200.0,145,290,17200.0,2021-09-30,2021-10-05,EXIT4_SCORE_DRAWDOWN_GE_15,True,2021-09-23,27000.0,145,25450.0,2021-10-05
041510|KR7041510009|KOSDAQ|2021-06-04,041510,KR7041510009,KOSDAQ,에스엠,2021-06-04,2021-06-07,44500.0,56,112,44500.0,2021-10-31,2021-11-01,EXIT4_SCORE_DRAWDOWN_GE_15,True,2021-08-09,68900.0,56,79400.0,2021-11-01
003670|KR7003670007|KOSPI|2022-08-19,003670,KR7003670007,KOSPI,포스코퓨처엠,2022-08-19,2022-08-22,149274.0,12,23,149274.0,2023-05-31,2023-06-05,EXIT4_SCORE_DRAWDOWN_GE_15,True,2023-03-13,236027.0,11,368823.0,2023-06-05
015750|KR7015750003|KOSDAQ|2023-03-31,015750,KR7015750003,KOSDAQ,성우하이텍,2023-03-31,2023-04-03,7410.0,1,2,7410.0,2023-07-31,2023-08-07,EXIT4_SCORE_DRAWDOWN_GE_15,True,2023-07-10,13780.0,1,11300.0,2023-08-07
079370|KR7079370003|KOSDAQ|2022-11-18,079370,KR7079370003,KOSDAQ,제우스,2022-11-18,2022-11-21,10782.0,9,18,10782.0,2023-08-14,2023-08-21,FUNDAMENTAL_A_OPERATING_LOSS,True,2023-07-24,16349.0,9,14266.0,2023-08-21
010120|KR7010120004|KOSPI|2021-08-20,010120,KR7010120004,KOSPI,LS ELECTRIC,2021-08-20,2021-08-23,12280.0,204,407,12280.0,2023-10-31,2023-11-06,EXIT4_SCORE_DRAWDOWN_GE_15,True,2023-07-31,20180.0,203,13860.0,2023-11-06
001060|KR7001060003|KOSPI|2022-03-25,001060,KR7001060003,KOSPI,JW중외제약,2022-03-25,2022-03-28,27624.0,91,181,27624.0,2023-10-31,2023-11-06,EXIT4_SCORE_DRAWDOWN_GE_15,True,2023-08-14,42812.0,90,26432.0,2023-11-06
093320|KR7093320000|KOSDAQ|2023-03-10,093320,KR7093320000,KOSDAQ,케이아이엔엑스,2023-03-10,2023-03-13,64500.0,20,40,64500.0,2024-01-31,2024-02-05,EXIT4_SCORE_DRAWDOWN_GE_15,True,2023-12-18,113400.0,20,100300.0,2024-02-05
036830|KR7036830008|KOSDAQ|2023-12-15,036830,KR7036830008,KOSDAQ,솔브레인홀딩스,2023-12-15,2023-12-18,45950.0,25,49,45950.0,2024-02-29,2024-03-04,EXIT4_SCORE_DRAWDOWN_GE_15,True,2024-02-26,69700.0,24,69700.0,2024-03-04
