portfolio,signal_id,ticker,isu_cd,market,name,signal_date,scheduled_execution_date,fast_score,pattern_score,ranking,execution_result
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_007340_KR7007340003_KOSPI_01,007340,KR7007340003,KOSPI,DN오토모티브,2021-04-02,2021-04-05,84.55,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_145720_KR7145720009_KOSPI_01,145720,KR7145720009,KOSPI,덴티움,2021-04-02,2021-04-05,83.24,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_034810_KR7034810002_KOSDAQ_01,034810,KR7034810002,KOSDAQ,해성산업,2021-04-02,2021-04-05,80.99,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_036800_KR7036800001_KOSDAQ_01,036800,KR7036800001,KOSDAQ,나이스정보통신,2021-04-02,2021-04-05,79.8,,4,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_265520_KR7265520007_KOSDAQ_01,265520,KR7265520007,KOSDAQ,AP시스템,2021-04-02,2021-04-05,79.8,,5,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_084110_KR7084110006_KOSDAQ_01,084110,KR7084110006,KOSDAQ,휴온스글로벌,2021-04-09,2021-04-12,77.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_079550_KR7079550000_KOSPI_01,079550,KR7079550000,KOSPI,LIG디펜스앤에어로스페이스,2021-04-09,2021-04-12,77.74,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_192400_KR7192400000_KOSPI_01,192400,KR7192400000,KOSPI,쿠쿠홀딩스,2021-04-09,2021-04-12,77.74,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_253450_KR7253450001_KOSDAQ_01,253450,KR7253450001,KOSDAQ,스튜디오드래곤,2021-04-09,2021-04-12,76.13,,4,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_025000_KR7025000001_KOSPI_01,025000,KR7025000001,KOSPI,KPX케미칼,2021-04-09,2021-04-12,75.55,,5,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_002810_KR7002810000_KOSPI_01,002810,KR7002810000,KOSPI,삼영무역,2021-04-23,2021-04-26,81.55,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_028050_KR7028050003_KOSPI_01,028050,KR7028050003,KOSPI,삼성E&A,2021-04-30,2021-05-03,77.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_115390_KR7115390007_KOSPI_01,115390,KR7115390007,KOSPI,락앤락,2021-04-30,2021-05-03,73.24,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_024720_KR7024720005_KOSPI_01,024720,KR7024720005,KOSPI,콜마홀딩스,2021-05-07,2021-05-10,76.8,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_023410_KR7023410004_KOSDAQ_01,023410,KR7023410004,KOSDAQ,유진기업,2021-05-14,2021-05-17,80.74,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_037710_KR7037710001_KOSPI_01,037710,KR7037710001,KOSPI,광주신세계,2021-05-14,2021-05-17,79.3,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_049770_KR7049770001_KOSPI_01,049770,KR7049770001,KOSPI,동원F&B,2021-05-14,2021-05-17,77.99,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_105630_KR7105630008_KOSPI_01,105630,KR7105630008,KOSPI,한세실업,2021-05-14,2021-05-17,77.99,,4,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_072710_KR7072710007_KOSPI_01,072710,KR7072710007,KOSPI,농심홀딩스,2021-05-14,2021-05-17,74.05,,5,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_101530_KR7101530004_KOSPI_01,101530,KR7101530004,KOSPI,해태제과식품,2021-05-14,2021-05-17,72.74,,6,EXECUTED
