candidate_id,ticker,isu_cd,market,entry_signal_information_date,quarter,initial_evaluable,initial_failure_reason,final_evaluable,final_classification,required_latest_fy,required_latest_quarter,required_prior_year_same_quarter,opendart_live_used,opendart_call_count,selected_receipt_dates,future_filing_used,evaluation_error,local_cache_missing,missing_sources,retry_count
001740|KR7001740000|KOSPI|2021-04-02,001740,KR7001740000,KOSPI,2021-04-02,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,LOCAL_CACHE_MISS_PENDING_OPENDART,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-15|2020-08-14|2020-11-16|2021-03-19|2021-03-22,False,,True,"[{""bsns_year"": ""2020"", ""rcept_dt"": ""20210322"", ""rcept_no"": ""20210322000867"", ""reprt_code"": ""11011""}]",
004800|KR7004800009|KOSPI|2021-04-02,004800,KR7004800009,KOSPI,2021-04-02,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-15|2020-08-14|2020-11-16|2021-03-24,False,,False,[],
034220|KR7034220004|KOSPI|2021-04-02,034220,KR7034220004,KOSPI,2021-04-02,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,False,TRUE_DATA_UNAVAILABLE,,,,False,0,2019-05-15|2019-08-14|2019-11-14|2020-05-15|2020-08-14|2020-11-16,False,,False,[],
034810|KR7034810002|KOSDAQ|2021-04-02,034810,KR7034810002,KOSDAQ,2021-04-02,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-11|2020-08-14|2020-11-30|2021-03-18,False,,False,[],
001740|KR7001740000|KOSPI|2021-04-09,001740,KR7001740000,KOSPI,2021-04-09,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,LOCAL_CACHE_MISS_PENDING_OPENDART,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-15|2020-08-14|2020-11-16|2021-03-19|2021-03-22,False,,True,"[{""bsns_year"": ""2020"", ""rcept_dt"": ""20210322"", ""rcept_no"": ""20210322000867"", ""reprt_code"": ""11011""}]",
004800|KR7004800009|KOSPI|2021-04-09,004800,KR7004800009,KOSPI,2021-04-09,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-15|2020-08-14|2020-11-16|2021-03-24,False,,False,[],
034220|KR7034220004|KOSPI|2021-04-09,034220,KR7034220004,KOSPI,2021-04-09,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,False,TRUE_DATA_UNAVAILABLE,,,,False,0,2019-05-15|2019-08-14|2019-11-14|2020-05-15|2020-08-14|2020-11-16,False,,False,[],
034810|KR7034810002|KOSDAQ|2021-04-09,034810,KR7034810002,KOSDAQ,2021-04-09,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-11|2020-08-14|2020-11-30|2021-03-18,False,,False,[],
115960|KR7115960007|KOSDAQ|2021-04-09,115960,KR7115960007,KOSDAQ,2021-04-09,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-13|2020-05-15|2020-08-14|2020-11-16|2021-03-23,False,,False,[],
004800|KR7004800009|KOSPI|2021-04-16,004800,KR7004800009,KOSPI,2021-04-16,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-15|2020-08-14|2020-11-16|2021-03-24,False,,False,[],
034220|KR7034220004|KOSPI|2021-04-16,034220,KR7034220004,KOSPI,2021-04-16,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,False,TRUE_DATA_UNAVAILABLE,,,,False,0,2019-05-15|2019-08-14|2019-11-14|2020-05-15|2020-08-14|2020-11-16,False,,False,[],
115960|KR7115960007|KOSDAQ|2021-04-16,115960,KR7115960007,KOSDAQ,2021-04-16,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-13|2020-05-15|2020-08-14|2020-11-16|2021-03-23,False,,False,[],
004800|KR7004800009|KOSPI|2021-04-23,004800,KR7004800009,KOSPI,2021-04-23,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-15|2020-08-14|2020-11-16|2021-03-24,False,,False,[],
034220|KR7034220004|KOSPI|2021-04-23,034220,KR7034220004,KOSPI,2021-04-23,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,False,TRUE_DATA_UNAVAILABLE,,,,False,0,2019-05-15|2019-08-14|2019-11-14|2020-05-15|2020-08-14|2020-11-16,False,,False,[],
115390|KR7115390007|KOSPI|2021-04-30,115390,KR7115390007,KOSPI,2021-04-30,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-14|2019-08-14|2019-11-14|2020-03-30|2020-05-15|2020-08-14|2020-11-16|2021-03-25,False,,False,[],
031440|KR7031440001|KOSPI|2021-05-07,031440,KR7031440001,KOSPI,2021-05-07,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-19|2020-08-14|2020-11-26|2021-03-16,False,,False,[],
049770|KR7049770001|KOSPI|2021-05-07,049770,KR7049770001,KOSPI,2021-05-07,2021Q2,False,ANNUAL_DATA_UNAVAILABLE,True,EVALUABLE_RECOVERED_FROM_CACHE,2020.0,2020Q4,2019Q4,False,0,2019-05-15|2019-08-14|2019-11-14|2020-03-30|2020-05-14|2020-08-14|2020-11-13|2021-03-16,False,,False,[],
