strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_market_cap,entry_avg_trading_value_20d,entry_signal_close,entry_market_cap_pass,entry_trading_value_pass,entry_close_pass,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_state,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,loss_guard_triggered,loss_guard_signal_date,loss_guard_signal_close,loss_guard_return_at_signal,loss_guard_execution_date,loss_guard_execution_price,loss_guard_realized_return,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,holding_trading_days,holding_weeks,trade_status,cutoff_date,cutoff_valuation_price,mark_to_cutoff_return,entry_signal_information_date,entry_filter_raw_date,identity_effective_from,identity_effective_to,entry_fundamentals_gate_pass,entry_latest_fy,entry_annual_revenue,entry_annual_operating_income,entry_latest_quarter,entry_quarter_revenue,entry_quarter_operating_income,entry_revenue_yoy_pct,entry_operating_income_yoy_pct,entry_operating_income_growth_mode,fundamental_exit_triggered,fundamental_exit_primary_type,fundamental_exit_all_flags,fundamental_exit_signal_information_date,fundamental_exit_execution_date,fundamental_exit_accelerated,fundamental_exit_a,fundamental_exit_b,fundamental_exit_c,fundamental_exit_type,fundamental_exit_signal_date,primary_exit_source,counterfactual_loss_guard_triggered,counterfactual_loss_guard_signal_date,counterfactual_loss_guard_signal_close,counterfactual_loss_guard_return_at_signal,counterfactual_loss_guard_execution_date,counterfactual_loss_guard_execution_price
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000050,KR7000050005,경방,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000050_KR7000050005_KOSPI_01,1,2021-05-28,2021-05-31,15300.0,423565921500.0,1259849525.0,15450.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-17,2023-03-20,10560.0,-30.98,16.01,-32.03,46.99,447,89.4,REALIZED,,,,2021-05-28,2021-05-28,2010-01-04,2026-08-21,True,2020,329224740782.0,21853996547.0,2021Q1,82570752134.0,13337575719.0,11.590898,320.030209,YOY_PERCENT,True,FUNDAMENTAL_B_SHARP_DECLINE,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-17,2023-03-20,True,False,True,False,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-17,FUNDAMENTAL,True,2021-08-20,12750.0,-16.67,2021-08-23,12750.0
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000100,KR7000100008,유한양행,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000100_KR7000100008_KOSPI_01,1,2023-06-02,2023-06-05,58955.0,4682621942700.0,10775519765.0,61100.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,2024-08-31,2024-08-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-14,2023-11-15,60296.0,2.27,43.51,-10.88,41.24,111,22.2,REALIZED,,,,2023-06-02,2023-06-02,2010-01-04,2026-08-21,True,2022,1775846942745.0,36028967211.0,2023Q1,443047818557.0,22630010546.0,7.836023,270.864586,YOY_PERCENT,True,FUNDAMENTAL_A_OPERATING_LOSS,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-14,2023-11-15,True,True,False,False,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-14,FUNDAMENTAL,False,,,,,
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000150,KR7000150003,두산,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000150_KR7000150003_KOSPI_01,1,2021-07-02,2021-07-05,98200.0,1627597747500.0,19943345480.0,98500.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.49,READY,2021-08-31,2021-08-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_A_OPERATING_LOSS,2021-08-13,2021-08-17,93600.0,-4.68,20.67,-5.7,25.35,31,6.2,REALIZED,,,,2021-07-02,2021-07-02,2010-01-04,2026-08-21,True,2020,16969330881962.0,274996524581.0,2021Q1,4520268838410.0,397991147155.0,5.076692,403.637421,YOY_PERCENT,True,FUNDAMENTAL_A_OPERATING_LOSS,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2021-08-13,2021-08-17,True,True,True,True,FUNDAMENTAL_A_OPERATING_LOSS,2021-08-13,FUNDAMENTAL,False,,,,,
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000150,KR7000150003,두산,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000150_KR7000150003_KOSPI_02,2,2022-11-25,2022-11-28,97300.0,1616031063000.0,16565419755.0,97800.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.29,READY,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2024-06-30,2024-07-01,216500.0,122.51,150.77,-25.9,28.26,391,78.2,REALIZED,,,,2022-11-25,2022-11-25,2010-01-04,2026-08-21,True,2020,16969330881962.0,274996524581.0,2022Q3,4388253907654.0,340631591963.0,34.520732,42.783136,YOY_PERCENT,False,,,,,False,False,False,False,,,FASTCORE,True,2022-12-27,82600.0,-15.11,2022-12-28,81600.0
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000240,KR7000240002,한국앤컴퍼니,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000240_KR7000240002_KOSPI_01,1,2024-09-13,2024-09-19,18000.0,1689847272000.0,2537471082.5,17800.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.24,READY,2024-11-30,2024-11-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_EARLY_TREND,2025-11-30,2025-12-01,29850.0,65.83,68.33,-25.78,2.5,291,58.2,REALIZED,,,,2024-09-13,2024-09-13,2010-01-04,2026-08-21,True,2023,1089668057103.0,256563452628.0,2024Q2,363522852688.0,124767967904.0,48.704864,180.063466,YOY_PERCENT,False,,,,,False,False,False,False,,,FASTCORE,False,,,,,
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000270,KR7000270009,기아,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000270_KR7000270009_KOSPI_01,1,2023-03-31,2023-04-03,81500.0,32834431107000.0,97558444155.0,81000.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_TRANSITION,2025-01-31,2025-02-03,100200.0,22.94,65.64,-6.01,42.7,446,89.2,REALIZED,,,,2023-03-31,2023-03-31,2010-01-04,2026-08-21,True,2022,86559029000000.0,7233120000000.0,2022Q4,23164161000000.0,2624345000000.0,34.766416,123.325323,YOY_PERCENT,False,,,,,False,False,False,False,,,FASTCORE,False,,,,,
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000430,KR7000430009,대원강업,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000430_KR7000430009_KOSPI_01,1,2026-06-12,2026-06-15,5170.0,313720000000.0,6004335449.9,5060.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,76.67,READY,,,NEVER_PROGRESSED,False,,,,,,,NO_PROGRESSED_BEFORE_CUTOFF,,,,-22.73,2.51,-39.26,25.24,48,9.6,OPEN_AT_CUTOFF,2026-08-21,3995.0,-22.73,2026-06-12,2026-06-12,2010-01-04,2026-08-21,True,2025,1599072177000.0,47006630000.0,2026Q1,432811233000.0,23274789000.0,13.313564,26.595018,YOY_PERCENT,False,,,,,False,False,False,False,,,CUTOFF,True,2026-06-22,4295.0,-16.92,2026-06-23,4285.0
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000640,KR7000640003,동아쏘시오홀딩스,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000640_KR7000640003_KOSPI_01,1,2023-09-22,2023-09-25,90761.0,617114343600.0,1059096500.0,97200.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,72.1,READY,,,NEVER_PROGRESSED,False,,,,,,,NO_PROGRESSED_BEFORE_CUTOFF,,,,-0.84,34.29,-17.92,35.13,705,141.0,OPEN_AT_CUTOFF,2026-08-21,90000.0,-0.84,2023-09-22,2023-09-22,2010-01-04,2026-08-21,True,2022,1014860897959.0,37854827137.0,2023Q2,284888387994.0,19617076296.0,9.134501,37.86438,YOY_PERCENT,False,,,,,False,False,False,False,,,CUTOFF,True,2026-06-23,76500.0,-15.71,2026-06-24,76300.0
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000660,KR7000660001,SK하이닉스,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000660_KR7000660001_KOSPI_01,1,2022-03-04,2022-03-07,119000.0,90636294442500.0,530579332144.45,124500.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.04,READY,2024-03-31,2024-03-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_A_OPERATING_LOSS,2023-03-21,2023-03-22,85200.0,-28.4,5.04,-38.57,33.44,260,52.0,REALIZED,,,,2022-03-04,2022-03-04,2010-01-04,2026-08-21,True,2020,31900418000000.0,5012624000000.0,2021Q3,11805324000000.0,4171821000000.0,45.228963,220.438017,YOY_PERCENT,True,FUNDAMENTAL_A_OPERATING_LOSS,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2023-03-21,2023-03-22,True,True,True,True,FUNDAMENTAL_A_OPERATING_LOSS,2023-03-21,FUNDAMENTAL,True,2022-06-13,99000.0,-16.81,2022-06-14,96900.0
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01,000880,KR7000880005,한화,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000880_KR7000880005_KOSPI_01,1,2021-08-27,2021-08-30,42556.0,2631051598500.0,24314779332.5,35100.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2021-08-31,2021-08-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-11,2023-08-14,33613.0,-21.01,5.22,-35.26,26.23,484,96.8,REALIZED,,,,2021-08-27,2021-08-27,2010-01-04,2026-08-21,True,2020,50926451000000.0,1582045000000.0,2021Q2,12677141000000.0,768972000000.0,15.203462,53.385168,YOY_PERCENT,True,FUNDAMENTAL_B_SHARP_DECLINE,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-11,2023-08-14,True,False,True,False,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-11,FUNDAMENTAL,False,,,,,
