trade_id,ticker,quarter,fundamental_information_date,quarter_revenue,quarter_operating_income,prior_year_quarter_revenue,prior_year_quarter_operating_income,revenue_yoy_pct,operating_income_yoy_pct,previous_quarter,previous_quarter_revenue_declined_yoy,previous_quarter_operating_income_declined_yoy,exit_a_evaluable,exit_a_triggered,exit_b_evaluable,exit_b_triggered,exit_c_evaluable,exit_c_triggered,fundamental_primary_trigger,proposed_execution_date,fundamental_exit_accelerated,all_flags,selected_source_receipt_dates,isu_cd,market,source_readiness,evaluation_error,future_filing_used
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000050_KR7000050005_KOSPI_01,000050,2022Q4,2023-03-17,96005973915,81163587,113349298945.0,22272864590.0,-15.300778,-99.635594,2022Q3,False,True,True,False,True,True,True,False,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-20,False,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-17,KR7000050005,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000050_KR7000050005_KOSPI_02,000050,2022Q4,2023-03-17,96005973915,81163587,113349298945.0,22272864590.0,-15.300778,-99.635594,2022Q3,False,True,True,False,True,True,True,False,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-20,False,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-17,KR7000050005,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000100_KR7000100008_KOSPI_01,000100,2022Q3,2023-11-14,431538165878,-4537545073,451467435126.0,6515739758.0,-4.414332,-169.639753,2022Q2,False,True,True,True,True,False,True,False,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-15,True,FUNDAMENTAL_A_OPERATING_LOSS,2022-11-14|2023-11-14,KR7000100008,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000150_KR7000150003_KOSPI_01,000150,2020Q2,2021-08-13,3094880341666,-105466179004,4701203440800.0,447518554306.0,-34.168338,-123.566884,2020Q1,True,True,True,True,True,True,True,True,FUNDAMENTAL_A_OPERATING_LOSS,2021-08-17,True,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2020-08-14|2021-08-13,KR7000150003,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000150_KR7000150003_KOSPI_01,000150,2020Q3,2021-11-12,3295285635590,144201511515,4239377521475.0,181253222914.0,-22.269587,-20.44196,2020Q2,True,True,True,False,True,True,True,True,FUNDAMENTAL_B_SHARP_DECLINE,2021-11-15,False,FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2020-11-16|2021-11-12,KR7000150003,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000660_KR7000660001_KOSPI_01,000660,2022Q4,2023-03-21,7672031000000,-1898374000000,12376609000000.0,4219524000000.0,-38.01185,-144.990241,2022Q3,True,True,True,True,True,True,True,True,FUNDAMENTAL_A_OPERATING_LOSS,2023-03-22,False,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2023-03-21,KR7000660001,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000660_KR7000660001_KOSPI_01,000660,2023Q1,2023-05-15,5088111000000,-3402302000000,12155653000000.0,2863897000000.0,-58.142018,-218.799733,2022Q4,True,True,True,True,True,True,True,True,FUNDAMENTAL_A_OPERATING_LOSS,2023-05-16,False,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2023-05-15,KR7000660001,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000660_KR7000660001_KOSPI_01,000660,2023Q2,2023-08-14,7305933000000,-2882084000000,13811001000000.0,4197226000000.0,-47.100627,-168.6664,2023Q1,True,True,True,True,True,True,True,True,FUNDAMENTAL_A_OPERATING_LOSS,2023-08-16,False,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2023-08-14,KR7000660001,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000660_KR7000660001_KOSPI_01,000660,2023Q3,2023-11-14,9066171000000,-1791961000000,10982883000000.0,1660523000000.0,-17.451811,-207.915458,2023Q2,True,True,True,True,True,True,True,True,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-15,False,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2023-11-14,KR7000660001,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000660_KR7000660001_KOSPI_01,000660,2022Q4,2024-03-19,7672031000000,-1912229000000,,,,,2022Q3,True,True,True,True,False,False,False,False,FUNDAMENTAL_A_OPERATING_LOSS,2024-03-20,False,FUNDAMENTAL_A_OPERATING_LOSS,2024-03-19,KR7000660001,KOSPI,READY,False,False
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000880_KR7000880005_KOSPI_01,000880,2023Q2,2023-08-11,12146829000000,298709000000,13576705000000.0,1339877000000.0,-10.531834,-77.706237,2023Q1,False,False,True,False,True,True,True,False,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-14,True,FUNDAMENTAL_B_SHARP_DECLINE,2023-08-11,KR7000880005,KOSPI,READY,False,False
