strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_market_cap,entry_avg_trading_value_20d,entry_signal_close,entry_market_cap_pass,entry_trading_value_pass,entry_close_pass,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_state,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,loss_guard_triggered,loss_guard_signal_date,loss_guard_signal_close,loss_guard_return_at_signal,loss_guard_execution_date,loss_guard_execution_price,loss_guard_realized_return,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,holding_trading_days,holding_weeks,trade_status,cutoff_date,cutoff_valuation_price,mark_to_cutoff_return,entry_signal_information_date,entry_filter_raw_date,identity_effective_from,identity_effective_to,entry_fundamentals_gate_pass,entry_latest_fy,entry_annual_revenue,entry_annual_operating_income,entry_latest_quarter,entry_quarter_revenue,entry_quarter_operating_income,entry_revenue_yoy_pct,entry_operating_income_yoy_pct,entry_operating_income_growth_mode,fundamental_exit_triggered,fundamental_exit_primary_type,fundamental_exit_all_flags,fundamental_exit_signal_information_date,fundamental_exit_execution_date,fundamental_exit_accelerated,abc_entry_pass,abc_latest_fy,abc_annual_revenue,abc_annual_operating_income,abc_latest_quarter,abc_quarter_revenue,abc_quarter_operating_income,abc_revenue_yoy,abc_oi_growth_mode,abc_oi_yoy,fundamental_exit_type,fundamental_exit_signal_date,fundamental_exit_a,fundamental_exit_b,fundamental_exit_c,fastcore_exit_candidate_type,fastcore_exit_candidate_execution_date,primary_exit_source
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000050,KR7000050005,경방,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000050_KR7000050005_KOSPI_01,1,2021-05-28,2021-05-31,15300.0,423565921500.0,1259849525.0,15450.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,True,2021-08-20,12750.0,-16.67,2021-08-23,12750.0,-16.67,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,19.28,60,12.0,REALIZED,,,,2021-05-28,2021-05-28,2010-01-04,2026-08-21,True,2020,329224740782,21853996547,2021Q1,82570752134,13337575719,11.590898,320.030209,YOY_PERCENT,False,,,,,False,True,2020,329224740782,21853996547,2021Q1,82570752134,13337575719,11.590898,YOY_PERCENT,320.030209,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000050,KR7000050005,경방,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000050_KR7000050005_KOSPI_02,2,2022-04-29,2022-05-02,15700.0,435902793000.0,414798730.0,15900.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,73.24,READY,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,True,2022-06-17,13050.0,-16.88,2022-06-20,13200.0,-15.92,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,26.75,33,6.6,REALIZED,,,,2022-04-29,2022-04-29,2010-01-04,2026-08-21,True,2021,383357144805,53796815200,2021Q4,113349298945,22272864590,33.825682,111.273192,YOY_PERCENT,False,,,,,False,True,2021,383357144805,53796815200,2021Q4,113349298945,22272864590,33.825682,YOY_PERCENT,111.273192,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-20,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000100,KR7000100008,유한양행,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000100_KR7000100008_KOSPI_01,1,2023-06-02,2023-06-05,58955.0,4682621942700.0,10775519765.0,61100.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,2024-08-31,2024-08-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-14,2023-11-15,60296.0,2.27,43.51,-10.88,41.24,111,22.2,REALIZED,,,,2023-06-02,2023-06-02,2010-01-04,2026-08-21,True,2022,1775846942745,36028967211,2023Q1,443047818557,22630010546,7.836023,270.864586,YOY_PERCENT,True,FUNDAMENTAL_A_OPERATING_LOSS,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-14,2023-11-15,True,True,2022,1775846942745,36028967211,2023Q1,443047818557,22630010546,7.836023,YOY_PERCENT,270.864586,FUNDAMENTAL_A_OPERATING_LOSS,2023-11-14,True,False,False,,,FUNDAMENTAL
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000150,KR7000150003,두산,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000150_KR7000150003_KOSPI_01,1,2021-07-02,2021-07-05,98200.0,1627597747500.0,19943345480.0,98500.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.49,READY,2021-08-31,2021-08-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,FUNDAMENTAL_A_OPERATING_LOSS,2021-08-13,2021-08-17,93600.0,-4.68,20.67,-5.7,25.35,31,6.2,REALIZED,,,,2021-07-02,2021-07-02,2010-01-04,2026-08-21,True,2020,16969330881962,274996524581,2021Q1,4520268838410,397991147155,5.076692,403.637421,YOY_PERCENT,True,FUNDAMENTAL_A_OPERATING_LOSS,FUNDAMENTAL_A_OPERATING_LOSS|FUNDAMENTAL_B_SHARP_DECLINE|FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2021-08-13,2021-08-17,True,True,2020,16969330881962,274996524581,2021Q1,4520268838410,397991147155,5.076692,YOY_PERCENT,403.637421,FUNDAMENTAL_A_OPERATING_LOSS,2021-08-13,True,True,True,,,FUNDAMENTAL
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000150,KR7000150003,두산,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000150_KR7000150003_KOSPI_02,2,2022-11-25,2022-11-28,97300.0,1616031063000.0,16565419755.0,97800.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.29,READY,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,True,2022-12-27,82600.0,-15.11,2022-12-28,81600.0,-16.14,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-27,2022-12-28,81600.0,-16.14,1.85,-16.14,17.99,23,4.6,REALIZED,,,,2022-11-25,2022-11-25,2010-01-04,2026-08-21,True,2020,16969330881962,274996524581,2022Q3,4388253907654,340631591963,34.520732,42.783136,YOY_PERCENT,False,,,,,False,True,2020,16969330881962,274996524581,2022Q3,4388253907654,340631591963,34.520732,YOY_PERCENT,42.783136,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-28,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000150,KR7000150003,두산,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000150_KR7000150003_KOSPI_03,3,2023-03-10,2023-03-13,107200.0,1779617029500.0,24267321680.0,107700.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.29,READY,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,True,2023-05-03,91100.0,-15.02,2023-05-04,91300.0,-14.83,LOSS_GUARD_CLOSE_LE_NEG_15,2023-05-03,2023-05-04,91300.0,-14.83,3.92,-15.11,18.75,38,7.6,REALIZED,,,,2023-03-10,2023-03-10,2010-01-04,2026-08-21,True,2020,16969330881962,274996524581,2022Q3,4388253907654,340631591963,34.520732,42.783136,YOY_PERCENT,False,,,,,False,True,2020,16969330881962,274996524581,2022Q3,4388253907654,340631591963,34.520732,YOY_PERCENT,42.783136,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2023-05-04,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000240,KR7000240002,한국앤컴퍼니,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000240_KR7000240002_KOSPI_01,1,2024-09-13,2024-09-19,18000.0,1689847272000.0,2537471082.5,17800.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.24,READY,2024-11-30,2024-11-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_EARLY_TREND,2025-11-30,2025-12-01,29850.0,65.83,68.33,-25.78,2.5,291,58.2,REALIZED,,,,2024-09-13,2024-09-13,2010-01-04,2026-08-21,True,2023,1089668057103,256563452628,2024Q2,363522852688,124767967904,48.704864,180.063466,YOY_PERCENT,False,,,,,False,True,2023,1089668057103,256563452628,2024Q2,363522852688,124767967904,48.704864,YOY_PERCENT,180.063466,,,False,False,False,EXIT3_PROGRESSED_TO_EARLY_TREND,2025-12-01,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000270,KR7000270009,기아,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000270_KR7000270009_KOSPI_01,1,2023-03-31,2023-04-03,81500.0,32834431107000.0,97558444155.0,81000.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_TRANSITION,2025-01-31,2025-02-03,100200.0,22.94,65.64,-6.01,42.7,446,89.2,REALIZED,,,,2023-03-31,2023-03-31,2010-01-04,2026-08-21,True,2022,86559029000000,7233120000000,2022Q4,23164161000000,2624345000000,34.766416,123.325323,YOY_PERCENT,False,,,,,False,True,2022,86559029000000,7233120000000,2022Q4,23164161000000,2624345000000,34.766416,YOY_PERCENT,123.325323,,,False,False,False,EXIT3_PROGRESSED_TO_TRANSITION,2025-02-03,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000430,KR7000430009,대원강업,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000430_KR7000430009_KOSPI_01,1,2026-06-12,2026-06-15,5170.0,313720000000.0,6004335449.9,5060.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,76.67,READY,,,NEVER_PROGRESSED,True,2026-06-22,4295.0,-16.92,2026-06-23,4285.0,-17.12,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-22,2026-06-23,4285.0,-17.12,2.51,-17.41,19.63,7,1.4,REALIZED,,,,2026-06-12,2026-06-12,2010-01-04,2026-08-21,True,2025,1599072177000,47006630000,2026Q1,432811233000,23274789000,13.313564,26.595018,YOY_PERCENT,False,,,,,False,True,2025,1599072177000,47006630000,2026Q1,432811233000,23274789000,13.313564,YOY_PERCENT,26.595018,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-23,FASTCORE
PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01,000640,KR7000640003,동아쏘시오홀딩스,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000640_KR7000640003_KOSPI_01,1,2023-09-22,2023-09-25,90761.0,617114343600.0,1059096500.0,97200.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,72.1,READY,,,NEVER_PROGRESSED,True,2026-06-23,76500.0,-15.71,2026-06-24,76300.0,-15.93,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-23,2026-06-24,76300.0,-15.93,34.29,-15.93,50.22,665,133.0,REALIZED,,,,2023-09-22,2023-09-22,2010-01-04,2026-08-21,True,2022,1014860897959,37854827137,2023Q2,284888387994,19617076296,9.134501,37.86438,YOY_PERCENT,False,,,,,False,True,2022,1014860897959,37854827137,2023Q2,284888387994,19617076296,9.134501,YOY_PERCENT,37.86438,,,False,False,False,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-24,FASTCORE
