candidate_id,ticker,isu_cd,market,name,candidate_signal_date,entry_signal_information_date,quarter,company_family,fundamentals_as_of,fundamentals_status,filter_status,evaluable,reason,latest_fy,latest_quarter,filing_references,company_cache_hit,evaluation_source
001450|KR7001450006|KOSPI|2026-08-14,001450,KR7001450006,KOSPI,현대해상,2026-08-14,2026-08-14,2026Q3,FINANCIAL,2026-08-14,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,[],True,NETWORK
282330|KR7282330000|KOSPI|2026-08-14,282330,KR7282330000,KOSPI,BGF리테일,2026-08-14,2026-08-14,2026Q3,NON_FINANCIAL,2026-08-14,PASS,PASS,True,,2025,2026Q2,"[""2020-05-15"",""2020-08-14"",""2020-11-16"",""2021-03-17"",""2021-05-17"",""2021-08-17"",""2021-11-15"",""2022-03-21"",""2022-05-16"",""2022-08-16"",""2022-11-14"",""2023-03-20"",""2024-04-12"",""2024-05-16"",""2024-08-14"",""2024-11-14"",""2025-03-18"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-18"",""2026-05-15"",""2026-08-14""]",True,NETWORK
001800|KR7001800002|KOSPI|2026-08-07,001800,KR7001800002,KOSPI,오리온홀딩스,2026-08-07,2026-08-07,2026Q3,NON_FINANCIAL,2026-08-07,PASS,PASS,True,,2025,2026Q1,"[""2020-05-15"",""2020-08-14"",""2020-11-16"",""2021-03-10"",""2021-05-17"",""2021-08-17"",""2021-11-15"",""2022-03-16"",""2022-05-16"",""2022-08-16"",""2022-11-14"",""2023-03-15"",""2023-05-15"",""2023-08-14"",""2023-11-14"",""2024-03-13"",""2024-05-16"",""2024-08-14"",""2024-11-14"",""2025-03-18"",""2025-05-15"",""2025-08-14"",""2025-11-13"",""2026-03-18"",""2026-05-15""]",True,NETWORK
007070|KR7007070006|KOSPI|2026-08-07,007070,KR7007070006,KOSPI,GS리테일,2026-08-07,2026-08-07,2026Q3,NON_FINANCIAL,2026-08-07,PASS,PASS,True,,2025,2026Q1,"[""2020-05-15"",""2020-08-13"",""2021-07-01"",""2021-08-17"",""2021-11-15"",""2022-03-17"",""2022-05-16"",""2022-08-16"",""2022-11-14"",""2023-03-15"",""2023-05-15"",""2023-08-14"",""2023-11-14"",""2024-04-01"",""2024-07-17"",""2024-08-14"",""2024-11-14"",""2025-03-12"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-11"",""2026-05-15""]",True,NETWORK
021240|KR7021240007|KOSPI|2026-08-07,021240,KR7021240007,KOSPI,코웨이,2026-08-07,2026-08-07,2026Q3,NON_FINANCIAL,2026-08-07,PASS,PASS,True,,2025,2026Q1,"[""2020-05-15"",""2020-08-31"",""2020-11-16"",""2021-03-23"",""2021-05-17"",""2021-08-17"",""2021-11-15"",""2022-08-16"",""2022-11-14"",""2023-03-21"",""2023-05-15"",""2023-08-14"",""2023-11-14"",""2024-03-29"",""2024-05-14"",""2024-08-14"",""2024-11-14"",""2025-03-21"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-23"",""2026-05-15""]",True,NETWORK
282330|KR7282330000|KOSPI|2026-08-07,282330,KR7282330000,KOSPI,BGF리테일,2026-08-07,2026-08-07,2026Q3,NON_FINANCIAL,2026-08-07,PASS,PASS,True,,2025,2026Q1,"[""2020-05-15"",""2020-08-14"",""2020-11-16"",""2021-03-17"",""2021-05-17"",""2021-08-17"",""2021-11-15"",""2022-03-21"",""2022-05-16"",""2022-08-16"",""2022-11-14"",""2023-03-20"",""2024-04-12"",""2024-05-16"",""2024-08-14"",""2024-11-14"",""2025-03-18"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-18"",""2026-05-15""]",True,NETWORK
021240|KR7021240007|KOSPI|2026-07-31,021240,KR7021240007,KOSPI,코웨이,2026-07-31,2026-07-31,2026Q3,NON_FINANCIAL,2026-07-31,PASS,PASS,True,,2025,2026Q1,"[""2020-05-15"",""2020-08-31"",""2020-11-16"",""2021-03-23"",""2021-05-17"",""2021-08-17"",""2021-11-15"",""2022-08-16"",""2022-11-14"",""2023-03-21"",""2023-05-15"",""2023-08-14"",""2023-11-14"",""2024-03-29"",""2024-05-14"",""2024-08-14"",""2024-11-14"",""2025-03-21"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-23"",""2026-05-15""]",True,NETWORK
383220|KR7383220001|KOSPI|2026-07-31,383220,KR7383220001,KOSPI,F&F,2026-07-31,2026-07-31,2026Q3,NON_FINANCIAL,2026-07-31,PASS,PASS,True,,2025,2026Q1,"[""2021-08-17"",""2021-11-15"",""2022-03-17"",""2022-05-16"",""2022-08-16"",""2022-11-14"",""2023-05-15"",""2023-08-14"",""2023-08-31"",""2023-11-14"",""2024-03-20"",""2024-05-16"",""2024-08-14"",""2024-11-14"",""2025-03-18"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-18"",""2026-05-15""]",True,NETWORK
453340|KR7453340002|KOSPI|2026-07-31,453340,KR7453340002,KOSPI,현대그린푸드,2026-07-31,2026-07-31,2026Q3,NON_FINANCIAL,2026-07-31,PASS,PASS,True,,2025,2026Q1,"[""2023-05-15"",""2023-08-14"",""2023-11-14"",""2024-03-18"",""2024-05-16"",""2024-08-14"",""2024-11-14"",""2025-03-14"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-16"",""2026-05-15""]",True,NETWORK
021240|KR7021240007|KOSPI|2026-07-24,021240,KR7021240007,KOSPI,코웨이,2026-07-24,2026-07-24,2026Q3,NON_FINANCIAL,2026-07-24,PASS,PASS,True,,2025,2026Q1,"[""2020-05-15"",""2020-08-31"",""2020-11-16"",""2021-03-23"",""2021-05-17"",""2021-08-17"",""2021-11-15"",""2022-08-16"",""2022-11-14"",""2023-03-21"",""2023-05-15"",""2023-08-14"",""2023-11-14"",""2024-03-29"",""2024-05-14"",""2024-08-14"",""2024-11-14"",""2025-03-21"",""2025-05-15"",""2025-08-14"",""2025-11-14"",""2026-03-23"",""2026-05-15""]",True,NETWORK
