quarter,total_raw_candidates,financial_candidates,nonfinancial_candidates,evaluable_nonfinancial_candidates,unavailable_nonfinancial_candidates,evaluable_rate,qualifies_90_percent,total_nonfinancial_candidates,evaluable_count
2015Q1,150,17,111,0,111,0.0,False,111,0
2015Q2,356,24,283,0,283,0.0,False,283,0
2015Q3,155,14,124,0,124,0.0,False,124,0
2015Q4,85,11,72,0,72,0.0,False,72,0
2016Q1,106,14,87,0,87,0.0,False,87,0
2016Q2,221,28,176,0,176,0.0,False,176,0
2016Q3,169,27,137,0,137,0.0,False,137,0
2016Q4,148,39,106,0,106,0.0,False,106,0
2017Q1,256,25,204,0,204,0.0,False,204,0
2017Q2,518,62,420,0,420,0.0,False,420,0
2017Q3,384,54,312,0,312,0.0,False,312,0
2018Q1,191,13,165,0,165,0.0,False,165,0
2018Q2,193,20,150,0,150,0.0,False,150,0
2018Q3,101,8,76,0,76,0.0,False,76,0
2018Q4,99,28,58,0,58,0.0,False,58,0
2019Q1,238,14,198,0,198,0.0,False,198,0
2019Q2,330,54,228,0,228,0.0,False,228,0
2019Q3,94,11,82,0,82,0.0,False,82,0
2019Q4,200,3,194,0,194,0.0,False,194,0
2020Q1,194,5,189,0,189,0.0,False,189,0
2020Q2,103,0,101,0,101,0.0,False,101,0
2020Q3,227,5,207,0,207,0.0,False,207,0
2020Q4,168,41,122,0,122,0.0,False,122,0
2021Q1,368,35,318,0,318,0.0,False,318,0
2021Q2,455,30,399,0,399,0.0,False,399,0
2021Q3,159,9,133,0,133,0.0,False,133,0
2021Q4,48,2,43,0,43,0.0,False,43,0
2022Q1,47,4,43,0,43,0.0,False,43,0
2022Q2,130,9,119,0,119,0.0,False,119,0
2022Q3,156,1,152,0,152,0.0,False,152,0
2022Q4,99,6,93,0,93,0.0,False,93,0
2023Q1,310,53,249,0,249,0.0,False,249,0
2023Q2,329,21,308,0,308,0.0,False,308,0
2023Q3,222,21,192,0,192,0.0,False,192,0
2023Q4,197,60,134,0,134,0.0,False,134,0
2024Q1,315,75,234,0,234,0.0,False,234,0
2024Q2,284,33,233,0,233,0.0,False,233,0
2024Q3,131,19,108,0,108,0.0,False,108,0
2024Q4,181,53,126,0,126,0.0,False,126,0
2025Q1,214,25,183,1,182,0.5464,False,183,1
2025Q2,337,28,291,1,290,0.3436,False,291,1
2025Q3,404,17,374,8,366,2.139,False,374,8
2025Q4,257,0,252,0,252,0.0,False,252,0
2026Q1,299,8,287,227,60,79.0941,False,287,227
2026Q2,112,0,112,85,27,75.8929,False,112,85
2026Q3,14,1,13,13,0,100.0,True,13,13
