ticker,name,trade_id,loss_guard_signal_date,loss_guard_execution_date,loss_guard_realized_return,gap_beyond_trigger,reentered,reentry_return
003380,하림지주,FASTCORE_003380_01,2023-05-31,2023-06-01,-15.44,True,False,
003800,에이스침대,FASTCORE_003800_01,2020-03-13,2020-03-16,-17.37,True,True,-16.27
003800,에이스침대,FASTCORE_003800_02,2021-11-29,2021-11-30,-16.27,True,True,-7.74
000250,삼천당제약,FASTCORE_000250_01,2020-03-16,2020-03-17,-28.24,True,True,5.93
005290,동진쎄미켐,FASTCORE_005290_01,2019-06-21,2019-06-24,-15.48,True,True,-15.66
005290,동진쎄미켐,FASTCORE_005290_02,2023-03-14,2023-03-15,-15.66,True,True,-13.72
005290,동진쎄미켐,FASTCORE_005290_03,2023-10-10,2023-10-11,-13.72,False,True,-15.51
005290,동진쎄미켐,FASTCORE_005290_04,2024-06-25,2024-06-26,-15.51,True,True,-19.67
005290,동진쎄미켐,FASTCORE_005290_05,2025-11-06,2025-11-07,-19.67,True,False,
005990,매일홀딩스,FASTCORE_005990_01,2015-08-03,2015-08-04,-15.57,True,True,-16.75
005990,매일홀딩스,FASTCORE_005990_02,2016-06-27,2016-06-28,-16.75,True,True,-16.29
005990,매일홀딩스,FASTCORE_005990_03,2017-09-21,2017-09-22,-16.29,True,False,
006730,서부T&D,FASTCORE_006730_01,2014-11-12,2014-11-13,-15.41,True,True,-7.08
006730,서부T&D,FASTCORE_006730_03,2016-08-04,2016-08-05,-15.32,True,True,-15.69
006730,서부T&D,FASTCORE_006730_04,2019-05-22,2019-05-23,-15.69,True,True,54.47
011040,경동제약,FASTCORE_011040_01,2018-02-06,2018-02-07,-13.36,False,True,-16.54
011040,경동제약,FASTCORE_011040_02,2022-01-27,2022-01-28,-16.54,True,False,
013030,하이록코리아,FASTCORE_013030_02,2026-05-29,2026-06-01,-17.54,True,False,
013120,동원개발,FASTCORE_013120_01,2016-11-02,2016-11-03,-13.98,False,True,-16.3
013120,동원개발,FASTCORE_013120_02,2018-06-18,2018-06-19,-16.3,True,True,-23.96
013120,동원개발,FASTCORE_013120_03,2019-08-05,2019-08-06,-23.96,True,True,23.03
014620,성광벤드,FASTCORE_014620_01,2014-01-09,2014-01-10,-17.47,True,True,-15.79
014620,성광벤드,FASTCORE_014620_02,2018-07-19,2018-07-20,-15.79,True,True,-16.48
014620,성광벤드,FASTCORE_014620_03,2021-08-13,2021-08-17,-16.48,True,True,36.16
015750,성우하이텍,FASTCORE_015750_01,2015-05-08,2015-05-11,-14.2,False,True,69.23
015750,성우하이텍,FASTCORE_015750_03,2026-06-26,2026-06-29,-17.55,True,False,
019210,와이지-원,FASTCORE_019210_01,2014-01-06,2014-01-07,-17.91,True,True,-14.57
019210,와이지-원,FASTCORE_019210_02,2015-11-03,2015-11-04,-14.57,False,True,10.97
018310,삼목에스폼,FASTCORE_018310_01,2025-09-01,2025-09-02,-15.25,True,False,
023410,유진기업,FASTCORE_023410_01,2017-12-08,2017-12-11,-15.7,True,True,-18.02
023410,유진기업,FASTCORE_023410_02,2018-03-22,2018-03-23,-18.02,True,True,-51.52
023160,태광,FASTCORE_023160_01,2013-10-16,2013-10-17,-15.98,True,True,-15.79
023160,태광,FASTCORE_023160_02,2021-05-27,2021-05-28,-15.79,True,True,-0.85
024950,삼천리자전거,FASTCORE_024950_01,2015-08-20,2015-08-21,-19.68,True,False,
025770,한국정보통신,FASTCORE_025770_01,2021-08-13,2021-08-17,-15.29,True,False,
025900,동화기업,FASTCORE_025900_01,2018-06-19,2018-06-20,-17.66,True,True,144.92
030530,원익홀딩스,FASTCORE_030530_01,2013-08-22,2013-08-23,-13.58,False,True,70.1
028300,HLB,FASTCORE_028300_01,2021-10-13,2021-10-14,-12.91,False,False,
030520,한컴,FASTCORE_030520_01,2016-11-24,2016-11-25,-16.07,True,True,-14.9
030520,한컴,FASTCORE_030520_02,2018-02-13,2018-02-14,-14.9,False,True,6.83
030520,한컴,FASTCORE_030520_04,2025-08-20,2025-08-21,-15.08,True,False,
