strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_market_cap,entry_avg_trading_value_20d,entry_signal_close,entry_market_cap_pass,entry_trading_value_pass,entry_close_pass,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_state,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,loss_guard_triggered,loss_guard_signal_date,loss_guard_signal_close,loss_guard_return_at_signal,loss_guard_execution_date,loss_guard_execution_price,loss_guard_realized_return,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,holding_trading_days,holding_weeks,trade_status,cutoff_date,cutoff_valuation_price,mark_to_cutoff_return
JULIA,003380,KR7003380003,하림지주,KOSDAQ,JULIA_003380_01,1,2023-02-03,2023-02-06,9650.0,1075253961600.0,2258827956.0,9600.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,2026-01-31,2026-01-30,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-28,2026-03-03,16090.0,66.74,103.21,-48.29,36.47,747,149.4,REALIZED,,,
JULIA,003800,KR7003800000,에이스침대,KOSDAQ,JULIA_003800_01,1,2020-02-07,2020-02-10,44050.0,496277500000.0,915644170.0,44750.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,74.99,READY,2020-05-31,2020-05-29,SKIPPED_EARLY_TREND_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-25.54,53.01,-46.88,78.55,1614,322.8,OPEN_AT_CUTOFF,2026-09-04,32800.0,-25.54
JULIA,000250,KR7000250001,삼천당제약,KOSDAQ,JULIA_000250_01,1,2020-03-06,2020-03-09,43200.0,977076934600.0,20537091960.0,44200.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,76.29,READY,2021-01-31,2021-01-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2021-03-31,2021-04-01,51800.0,19.91,121.53,-50.58,101.62,264,52.8,REALIZED,,,
JULIA,005290,KR7005290002,동진쎄미켐,KOSDAQ,JULIA_005290_01,1,2019-06-07,2019-06-10,11950.0,614403203300.0,11140917202.5,11950.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.04,READY,2020-05-31,2020-05-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_TRANSITION,2022-03-31,2022-04-01,38950.0,225.94,335.98,-23.43,110.04,696,139.2,REALIZED,,,
JULIA,005290,KR7005290002,동진쎄미켐,KOSDAQ,JULIA_005290_02,2,2023-03-03,2023-03-06,36400.0,1840638885200.0,21607850602.5,35800.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,74.99,READY,2026-03-31,2026-03-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2026-04-30,2026-05-04,58000.0,59.34,76.92,-44.51,17.58,771,154.2,REALIZED,,,
JULIA,005990,KR7005990007,매일홀딩스,KOSDAQ,JULIA_005990_01,1,2015-05-08,2015-05-12,21796.0,568830000000.0,3816654067.5,42450.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.74,READY,,,NEVER_PROGRESSED,False,,,,,,,NO_PROGRESSED_BEFORE_CUTOFF,,,,-49.72,59.43,-72.01,109.15,2731,546.2,OPEN_AT_CUTOFF,2026-09-04,10960.0,-49.72
JULIA,006730,KR7006730006,서부T&D,KOSDAQ,JULIA_006730_01,1,2014-08-22,2014-08-25,12132.0,752002536000.0,3794008620.0,24000.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2015-08-31,2015-08-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_TRANSITION,2015-11-30,2015-12-01,11979.0,-1.26,38.23,-25.9,39.49,296,59.2,REALIZED,,,
JULIA,006730,KR7006730006,서부T&D,KOSDAQ,JULIA_006730_02,2,2016-04-08,2016-04-11,12837.0,798225161250.0,2216263660.0,23250.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.25,READY,2021-12-31,2021-12-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_TRANSITION,2025-11-30,2025-12-01,11380.0,-11.35,7.11,-76.58,18.46,2270,454.0,REALIZED,,,
JULIA,007390,KR7007390008,네이처셀,KOSDAQ,JULIA_007390_01,1,2017-08-04,2017-08-07,5977.0,323960327260.0,4152613230.75,6260.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2018-01-31,2018-01-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2025-01-31,2025-02-03,18070.0,202.33,931.99,-23.96,729.66,1819,363.8,REALIZED,,,
JULIA,011040,KR7011040003,경동제약,KOSDAQ,JULIA_011040_01,1,2018-01-26,2018-01-29,14629.0,380992500000.0,1484756792.5,28700.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,76.74,READY,2021-05-31,2021-05-31,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-65.07,25.09,-67.87,90.16,2093,418.6,OPEN_AT_CUTOFF,2026-09-04,5110.0,-65.07
JULIA,013030,KR7013030002,하이록코리아,KOSDAQ,JULIA_013030_01,1,2013-06-28,2013-07-01,22600.0,304936396800.0,1158738185.0,22400.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.82,PARTIAL,2014-06-30,2014-06-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_EARLY_TREND,2023-08-31,2023-09-01,26500.0,17.26,81.86,-70.22,64.6,2505,501.0,REALIZED,,,
JULIA,013030,KR7013030002,하이록코리아,KOSDAQ,JULIA_013030_02,2,2026-04-10,2026-04-13,42200.0,510737449600.0,3211723652.5,43400.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.24,READY,,,NEVER_PROGRESSED,False,,,,,,,NO_PROGRESSED_BEFORE_CUTOFF,,,,-18.96,13.98,-34.72,32.94,99,19.8,OPEN_AT_CUTOFF,2026-09-04,34200.0,-18.96
JULIA,013120,KR7013120001,동원개발,KOSDAQ,JULIA_013120_01,1,2016-08-12,2016-08-16,5080.0,461305148000.0,1521386136.5,5080.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,76.85,READY,2021-06-30,2021-06-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2021-07-31,2021-08-02,6410.0,26.18,38.58,-43.7,12.4,1221,244.2,REALIZED,,,
JULIA,014620,KR7014620009,성광벤드,KOSDAQ,JULIA_014620_01,1,2013-11-01,2013-11-04,29200.0,835120000000.0,6475202964.65,29200.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.8,READY,2022-09-30,2022-09-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2022-11-30,2022-12-01,15250.0,-47.77,0.68,-86.1,48.45,2234,446.8,REALIZED,,,
JULIA,014620,KR7014620009,성광벤드,KOSDAQ,JULIA_014620_02,2,2024-08-02,2024-08-05,14220.0,416130000000.0,22833894686.5,14550.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,76.29,READY,2025-02-28,2025-02-28,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2025-03-31,2025-04-01,24800.0,74.4,128.55,-19.76,54.15,157,31.4,REALIZED,,,
