ticker,entry_signal_date,comparison_class
000020,2018-01-26,SHARED_ENTRY
000050,2014-08-08,SHARED_ENTRY
000050,2016-10-07,SHARED_REENTRY
000050,2020-05-29,FASTCORE_ONLY_REENTRY
000050,2021-05-28,FASTCORE_ONLY_REENTRY
000050,2022-04-29,FASTCORE_ONLY_REENTRY
000070,2014-07-11,SHARED_ENTRY
000070,2021-01-22,SHARED_REENTRY
000070,2025-06-13,SHARED_REENTRY
000080,2012-12-28,SHARED_ENTRY
000080,2016-01-15,FASTCORE_ONLY_REENTRY
000080,2017-06-02,FASTCORE_ONLY_REENTRY
000080,2019-04-26,FASTCORE_ONLY_REENTRY
000080,2021-07-02,SHARED_REENTRY
000100,2013-01-11,SHARED_ENTRY
000120,2013-01-11,SHARED_ENTRY
000120,2014-04-04,FASTCORE_ONLY_REENTRY
000120,2017-06-02,SHARED_REENTRY
000120,2018-05-11,FASTCORE_ONLY_REENTRY
000120,2018-06-22,FASTCORE_ONLY_REENTRY
000120,2020-05-29,FASTCORE_ONLY_REENTRY
000120,2024-01-05,FASTCORE_ONLY_REENTRY
000120,2026-01-30,FASTCORE_ONLY_REENTRY
000140,2014-03-07,SHARED_ENTRY
000140,2015-04-17,FASTCORE_ONLY_REENTRY
000140,2020-01-03,FASTCORE_ONLY_REENTRY
000150,2013-08-02,SHARED_ENTRY
000150,2016-08-12,FASTCORE_ONLY_REENTRY
000150,2017-06-02,FASTCORE_ONLY_REENTRY
000150,2018-09-14,FASTCORE_ONLY_REENTRY
000150,2021-07-02,FASTCORE_ONLY_REENTRY
000150,2022-11-25,SHARED_REENTRY
000150,2023-03-10,FASTCORE_ONLY_REENTRY
000210,2013-10-11,SHARED_ENTRY
000210,2015-05-08,FASTCORE_ONLY_REENTRY
000210,2016-02-19,FASTCORE_ONLY_REENTRY
000210,2020-06-05,FASTCORE_ONLY_REENTRY
000210,2025-07-04,FASTCORE_ONLY_REENTRY
000210,2026-02-27,FASTCORE_ONLY_REENTRY
000210,2026-03-27,FASTCORE_ONLY_REENTRY
000240,2015-01-16,SHARED_ENTRY
000240,2016-03-11,FASTCORE_ONLY_REENTRY
000240,2021-02-19,FASTCORE_ONLY_REENTRY
000240,2023-12-01,FASTCORE_ONLY_REENTRY
000250,2020-03-06,SHARED_ENTRY
000250,2020-07-31,FASTCORE_ONLY_REENTRY
000270,2013-08-30,SHARED_ENTRY
000270,2015-10-30,FASTCORE_ONLY_REENTRY
000270,2019-01-18,FASTCORE_ONLY_REENTRY
000270,2020-08-14,FASTCORE_ONLY_REENTRY
000270,2023-03-31,SHARED_REENTRY
000270,2025-10-24,SHARED_REENTRY
000370,2014-08-01,SHARED_ENTRY
000370,2015-05-29,FASTCORE_ONLY_REENTRY
000370,2017-06-09,SHARED_REENTRY
000370,2025-06-13,SHARED_REENTRY
000390,2015-07-17,SHARED_ENTRY
000430,2013-01-04,SHARED_ENTRY
000430,2026-06-12,SHARED_REENTRY
000480,2021-05-07,SHARED_ENTRY
000480,2023-03-31,FASTCORE_ONLY_REENTRY
000490,2025-02-14,SHARED_ENTRY
000540,2017-06-16,SHARED_ENTRY
000640,2013-01-04,SHARED_ENTRY
000640,2020-09-25,SHARED_REENTRY
000640,2020-11-20,FASTCORE_ONLY_REENTRY
000640,2021-07-16,FASTCORE_ONLY_REENTRY
000640,2023-09-22,FASTCORE_ONLY_REENTRY
000660,2013-03-29,SHARED_ENTRY
000660,2016-09-30,SHARED_REENTRY
000660,2022-03-04,SHARED_REENTRY
000660,2023-06-02,FASTCORE_ONLY_REENTRY
000670,2013-03-29,SHARED_ENTRY
000680,2013-09-06,SHARED_ENTRY
000680,2014-09-19,FASTCORE_ONLY_REENTRY
000720,2013-01-11,SHARED_ENTRY
000720,2014-08-08,FASTCORE_ONLY_REENTRY
000720,2015-04-17,FASTCORE_ONLY_REENTRY
000720,2017-03-03,FASTCORE_ONLY_REENTRY
000720,2018-04-20,FASTCORE_ONLY_REENTRY
000720,2025-03-07,SHARED_REENTRY
000810,2013-06-28,SHARED_ENTRY
000810,2021-07-02,FASTCORE_ONLY_REENTRY
000810,2022-12-16,FASTCORE_ONLY_REENTRY
000880,2013-10-04,SHARED_ENTRY
000880,2015-04-03,FASTCORE_ONLY_REENTRY
000970,2019-06-21,SHARED_ENTRY
000990,2015-04-24,SHARED_ENTRY
000990,2017-06-02,SHARED_REENTRY
000990,2018-03-16,FASTCORE_ONLY_REENTRY
000990,2018-06-15,FASTCORE_ONLY_REENTRY
000990,2019-10-11,FASTCORE_ONLY_REENTRY
000990,2025-09-19,SHARED_REENTRY
001040,2013-02-01,SHARED_ENTRY
001040,2014-03-07,SHARED_REENTRY
001060,2018-02-02,SHARED_ENTRY
001060,2020-06-12,FASTCORE_ONLY_REENTRY
001060,2022-03-11,FASTCORE_ONLY_REENTRY
001060,2023-05-12,FASTCORE_ONLY_REENTRY
001060,2025-11-28,SHARED_REENTRY
001120,2012-12-28,SHARED_ENTRY
001120,2015-02-27,FASTCORE_ONLY_REENTRY
001120,2016-05-27,FASTCORE_ONLY_REENTRY
001120,2021-01-08,FASTCORE_ONLY_REENTRY
001120,2025-07-04,SHARED_REENTRY
001130,2014-08-01,SHARED_ENTRY
001230,2016-07-15,SHARED_ENTRY
001230,2026-02-27,SHARED_REENTRY
001270,2025-05-23,SHARED_ENTRY
001390,2025-11-28,SHARED_ENTRY
