variant,cohort,metric,trade_count,count_with_value,missing_count,missing_rate_pct,mean,minimum,p05,p10,p25,median,p75,p90,p95,maximum
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,351,350,1,0.2849,20.965176,0.0,0.0,1.98027,7.543304,17.730151,32.097606,45.106361,50.71843,74.66518
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,152,151,1,0.657895,14.445447,0.0,0.0,0.28169,4.347041,11.625616,21.445615,32.673535,39.301626,55.44
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,199,199,0,0.0,25.912306,0.0,0.837994,3.457822,11.541604,24.924698,37.25983,48.982105,57.324022,74.66518
FASTCORE_V1_W25_PREWINNER_ARMED_V00,LOSS_GUARD_RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,141,141,0,0.0,14.05302,0.0,0.0,0.0,4.157044,11.506173,21.331195,32.295719,37.59513,51.069768
FASTCORE_V1_W25_PREWINNER_ARMED_V00,LOSS_GUARD_NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,184,184,0,0.0,25.504029,0.0,0.479247,3.451856,10.772313,24.626306,36.160624,49.872237,57.829029,74.66518
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,297,296,1,0.3367,19.710886,0.0,0.0,1.758027,7.557422,16.660841,29.363358,41.293558,47.382824,69.884545
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,118,117,1,0.847458,13.366843,0.0,0.0,0.90735,5.231689,10.933334,19.786096,30.307531,35.85469,49.28
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,179,179,0,0.0,23.857552,0.0,1.568163,4.394396,11.388825,22.534435,33.575021,44.439345,52.033473,69.884545
FASTCORE_V1_W30_PREWINNER_ARMED_V00,LOSS_GUARD_RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,109,109,0,0.0,12.954438,0.0,0.0,0.38367,4.945055,10.155083,19.786096,29.476747,35.115427,45.302326
FASTCORE_V1_W30_PREWINNER_ARMED_V00,LOSS_GUARD_NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,164,164,0,0.0,23.598198,0.0,1.558766,3.494803,11.12969,22.406664,32.660684,44.814138,52.88781,69.884545
