variant,checkpoint,checkpoint_index,recovery_class,metric,count,mean,median,p25,p75
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,arm_to_checkpoint_close_delta_pp,151,0.897945,0.595947,-1.907932,3.35166
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,post_arm_additional_close_deterioration_pp,151,1.758708,0.540123,0.0,2.748015
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,post_arm_running_min_close_return_pct,151,-27.364082,-26.845638,-28.885172,-25.109322
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,post_arm_additional_low_deterioration_pp,151,2.510879,1.40118,0.338411,3.789243
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,weak_observation_count,151,1.0,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,strong_observation_count,151,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,unavailable_observation_count,151,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,weak_share_usable,151,1.0,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,consecutive_weak_streak,151,1.0,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,198,0.859967,0.639751,-1.687187,3.213023
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,post_arm_additional_close_deterioration_pp,198,1.728234,0.540396,0.0,2.946019
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,post_arm_running_min_close_return_pct,198,-27.420552,-27.245956,-29.601357,-24.702468
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,post_arm_additional_low_deterioration_pp,198,2.637623,1.873406,0.519092,4.028999
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,weak_observation_count,198,1.0,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,strong_observation_count,198,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,unavailable_observation_count,198,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,weak_share_usable,198,1.0,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,consecutive_weak_streak,198,1.0,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,arm_to_checkpoint_close_delta_pp,151,2.162617,1.254355,-2.233741,6.315767
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,post_arm_additional_close_deterioration_pp,151,2.97656,1.412257,0.0,4.687594
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,post_arm_running_min_close_return_pct,151,-28.745184,-27.572016,-31.065883,-25.98687
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,post_arm_additional_low_deterioration_pp,151,3.768685,2.245989,0.676821,6.104068
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,weak_observation_count,151,2.0,2.0,2.0,2.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,strong_observation_count,151,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,unavailable_observation_count,151,0.0,0.0,0.0,0.0
