variant,checkpoint,checkpoint_index,recovery_class,fast_state,fast_bucket,count,rate_pct,eligible_denominator
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,EXTENDED,STRONG,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,SETUP,WEAK,64,42.384106,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,TREND,STRONG,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,TRIGGER,STRONG,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,WATCH,WEAK,87,57.615894,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,EXTENDED,STRONG,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,SETUP,WEAK,70,35.353535,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,TREND,STRONG,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,TRIGGER,STRONG,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,WATCH,WEAK,128,64.646465,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,EXTENDED,STRONG,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,SETUP,WEAK,66,43.708609,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,TREND,STRONG,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,TRIGGER,STRONG,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,WATCH,WEAK,85,56.291391,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,EXTENDED,STRONG,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,SETUP,WEAK,70,35.353535,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,TREND,STRONG,1,0.505051,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,TRIGGER,STRONG,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,WATCH,WEAK,127,64.141414,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,EXTENDED,STRONG,1,0.662252,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,SETUP,WEAK,60,39.735099,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,TREND,STRONG,1,0.662252,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,TRIGGER,STRONG,4,2.649007,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,WATCH,WEAK,85,56.291391,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,EXTENDED,STRONG,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,SETUP,WEAK,72,36.363636,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,TREND,STRONG,2,1.010101,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,TRIGGER,STRONG,1,0.505051,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,WATCH,WEAK,123,62.121212,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,EXTENDED,STRONG,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,SETUP,WEAK,71,47.019868,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,TREND,STRONG,1,0.662252,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,TRIGGER,STRONG,3,1.986755,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,WATCH,WEAK,76,50.331126,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,EXTENDED,STRONG,0,0.0,196
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,SETUP,WEAK,66,33.673469,196
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,TREND,STRONG,3,1.530612,196
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,TRIGGER,STRONG,0,0.0,196
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,196
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,WATCH,WEAK,127,64.795918,196
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,EXTENDED,STRONG,0,0.0,148
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,SETUP,WEAK,69,46.621622,148
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,TREND,STRONG,2,1.351351,148
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,TRIGGER,STRONG,3,2.027027,148
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,148
