variant,control_trade_id,ticker,name,recovery_class,first_arm_date,first_arm_fast_date,first_arm_close_return_pct,first_mfe20_date,identity_support_end_date,checkpoint,checkpoint_index,checkpoint_date,eligible,censor_reason,checkpoint_close_return_pct,arm_to_checkpoint_close_delta_pp,post_arm_running_min_close_return_pct,post_arm_additional_close_deterioration_pp,post_arm_running_min_low_return_pct,post_arm_additional_low_deterioration_pp,fast_state,fast_bucket,weak_observation_count,strong_observation_count,unavailable_observation_count,weak_share_usable,consecutive_weak_streak
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,000050,경방,NEVER_WINNER,2022-06-23,2022-06-17,-30.718954,,2026-08-21,WEEK_1,1,2022-06-24,True,NONE,-18.954248,11.764706,-18.954248,0.0,-30.718954,0.0,WATCH,WEAK,1.0,0.0,0.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,000050,경방,NEVER_WINNER,2022-06-23,2022-06-17,-30.718954,,2026-08-21,WEEK_2,2,2022-07-01,True,NONE,-22.222222,8.496732,-22.222222,0.0,-30.718954,0.0,WATCH,WEAK,2.0,0.0,0.0,1.0,2.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,000050,경방,NEVER_WINNER,2022-06-23,2022-06-17,-30.718954,,2026-08-21,WEEK_3,3,2022-07-08,True,NONE,-19.607843,11.111111,-22.222222,0.0,-30.718954,0.0,WATCH,WEAK,3.0,0.0,0.0,1.0,3.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,000050,경방,NEVER_WINNER,2022-06-23,2022-06-17,-30.718954,,2026-08-21,WEEK_4,4,2022-07-15,True,NONE,-18.627451,12.091503,-22.222222,0.0,-30.718954,0.0,WATCH,WEAK,4.0,0.0,0.0,1.0,4.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,000050,경방,NEVER_WINNER,2022-06-23,2022-06-17,-30.718954,,2026-08-21,WEEK_6,6,2022-07-29,True,NONE,-14.052288,16.666666,-22.222222,0.0,-30.718954,0.0,WATCH,WEAK,6.0,0.0,0.0,1.0,6.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,000050,경방,NEVER_WINNER,2022-06-23,2022-06-17,-30.718954,,2026-08-21,WEEK_8,8,2022-08-12,True,NONE,-13.071895,17.647059,-22.222222,0.0,-30.718954,0.0,WATCH,WEAK,8.0,0.0,0.0,1.0,8.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,NEVER_WINNER,2022-06-22,2022-06-17,-25.159236,,2026-08-21,WEEK_1,1,2022-06-24,True,NONE,-21.019108,4.140128,-32.484076,7.32484,-32.484076,7.32484,WATCH,WEAK,1.0,0.0,0.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,NEVER_WINNER,2022-06-22,2022-06-17,-25.159236,,2026-08-21,WEEK_2,2,2022-07-01,True,NONE,-24.203822,0.955414,-32.484076,7.32484,-32.484076,7.32484,WATCH,WEAK,2.0,0.0,0.0,1.0,2.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,NEVER_WINNER,2022-06-22,2022-06-17,-25.159236,,2026-08-21,WEEK_3,3,2022-07-08,True,NONE,-21.656051,3.503185,-32.484076,7.32484,-32.484076,7.32484,WATCH,WEAK,3.0,0.0,0.0,1.0,3.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,NEVER_WINNER,2022-06-22,2022-06-17,-25.159236,,2026-08-21,WEEK_4,4,2022-07-15,True,NONE,-20.700637,4.458599,-32.484076,7.32484,-32.484076,7.32484,WATCH,WEAK,4.0,0.0,0.0,1.0,4.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,NEVER_WINNER,2022-06-22,2022-06-17,-25.159236,,2026-08-21,WEEK_6,6,2022-07-29,True,NONE,-16.242038,8.917198,-32.484076,7.32484,-32.484076,7.32484,WATCH,WEAK,6.0,0.0,0.0,1.0,6.0
