strategy_id,cohort,trade_count,positive_count,positive_rate_pct,mean_terminal_return_pct,median_terminal_return_pct,mean_mfe_pct,median_mfe_pct,mean_mae_pct,median_mae_pct,mean_holding_days,median_holding_days,le_neg_20_count,le_neg_20_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,ge_20_count,ge_20_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,ge_200_count,ge_200_rate_pct,ge_400_count,ge_400_rate_pct,mean_paired_return_delta_pp,median_paired_return_delta_pp,improved_count,improved_rate_pct,worsened_count,worsened_rate_pct,same_count,same_rate_pct,positive_to_nonpositive_count,nonpositive_to_positive_count,armed_trade_count,armed_trade_rate_pct,failure_confirmed_count,failure_confirmed_executed_count,armed_to_disarmed_count,armed_to_winner_mode_count,recovery_preempted_count,recovery_preserved_count,never_winner_captured_count,never_winner_missed_count,mean_holding_days_reduction,median_holding_days_reduction
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL,973,570,58.581706,5.225725,5.92,37.477801,24.24,-17.837174,-17.99,129.723535,87.0,331,34.018499,84,8.633094,5,0.513875,1,0.102775,1,0.102775,212,21.788284,115,11.819116,45,4.624872,20,2.055498,10,1.027749,3,0.308325,-3.440617,0.0,144,14.799589,184,18.910586,645,66.289825,120,0,351,36.073998,328,328,157,0,,,,,162.817061,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY,737,563,76.390773,14.78559,11.1,46.88137,29.22,-14.449742,-12.23,123.641791,82.0,137,18.588874,38,5.156038,1,0.135685,0,0.0,0,0.0,212,28.765265,115,15.603799,45,6.105834,20,2.713704,10,1.356852,3,0.407056,-8.610706,0.0,0,0.0,136,18.453189,601,81.546811,119,0,152,20.624152,136,136,72,0,136.0,601.0,,,76.507463,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER,236,7,2.966102,-24.628602,-26.725,8.111568,7.35,-28.41572,-28.91,148.716102,112.0,194,82.20339,46,19.491525,4,1.694915,1,0.423729,1,0.423729,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12.704958,7.09,144,61.016949,48,20.338983,44,18.644068,1,0,199,84.322034,192,192,85,0,,,192.0,44.0,432.351695,347.5
FASTCORE_V1_W25_PREWINNER_ARMED_V00,LOSS_GUARD_ALL,590,241,40.847458,-6.315407,-24.42,25.801475,15.585,-23.335322,-26.745,143.657627,96.0,305,51.694915,74,12.542373,4,0.677966,1,0.169492,1,0.169492,68,11.525424,33,5.59322,13,2.20339,5,0.847458,4,0.677966,2,0.338983,-5.502373,0.0,132,22.372881,170,28.813559,288,48.813559,112,0,325,55.084746,302,302,148,0,,,,,239.755932,28.5
FASTCORE_V1_W25_PREWINNER_ARMED_V00,LOSS_GUARD_RECOVERY,387,238,61.498708,4.079147,5.37,35.242584,24.45,-19.973488,-21.39,139.346253,90.0,126,32.55814,33,8.527132,1,0.258398,0,0.0,0,0.0,68,17.571059,33,8.527132,13,3.359173,5,1.29199,4,1.033592,2,0.516796,-15.430698,0.0,0,0.0,125,32.299742,262,67.700258,111,0,141,36.434109,125,125,68,0,125.0,262.0,,,131.160207,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,LOSS_GUARD_NEVER_WINNER,203,3,1.477833,-26.131626,-26.82,7.802906,7.12,-29.744335,-29.18,151.876847,105.0,179,88.17734,41,20.197044,3,1.477833,1,0.492611,1,0.492611,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13.425025,9.96,132,65.024631,45,22.167488,26,12.807882,1,0,184,90.640394,177,177,80,0,,,177.0,26.0,446.783251,398.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL,973,599,61.562179,5.535725,7.17,38.500822,25.42,-19.05816,-17.99,148.956835,100.0,291,29.907503,255,26.207605,8,0.822199,1,0.102775,1,0.102775,220,22.610483,116,11.921891,45,4.624872,20,2.055498,10,1.027749,3,0.308325,-3.130617,0.0,123,12.641316,154,15.827338,696,71.531346,91,0,297,30.524152,277,277,126,0,,,,,143.583762,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY,737,592,80.325645,15.958535,12.08,48.216608,30.54,-15.081493,-12.23,136.709634,87.0,106,14.382632,99,13.432836,2,0.27137,0,0.0,0,0.0,220,29.850746,116,15.739484,45,6.105834,20,2.713704,10,1.356852,3,0.407056,-7.437761,0.0,0,0.0,105,14.246947,632,85.753053,90,0,118,16.010855,105,105,46,0,105.0,632.0,,,63.43962,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER,236,7,2.966102,-27.013475,-30.945,8.159576,7.35,-31.476822,-33.135,187.20339,125.5,185,78.389831,156,66.101695,6,2.542373,1,0.423729,1,0.423729,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10.320085,1.795,123,52.118644,49,20.762712,64,27.118644,1,0,179,75.847458,172,172,80,0,,,172.0,64.0,393.864407,314.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,LOSS_GUARD_ALL,590,268,45.423729,-5.804254,-5.935,27.424085,19.61,-25.191237,-28.84,173.694915,117.5,267,45.254237,235,39.830508,7,1.186441,1,0.169492,1,0.169492,76,12.881356,34,5.762712,13,2.20339,5,0.847458,4,0.677966,2,0.338983,-4.99122,0.0,112,18.983051,141,23.898305,337,57.118644,85,0,273,46.271186,253,253,118,0,,,,,209.718644,0.0
