population,recovery_class,metric,stat,value,total_count,total_rate_pct,recovery_count,recovery_rate_pct,never_winner_count,never_winner_rate_pct,recovery_within_bin_rate_pct
ALL_973,RECOVERY,prewinner_min_close_return_pct,minimum,-81.12,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,p05,-48.212808,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,p10,-39.377086,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,p25,-21.054524,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,median,-10.739191,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,p75,-3.659775,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,p90,0.546448,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,p95,2.947478,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,maximum,14.068441,,,,,,,
ALL_973,RECOVERY,prewinner_min_close_return_pct,mean,-15.161884,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,minimum,-81.56,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,p05,-49.071396,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,p10,-40.711286,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,p25,-22.996512,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,median,-12.42741,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,p75,-5.501841,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,p90,-1.785714,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,p95,-0.755698,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,maximum,0.0,,,,,,,
ALL_973,RECOVERY,prewinner_min_low_return_pct,mean,-16.891987,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,minimum,-99.931436,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,p05,-81.406755,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,p10,-74.118515,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,p25,-60.757216,,,,,,,
