ticker,name,control_trade_id,control_trade_sequence,entry_execution_date,entry_open,v0_mfe,recovery_class,first_mfe20_date,days_to_first_mfe20,prewinner_start_date,prewinner_end_date,prewinner_min_close_return_pct,prewinner_min_close_date,prewinner_min_low_return_pct,prewinner_min_low_date,v2_exit_reason,v0_terminal_return,v0_holding_days
000050,경방,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,1,2021-05-31,15300.0,16.01,NEVER_WINNER,,,2021-05-31,2026-08-14,-62.222222,2024-10-18,-62.875817,2024-11-12,LOSS_GUARD_CLOSE_LE_NEG_15,-46.47,1281
000050,경방,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,2,2022-05-02,15700.0,10.83,NEVER_WINNER,,,2022-05-02,2026-08-14,-63.184713,2024-10-18,-63.821656,2024-11-12,LOSS_GUARD_CLOSE_LE_NEG_15,-47.83,1053
000060,메리츠화재,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000060_KR7000060004_KOSPI_01,1,2021-04-05,19000.0,82.63,RECOVERY,2021-07-22,76.0,2021-04-05,2021-07-21,-9.210526,2021-05-21,-9.736842,2021-05-20,EXIT4_SCORE_DRAWDOWN_GE_15,46.32,143
000070,삼양홀딩스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000070_KR7000070003_KOSPI_01,1,2025-06-16,57321.0,24.68,RECOVERY,2025-10-15,81.0,2025-06-16,2025-10-14,-6.985224,2025-08-01,-7.683048,2025-08-20,EXIT4_SCORE_DRAWDOWN_GE_15,6.24,98
000080,하이트진로,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,1,2021-07-05,36650.0,5.46,NEVER_WINNER,,,2021-07-05,2026-08-14,-61.091405,2026-06-26,-62.264666,2026-06-26,LOSS_GUARD_CLOSE_LE_NEG_15,-58.42,1256
000100,유한양행,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000100_KR7000100008_KOSPI_01,1,2023-06-05,58955.0,28.09,RECOVERY,2023-08-01,40.0,2023-06-05,2023-07-31,-8.11636,2023-07-10,-9.09168,2023-07-10,EXIT4_SCORE_DRAWDOWN_GE_15,14.45,64
000120,CJ대한통운,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,1,2024-01-08,125600.0,22.61,RECOVERY,2026-02-11,510.0,2024-01-08,2026-02-10,-38.216561,2025-05-21,-38.853503,2024-11-15,LOSS_GUARD_CLOSE_LE_NEG_15,4.7,521
000120,CJ대한통운,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_02,2,2026-02-02,104800.0,46.95,RECOVERY,2026-02-10,6.0,2026-02-02,2026-02-09,-5.534351,2026-02-02,-6.01145,2026-02-02,LOSS_GUARD_CLOSE_LE_NEG_15,25.48,18
000150,두산,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_01,1,2021-07-05,98200.0,20.67,RECOVERY,2021-07-15,8.0,2021-07-05,2021-07-14,-2.545825,2021-07-05,-3.258656,2021-07-05,EXIT4_SCORE_DRAWDOWN_GE_15,3.87,16
000150,두산,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_02,2,2022-11-28,97300.0,22.2,RECOVERY,2023-08-01,168.0,2022-11-28,2023-07-31,-21.068859,2023-01-02,-22.610483,2023-01-02,LOSS_GUARD_CLOSE_LE_NEG_15,9.76,172
