threshold_pct,recovery_breach_count,recovery_breach_rate_pct,recovery_killed_count,recovery_killed_rate_pct,recovery_survived_without_breach_count,recovery_survived_without_breach_rate_pct,recovery_breach_without_next_open_count,never_winner_breach_count,never_winner_breach_rate_pct,failed_trade_captured_count,failed_trade_captured_rate_pct,failed_trade_missed_count,failed_trade_missed_rate_pct,never_winner_breach_without_next_open_count,failure_captures_per_recovery_killed,hypothetical_trades,hypothetical_positive_count,hypothetical_positive_rate_pct,hypothetical_mean_terminal_return_pct,hypothetical_median_terminal_return_pct,hypothetical_mean_holding_days,hypothetical_median_holding_days,hypothetical_ge_20_count,hypothetical_ge_20_rate_pct,hypothetical_ge_30_count,hypothetical_ge_30_rate_pct,hypothetical_ge_50_count,hypothetical_ge_50_rate_pct,hypothetical_ge_100_count,hypothetical_ge_100_rate_pct,hypothetical_le_-20_count,hypothetical_le_-20_rate_pct,hypothetical_le_-30_count,hypothetical_le_-30_rate_pct,hypothetical_le_-40_count,hypothetical_le_-40_rate_pct,hypothetical_le_-50_count,hypothetical_le_-50_rate_pct,hypothetical_le_-60_count,hypothetical_le_-60_rate_pct,baseline_v0_trades,baseline_v0_positive_count,baseline_v0_positive_rate_pct,baseline_v0_mean_terminal_return_pct,baseline_v0_median_terminal_return_pct,baseline_v0_mean_holding_days,baseline_v0_median_holding_days,baseline_v0_ge_20_count,baseline_v0_ge_20_rate_pct,baseline_v0_ge_30_count,baseline_v0_ge_30_rate_pct,baseline_v0_ge_50_count,baseline_v0_ge_50_rate_pct,baseline_v0_ge_100_count,baseline_v0_ge_100_rate_pct,baseline_v0_le_-20_count,baseline_v0_le_-20_rate_pct,baseline_v0_le_-30_count,baseline_v0_le_-30_rate_pct,baseline_v0_le_-40_count,baseline_v0_le_-40_rate_pct,baseline_v0_le_-50_count,baseline_v0_le_-50_rate_pct,baseline_v0_le_-60_count,baseline_v0_le_-60_rate_pct,delta_positive_rate_pct,delta_mean_terminal_return_pct,delta_median_terminal_return_pct,delta_mean_holding_days,delta_median_holding_days,delta_ge_20_count,delta_ge_20_rate_pct,delta_ge_30_count,delta_ge_30_rate_pct,delta_ge_50_count,delta_ge_50_rate_pct,delta_ge_100_count,delta_ge_100_rate_pct,delta_le_-20_count,delta_le_-20_rate_pct,delta_le_-30_count,delta_le_-30_rate_pct,delta_le_-40_count,delta_le_-40_rate_pct,delta_le_-50_count,delta_le_-50_rate_pct,delta_le_-60_count,delta_le_-60_rate_pct
-15,289,39.213026,289,39.213026,448,60.786974,0,220,93.220339,220,93.220339,16,6.779661,0,0.761246,973,423,43.473792,2.373546,-13.16,71.910586,46.0,157,16.135663,84,8.633094,32,3.288798,15,1.541624,23,2.363823,1,0.102775,1,0.102775,0,0.0,0,0.0,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-27.440905,-6.292795,-22.36,-220.63001,-82.0,-89,-9.146968,-47,-4.830421,-18,-1.849948,-9,-0.924974,-150,-15.416239,-138,-14.182939,-110,-11.305241,-72,-7.399794,-40,-4.110997
-20,208,28.222524,208,28.222524,529,71.777476,0,209,88.559322,209,88.559322,27,11.440678,0,1.004808,973,497,51.079137,3.275087,1.35,97.659815,66.0,184,18.910586,98,10.071942,36,3.699897,17,1.747174,314,32.271326,2,0.20555,1,0.102775,0,0.0,0,0.0,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-19.83556,-5.391254,-7.85,-194.880781,-62.0,-62,-6.372045,-33,-3.391573,-14,-1.438849,-7,-0.719424,141,14.491264,-137,-14.080164,-110,-11.305241,-72,-7.399794,-40,-4.110997
-25,153,20.759837,153,20.759837,584,79.240163,0,199,84.322034,199,84.322034,37,15.677966,0,1.300654,973,551,56.628983,4.123607,5.42,120.416238,82.0,207,21.274409,110,11.305242,42,4.316547,18,1.849949,353,36.279548,18,1.849949,2,0.20555,0,0.0,0,0.0,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-14.285714,-4.542734,-3.78,-172.124358,-46.0,-39,-4.008222,-21,-2.158273,-8,-0.822199,-6,-0.616649,180,18.499486,-121,-12.435765,-109,-11.202466,-72,-7.399794,-40,-4.110997
-30,118,16.010855,118,16.010855,619,83.989145,0,179,75.847458,179,75.847458,57,24.152542,0,1.516949,973,586,60.226105,5.261881,6.57,140.441932,95.0,217,22.302158,116,11.921891,45,4.624872,20,2.055498,307,31.551901,251,25.796506,4,0.4111,1,0.102775,1,0.102775,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-10.688592,-3.40446,-2.63,-152.098664,-33.0,-29,-2.980473,-15,-1.541624,-5,-0.513874,-4,-0.4111,134,13.771839,112,11.510792,-107,-10.996916,-71,-7.297019,-39,-4.008222
-35,95,12.890095,95,12.890095,642,87.109905,0,162,68.644068,162,68.644068,74,31.355932,0,1.705263,973,609,62.589928,5.243381,7.38,163.959918,104.0,225,23.124358,117,12.024666,45,4.624872,20,2.055498,276,28.365879,260,26.72148,9,0.924974,2,0.20555,1,0.102775,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-8.324769,-3.42296,-1.82,-128.580678,-24.0,-21,-2.158273,-14,-1.438849,-5,-0.513874,-4,-0.4111,103,10.585817,121,12.435766,-102,-10.483042,-70,-7.194244,-39,-4.008222
-40,70,9.497965,70,9.497965,667,90.502035,0,146,61.864407,146,61.864407,90,38.135593,0,2.085714,973,631,64.850976,6.07372,7.79,186.182939,114.0,232,23.843782,124,12.74409,47,4.830421,22,2.261048,248,25.488181,226,23.227133,180,18.499486,3,0.308325,1,0.102775,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-6.063721,-2.592621,-1.41,-106.357657,-14.0,-14,-1.438849,-7,-0.719425,-3,-0.308325,-2,-0.20555,75,7.708119,87,8.941419,69,7.09147,-69,-7.091469,-39,-4.008222
-45,51,6.919946,51,6.919946,686,93.080054,0,123,52.118644,123,52.118644,113,47.881356,0,2.411765,973,649,66.700925,6.817975,8.27,208.811922,121.0,240,24.665982,129,13.257965,49,5.035971,24,2.466598,226,23.227133,198,20.349435,180,18.499486,8,0.822199,1,0.102775,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-4.213772,-1.848366,-0.93,-83.728674,-7.0,-6,-0.616649,-2,-0.20555,-1,-0.102775,0,0.0,53,5.447071,59,6.063721,69,7.09147,-64,-6.577595,-39,-4.008222
-50,33,4.477612,33,4.477612,704,95.522388,0,107,45.338983,107,45.338983,129,54.661017,0,3.242424,973,663,68.139774,7.230719,8.56,228.007194,125.0,241,24.768756,129,13.257965,49,5.035971,24,2.466598,208,21.377184,179,18.396711,155,15.930113,122,12.538541,1,0.102775,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-2.774923,-1.435622,-0.64,-64.533402,-3.0,-5,-0.513875,-2,-0.20555,-1,-0.102775,0,0.0,35,3.597122,40,4.110997,44,4.522097,50,5.138747,-39,-4.008222
-55,20,2.713704,20,2.713704,717,97.286296,0,87,36.864407,87,36.864407,149,63.135593,0,4.35,973,674,69.270298,7.680606,8.84,245.533402,125.0,242,24.871531,129,13.257965,49,5.035971,24,2.466598,194,19.938335,162,16.649538,135,13.874615,109,11.202467,5,0.513875,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-1.644399,-0.985735,-0.36,-47.007194,-3.0,-4,-0.4111,-2,-0.20555,-1,-0.102775,0,0.0,21,2.158273,23,2.363824,24,2.466599,37,3.802673,-35,-3.597122
-60,13,1.763908,13,1.763908,724,98.236092,0,63,26.694915,63,26.694915,173,73.305085,0,4.846154,973,680,69.886948,8.050946,9.07,264.453237,126.0,243,24.974306,130,13.36074,49,5.035971,24,2.466598,186,19.116136,152,15.621788,125,12.846865,91,9.352518,71,7.29702,973,690,70.914697,8.666341,9.2,292.540596,128.0,246,25.282631,131,13.463515,50,5.138746,24,2.466598,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,-1.027749,-0.615395,-0.13,-28.087359,-2.0,-3,-0.308325,-1,-0.102775,-1,-0.102775,0,0.0,13,1.336074,13,1.336074,14,1.438849,19,1.952724,31,3.186023
