strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_signal_information_date,entry_execution_date,entry_open,entry_market_cap,market_cap_source,market_cap_anchor_date,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_status,hwm_price,mfe,mae,mfe_tier,max_hwm_drawdown_pct,soft_threshold_pct,hard_threshold_pct,fast_state_at_exit,exit_mfe_tier,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,final_valuation_date,final_valuation_price,unexecuted_exit_signal_date,unexecuted_exit_reason,terminal_return,holding_trading_days,identity_effective_from,identity_effective_to,종목명,매수일자,매수금액,매도일자,매도금액,수익률,보유일수,MFE,MAE,매도 사유
FASTCORE_V3_SIMPLE_V00,000050,KR7000050005,경방,KOSPI,FASTCORE_V3_SIMPLE_V00_000050_001,1,2021-05-28,2021-05-28,2021-05-31,15300.0,423565921500.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-05-28,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,17750.0,16.01,-62.88,BELOW_WINNER_MODE,-67.44,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,8190.0,,,-46.47,1281,2010-01-04,2026-08-21,경방,2021-05-31,15300.0,,,-46.47,1281,16.01,-62.88,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,000060,KR7000060004,메리츠화재,KOSPI,FASTCORE_V3_SIMPLE_V00_000060_001,1,2021-04-02,2021-04-02,2021-04-05,19000.0,2291875000000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-04-02,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,81.55,READY,34700.0,82.63,-9.74,MFE_50_TO_100,-20.17,-15.0,-25.0,SETUP,MFE_50_TO_100,2021-10-29,2021-11-01,27800.0,SOFT_EXIT,REALIZED,2021-11-01,27800.0,,,46.32,143,2010-01-04,2023-02-20,메리츠화재,2021-04-05,19000.0,2021-11-01,27800.0,46.32,143,82.63,-9.74,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000070,KR7000070003,삼양홀딩스,KOSPI,FASTCORE_V3_SIMPLE_V00_000070_001,1,2025-06-13,2025-06-13,2025-06-16,57321.0,748188508200.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-06-13,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.99,READY,71468.0,24.68,-7.68,MFE_20_TO_50,-21.51,-10.0,-20.0,SETUP,MFE_20_TO_50,2025-11-28,2025-12-01,60900.0,SOFT_EXIT,REALIZED,2025-12-01,60900.0,,,6.24,98,2010-01-04,2026-08-21,삼양홀딩스,2025-06-16,57321.0,2025-12-01,60900.0,6.24,98,24.68,-7.68,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000080,KR7000080002,하이트진로,KOSPI,FASTCORE_V3_SIMPLE_V00_000080_001,1,2021-07-02,2021-07-02,2021-07-05,36650.0,2577410204250.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-07-02,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,75.1,READY,38650.0,5.46,-62.26,BELOW_WINNER_MODE,-63.1,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,15240.0,,,-58.42,1256,2010-01-04,2026-08-21,하이트진로,2021-07-05,36650.0,,,-58.42,1256,5.46,-62.26,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,000100,KR7000100008,유한양행,KOSPI,FASTCORE_V3_SIMPLE_V00_000100_001,1,2023-06-02,2023-06-02,2023-06-05,58955.0,4682621942700.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2023-06-02,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,75513.0,28.09,-9.09,MFE_20_TO_50,-10.65,-10.0,-20.0,SETUP,MFE_20_TO_50,2023-09-01,2023-09-04,67474.0,SOFT_EXIT,REALIZED,2023-09-04,67474.0,,,14.45,64,2010-01-04,2026-08-21,유한양행,2023-06-05,58955.0,2023-09-04,67474.0,14.45,64,28.09,-9.09,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000100,KR7000100008,유한양행,KOSPI,FASTCORE_V3_SIMPLE_V00_000100_002,2,2023-09-08,2023-09-08,2023-09-11,70727.0,5594621961000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2023-09-08,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.49,READY,100400.0,41.95,-25.71,MFE_20_TO_50,-36.43,-10.0,-20.0,SETUP,MFE_20_TO_50,2024-08-09,2024-08-12,89300.0,SOFT_EXIT,REALIZED,2024-08-12,89300.0,,,26.26,225,2010-01-04,2026-08-21,유한양행,2023-09-11,70727.0,2024-08-12,89300.0,26.26,225,41.95,-25.71,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000120,KR7000120006,CJ대한통운,KOSPI,FASTCORE_V3_SIMPLE_V00_000120_001,1,2024-01-05,2024-01-05,2024-01-08,125600.0,2853824234400.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2024-01-05,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.24,READY,154000.0,22.61,-38.85,MFE_20_TO_50,-47.78,-10.0,-20.0,SETUP,MFE_20_TO_50,2026-02-27,2026-03-03,131500.0,SOFT_EXIT,REALIZED,2026-03-03,131500.0,,,4.7,521,2010-01-04,2026-08-21,CJ대한통운,2024-01-08,125600.0,2026-03-03,131500.0,4.7,521,22.61,-38.85,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000150,KR7000150003,두산,KOSPI,FASTCORE_V3_SIMPLE_V00_000150_001,1,2021-07-02,2021-07-02,2021-07-05,98200.0,1627597747500.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-07-02,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.49,READY,118500.0,20.67,-3.26,MFE_20_TO_50,-14.77,-10.0,-20.0,SETUP,MFE_20_TO_50,2021-07-23,2021-07-26,102000.0,SOFT_EXIT,REALIZED,2021-07-26,102000.0,,,3.87,16,2010-01-04,2026-08-21,두산,2021-07-05,98200.0,2021-07-26,102000.0,3.87,16,20.67,-3.26,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000150,KR7000150003,두산,KOSPI,FASTCORE_V3_SIMPLE_V00_000150_002,2,2022-11-25,2022-11-25,2022-11-28,97300.0,1616031063000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2022-11-25,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.29,READY,118900.0,22.2,-22.61,MFE_20_TO_50,-23.46,-10.0,-20.0,SETUP,MFE_20_TO_50,2023-08-03,2023-08-04,106800.0,SOFT_EXIT,REALIZED,2023-08-04,106800.0,,,9.76,172,2010-01-04,2026-08-21,두산,2022-11-28,97300.0,2023-08-04,106800.0,9.76,172,22.2,-22.61,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000180,KR7000180000,성창기업지주,KOSPI,FASTCORE_V3_SIMPLE_V00_000180_001,1,2021-04-30,2021-04-30,2021-05-03,14275.0,201582124000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-04-30,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,74.99,READY,17675.0,23.82,-0.88,MFE_20_TO_50,-15.13,-10.0,-20.0,SETUP,MFE_20_TO_50,2021-05-21,2021-05-24,14875.0,SOFT_EXIT,REALIZED,2021-05-24,14875.0,,,4.2,14,2010-01-04,2026-08-21,성창기업지주,2021-05-03,14275.0,2021-05-24,14875.0,4.2,14,23.82,-0.88,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000180,KR7000180000,성창기업지주,KOSPI,FASTCORE_V3_SIMPLE_V00_000180_002,2,2025-09-05,2025-09-05,2025-09-08,8795.0,120949274400.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-09-05,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,71.05,READY,9245.0,5.12,-50.03,BELOW_WINNER_MODE,-51.87,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,5290.0,,,-39.85,219,2010-01-04,2026-08-21,성창기업지주,2025-09-08,8795.0,,,-39.85,219,5.12,-50.03,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,000210,KR7000210005,DL,KOSPI,FASTCORE_V3_SIMPLE_V00_000210_001,1,2025-07-04,2025-07-04,2025-07-07,50100.0,1045698611600.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-07-04,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,65.54,READY,67200.0,34.13,-32.34,MFE_20_TO_50,-38.65,-10.0,-20.0,SETUP,MFE_20_TO_50,2026-04-03,2026-04-06,61600.0,SOFT_EXIT,REALIZED,2026-04-06,61600.0,,,22.95,183,2010-01-04,2026-08-21,DL,2025-07-07,50100.0,2026-04-06,61600.0,22.95,183,34.13,-32.34,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000210,KR7000210005,DL,KOSPI,FASTCORE_V3_SIMPLE_V00_000210_002,2,2026-04-17,2026-04-17,2026-04-20,64100.0,1353750106400.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2026-04-17,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,77.99,READY,77700.0,21.22,-3.59,MFE_20_TO_50,-17.63,-10.0,-20.0,SETUP,MFE_20_TO_50,2026-05-08,2026-05-11,63800.0,SOFT_EXIT,REALIZED,2026-05-11,63800.0,,,-0.47,14,2010-01-04,2026-08-21,DL,2026-04-20,64100.0,2026-05-11,63800.0,-0.47,14,21.22,-3.59,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000230,KR7000230003,일동홀딩스,KOSPI,FASTCORE_V3_SIMPLE_V00_000230_001,1,2025-11-07,2025-11-07,2025-11-10,13290.0,154987572000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-11-07,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,72.74,READY,16370.0,23.18,-10.08,MFE_20_TO_50,-14.78,-10.0,-20.0,SETUP,MFE_20_TO_50,2025-11-21,2025-11-24,14220.0,SOFT_EXIT,REALIZED,2025-11-24,14220.0,,,7.0,11,2010-01-04,2026-08-21,일동홀딩스,2025-11-10,13290.0,2025-11-24,14220.0,7.0,11,23.18,-10.08,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000240,KR7000240002,한국앤컴퍼니,KOSPI,FASTCORE_V3_SIMPLE_V00_000240_001,1,2023-12-01,2023-12-01,2023-12-04,15710.0,1463901400800.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2023-12-01,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,75.74,READY,23750.0,51.18,-0.7,MFE_50_TO_100,-33.26,-15.0,-25.0,SETUP,MFE_50_TO_100,2023-12-15,2023-12-18,20600.0,HARD_EXIT,REALIZED,2023-12-18,20600.0,,,31.13,11,2010-01-04,2026-08-21,한국앤컴퍼니,2023-12-04,15710.0,2023-12-18,20600.0,31.13,11,51.18,-0.7,HARD_EXIT
FASTCORE_V3_SIMPLE_V00,000240,KR7000240002,한국앤컴퍼니,KOSPI,FASTCORE_V3_SIMPLE_V00_000240_002,2,2024-09-13,2024-09-13,2024-09-19,18000.0,1689847272000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2024-09-13,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.24,READY,21900.0,21.67,-12.28,MFE_20_TO_50,-12.79,-10.0,-20.0,WATCH,MFE_20_TO_50,2024-12-18,2024-12-19,18830.0,SOFT_EXIT,REALIZED,2024-12-19,18830.0,,,4.61,63,2010-01-04,2026-08-21,한국앤컴퍼니,2024-09-19,18000.0,2024-12-19,18830.0,4.61,63,21.67,-12.28,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,000240,KR7000240002,한국앤컴퍼니,KOSPI,FASTCORE_V3_SIMPLE_V00_000240_003,3,2025-07-04,2025-07-04,2025-07-07,20450.0,1969906230000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-07-04,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,26750.0,30.81,-1.71,MFE_20_TO_50,-20.37,-10.0,-20.0,SETUP,MFE_20_TO_50,2025-08-22,2025-08-25,21450.0,HARD_EXIT,REALIZED,2025-08-25,21450.0,,,4.89,35,2010-01-04,2026-08-21,한국앤컴퍼니,2025-07-07,20450.0,2025-08-25,21450.0,4.89,35,30.81,-1.71,HARD_EXIT
