case_type,rank,ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,entry_signal_date,entry_execution_date,entry_open,full_path_raw_mfe,full_path_mfe_cohort,v2_exit_category,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_giveback,v3_exit_reason,v3_terminal_return,v4_exit_reason,v4_terminal_return,v4_strategy_path_mfe,v4_strategy_path_mae,v4_holding_days,v4_giveback,return_delta_v4_minus_v2
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,1,115960,연우,KOSDAQ,KR7115960007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_115960_KR7115960007_KOSDAQ_01,1,2021-04-09,2021-04-12,30550.0,13.747954,PRE_WINNER_LT_20,EXIT3,-32.08,3.93,-32.08,160,36.01,OPEN_AT_CUTOFF,-53.78,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-16.53,3.93,-18.17,89,20.46,15.55
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,2,000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_05,5,2026-01-30,2026-02-02,59700.0,18.927973,PRE_WINNER_LT_20,EXIT3,-45.64,18.93,-48.07,122,64.57,OPEN_AT_CUTOFF,-37.52,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-30.74,18.93,-37.1,98,49.67,14.9
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,3,008770,호텔신라,KOSPI,KR7008770000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_008770_KR7008770000_KOSPI_02,2,2023-01-06,2023-01-09,85400.0,10.070258,PRE_WINNER_LT_20,LOSS_GUARD,-16.63,1.76,-16.63,46,18.39,OPEN_AT_CUTOFF,-50.47,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-13.23,4.22,-22.01,139,17.45,3.4
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,4,060980,HL홀딩스,KOSPI,KR7060980000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_060980_KR7060980000_KOSPI_01,1,2021-09-17,2021-09-23,56700.0,1.587302,PRE_WINNER_LT_20,EXIT4,-23.46,1.59,-23.54,48,25.05,OPEN_AT_CUTOFF,-31.83,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-20.19,1.59,-23.63,51,21.78,3.27
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,5,009580,무림P&P,KOSPI,KR7009580002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_009580_KR7009580002_KOSPI_01,1,2021-04-23,2021-04-26,5460.0,18.131868,PRE_WINNER_LT_20,EXIT4,-19.32,18.13,-19.96,109,37.45,OPEN_AT_CUTOFF,-70.27,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-16.3,18.13,-17.22,82,34.43,3.02
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,6,214870,한울BnC,KOSDAQ,KR7214870008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_214870_KR7214870008_KOSDAQ_01,1,2021-08-27,2021-08-30,68549.0,9.852806,PRE_WINNER_LT_20,LOSS_GUARD,-19.71,0.73,-19.71,20,20.44,OPEN_AT_CUTOFF,-99.93,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-17.15,0.73,-24.09,71,17.88,2.56
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,7,039130,하나투어,KOSPI,KR7039130000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_039130_KR7039130000_KOSPI_03,3,2024-02-02,2024-02-05,64900.0,8.782743,PRE_WINNER_LT_20,LOSS_GUARD,-17.1,8.78,-18.18,48,25.88,OPEN_AT_CUTOFF,-51.93,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-14.79,8.78,-19.57,113,23.57,2.31
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,8,108670,LX하우시스,KOSPI,KR7108670001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_108670_KR7108670001_KOSPI_01,1,2026-05-22,2026-05-26,39450.0,0.126743,PRE_WINNER_LT_20,LOSS_GUARD,-17.24,0.13,-17.24,5,17.37,OPEN_AT_CUTOFF,-14.45,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-14.96,0.13,-27.25,43,15.09,2.28
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,9,013030,하이록코리아,KOSDAQ,KR7013030002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_013030_KR7013030002_KOSDAQ_02,2,2026-04-10,2026-04-13,42200.0,13.981043,PRE_WINNER_LT_20,LOSS_GUARD,-17.54,13.98,-17.54,33,31.52,OPEN_AT_CUTOFF,-29.03,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-15.52,13.98,-24.41,42,29.5,2.02
PRE_WINNER_EXIT_REDUCED_LARGE_LOSS,10,069620,대웅제약,KOSPI,KR7069620003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_069620_KR7069620003_KOSPI_01,1,2022-03-18,2022-03-21,171500.0,16.268222,PRE_WINNER_LT_20,LOSS_GUARD,-15.74,13.99,-16.33,142,29.73,OPEN_AT_CUTOFF,-30.32,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-13.99,13.99,-16.91,144,27.98,1.75
