strategy_id,execution_date,event_type,ticker,name,signal_date,signal_type,open_price,shares_before,shares_delta,shares_after,cash_before,cash_delta,cash_after,position_cost_basis,realized_pnl,realized_return,portfolio_equity_after_execution
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-07,ENTRY,088980,맥쿼리인프라,2022-02-04,FASTCORE_FRESH_ENTRY,13891.0,0,359,359,200000000.0,-4986869.0,195013131.0,13891.0,0.0,0.0,200000000.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-07,ENTRY,004370,농심,2022-02-04,FASTCORE_FRESH_ENTRY,336500.0,0,14,14,195013131.0,-4711000.0,190302131.0,336500.0,0.0,0.0,200000000.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-07,ENTRY,047810,한국항공우주,2022-02-04,FASTCORE_FRESH_ENTRY,36100.0,0,138,138,190302131.0,-4981800.0,185320331.0,36100.0,0.0,0.0,200000000.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-07,ENTRY,051370,인터플렉스,2022-02-04,FASTCORE_FRESH_ENTRY,16900.0,0,295,295,185320331.0,-4985500.0,180334831.0,16900.0,0.0,0.0,200000000.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-07,ENTRY,053610,프로텍,2022-02-04,FASTCORE_FRESH_ENTRY,34700.0,0,144,144,180334831.0,-4996800.0,175338031.0,34700.0,0.0,0.0,200000000.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-07,ENTRY,065680,우주일렉트로,2022-02-04,FASTCORE_FRESH_ENTRY,32300.0,0,154,154,175338031.0,-4974200.0,170363831.0,32300.0,0.0,0.0,200000000.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-07,ENTRY,090460,비에이치,2022-02-04,FASTCORE_FRESH_ENTRY,22900.0,0,218,218,170363831.0,-4992200.0,165371631.0,22900.0,0.0,0.0,200000000.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-14,ENTRY,051360,토비스,2022-02-11,FASTCORE_FRESH_ENTRY,7309.0,0,684,684,165371631.0,-4999356.0,160372275.0,7309.0,0.0,0.0,196978727.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-21,FULL_EXIT,065680,우주일렉트로,2022-02-14,LOSS_GUARD_CLOSE_LE_NEG_15,26850.0,154,-154,0,160372275.0,4134900.0,164507175.0,32300.0,-839300.0,-16.873065,196570459.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-21,FULL_EXIT,090460,비에이치,2022-02-14,LOSS_GUARD_CLOSE_LE_NEG_15,18950.0,218,-218,0,164507175.0,4131100.0,168638275.0,22900.0,-861100.0,-17.248908,196570459.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-28,FULL_EXIT,053610,프로텍,2022-02-24,LOSS_GUARD_CLOSE_LE_NEG_15,29500.0,144,-144,0,168638275.0,4248000.0,172886275.0,34700.0,-748800.0,-14.985591,196673769.0
PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-02-28,FULL_EXIT,051360,토비스,2022-02-22,LOSS_GUARD_CLOSE_LE_NEG_15,5972.0,684,-684,0,172886275.0,4084848.0,176971123.0,7309.0,-914508.0,-18.292516,196673769.0
