trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_source_isu_cd,control_lifecycle_event_type,control_unresolved_reason,control_lifecycle_evidence_id,control_terminal_reason,control_lifecycle_state,control_certification_class,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_lifecycle_state,candidate_certification_class,pair_certification_class,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source,candidate_source_isu_cd,candidate_lifecycle_event_type,candidate_unresolved_reason,candidate_lifecycle_evidence_id,trade_status,terminal_reason
000020_01,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_01,000020,KR7000020008|KOSPI|2010-01-04|2026-09-01,2014-04-21,2014-04-18,6020.00000000,2014-07-30,nan,-15.61000000,68,False,2014-07-30,nan,-15.61000000,68,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000020008,,,,,,,,,,,,,,,,,,,KR7000020008,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000020_02,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_02,000020,KR7000020008|KOSPI|2010-01-04|2026-09-01,2014-11-03,2014-10-31,6100.00000000,2014-12-09,nan,-15.90000000,27,False,2014-12-09,nan,-15.90000000,27,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000020008,,,,,,,,,,,,,,,,,,,KR7000020008,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000020_03,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_03,000020,KR7000020008|KOSPI|2010-01-04|2026-09-01,2015-03-16,2015-03-13,6770.00000000,2015-09-01,nan,4.87000000,118,False,2015-09-01,nan,4.87000000,118,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000020008,,,,,,,,,,,,,,,,,,,KR7000020008,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000020_04,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_04,000020,KR7000020008|KOSPI|2010-01-04|2026-09-01,2018-01-29,2018-01-26,10700.00000000,2018-10-24,nan,-14.77000000,179,False,2018-10-24,nan,-14.77000000,179,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000020008,,,,,,,,,,,,,,,,,,,KR7000020008,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000050_01,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_01,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2014-08-12,2014-08-08,16250.00000000,2015-05-04,nan,59.69000000,177,False,2015-05-04,nan,59.69000000,177,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000050_02,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_02,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2016-10-10,2016-10-07,20900.00000000,2016-11-02,nan,-18.18000000,5,False,2016-11-02,nan,-18.18000000,5,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000050_03,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_03,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2020-06-01,2020-05-29,14000.00000000,2020-06-16,nan,-16.07000000,12,False,2020-06-16,nan,-16.07000000,12,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000050_04,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_04,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2021-05-31,2021-05-28,15300.00000000,2021-08-23,nan,-16.67000000,60,False,2021-08-23,nan,-16.67000000,60,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000050_05,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_05,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2022-05-02,2022-04-29,15700.00000000,2022-06-20,nan,-15.92000000,33,False,2022-06-20,nan,-15.92000000,33,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000060_01,000060|KR7000060004|KOSPI|2010-01-04|2023-02-20|000060_01,000060,KR7000060004|KOSPI|2010-01-04|2023-02-20,2015-05-11,2015-05-08,14200.00000000,2018-09-03,nan,30.63000000,817,False,2018-09-03,nan,30.63000000,817,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000060004,,,,,,,,,,,,,,,,,,,KR7000060004,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
