ticker_control,name_control,market_control,trade_id_control,trade_sequence_control,entry_signal_date_control,entry_execution_date_control,entry_open_control,entry_pattern_a_stage_control,fast_stage_control,monthly_regime_control,daily_risk_control,fast_score_control,fast_score_state_control,previous_exit_type_control,previous_exit_execution_date_control,loss_guard_triggered_control,loss_guard_signal_date_control,loss_guard_execution_date_control,loss_guard_execution_price_control,first_progressed_date_control,first_progressed_effective_trading_date_control,lifecycle_class_control,exit_type_control,exit_signal_date_control,exit_execution_date_control,exit_price_control,terminal_return_control,mfe_control,mae_control,peak_giveback_control,profit_capture_control,holding_weeks_control,trade_status_control,pair_id,isu_cd_control,identity_effective_from_control,identity_effective_to_control,strategy_id_control,holding_days_control,terminal_valuation_date_control,terminal_valuation_price_control,terminal_valuation_source_control,terminal_valuation_at_cutoff_control,lifecycle_state_control,lifecycle_evidence_id_control,settlement_date_control,settlement_price_control,settlement_type_control,settlement_source_control,terminal_reason_control,execution_support_missing_control,successor_ticker_control,successor_isu_cd_control,successor_quantity_control,successor_valuation_price_control,fractional_cash_control,successor_valuation_basis_control,lifecycle_event_type_control,lifecycle_source_isu_cd_control,lifecycle_unresolved_reason_control,lifecycle_certification_class_control,ticker_candidate,name_candidate,market_candidate,trade_id_candidate,trade_sequence_candidate,entry_signal_date_candidate,entry_execution_date_candidate,entry_open_candidate,entry_pattern_a_stage_candidate,fast_stage_candidate,monthly_regime_candidate,daily_risk_candidate,fast_score_candidate,fast_score_state_candidate,previous_exit_type_candidate,previous_exit_execution_date_candidate,loss_guard_triggered_candidate,loss_guard_signal_date_candidate,loss_guard_execution_date_candidate,loss_guard_execution_price_candidate,first_progressed_date_candidate,first_progressed_effective_trading_date_candidate,lifecycle_class_candidate,exit_type_candidate,exit_signal_date_candidate,exit_execution_date_candidate,exit_price_candidate,terminal_return_candidate,mfe_candidate,mae_candidate,peak_giveback_candidate,profit_capture_candidate,holding_weeks_candidate,trade_status_candidate,isu_cd_candidate,identity_effective_from_candidate,identity_effective_to_candidate,strategy_id_candidate,holding_days_candidate,candidate_action,weak_protect_eod_events,post_progressed_neg40_touch_eod_events,soft_signal_return,incremental_soft_exit,execution_support_missing_candidate,stage_asof_date_at_signal,repository_v2_last_actual_date,terminal_valuation_date_candidate,terminal_valuation_price_candidate,terminal_valuation_source_candidate,terminal_valuation_at_cutoff_candidate,lifecycle_state_candidate,lifecycle_evidence_id_candidate,settlement_date_candidate,settlement_price_candidate,settlement_type_candidate,settlement_source_candidate,terminal_reason_candidate,successor_ticker_candidate,successor_isu_cd_candidate,successor_quantity_candidate,successor_valuation_price_candidate,fractional_cash_candidate,successor_valuation_basis_candidate,lifecycle_event_type_candidate,lifecycle_source_isu_cd_candidate,lifecycle_unresolved_reason_candidate,lifecycle_certification_class_candidate
000020,000020,KOSPI,000020_01,1,2014-04-18,2014-04-21,6020.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85,READY,,,True,2014-07-29,2014-07-30,5080.0,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-29,2014-07-30,5080.0,-15.61,2.16,-15.95,17.77,-7.2269,13.6,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_01,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,68,,,,,,,,,,,,,,,,,,,,,,,000020,000020,KOSPI,000020_01,1,2014-04-18,2014-04-21,6020.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85,READY,,,True,2014-07-29,2014-07-30,5080.0,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-29,2014-07-30,5080.0,-15.61,2.16,-15.95,17.77,-7.2269,13.6,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,68,CONTROL_EXIT,0,0,,False,False,2014-06-30,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000020,000020,KOSPI,000020_02,2,2014-10-31,2014-11-03,6100.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,78.49,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-30,True,2014-12-08,2014-12-09,5130.0,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-08,2014-12-09,5130.0,-15.9,1.64,-18.03,17.54,-9.6951,5.4,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_02,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,27,,,,,,,,,,,,,,,,,,,,,,,000020,000020,KOSPI,000020_02,2,2014-10-31,2014-11-03,6100.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,78.49,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-30,True,2014-12-08,2014-12-09,5130.0,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-08,2014-12-09,5130.0,-15.9,1.64,-18.03,17.54,-9.6951,5.4,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,27,CONTROL_EXIT,0,0,,False,False,2014-11-28,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000020,000020,KOSPI,000020_03,3,2015-03-13,2015-03-16,6770.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-09,False,,,,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-08-31,2015-09-01,7100.0,4.87,80.95,-4.87,76.08,0.0602,23.6,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_03,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,118,,,,,,,,,,,,,,,,,,,,,,,000020,000020,KOSPI,000020_03,3,2015-03-13,2015-03-16,6770.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-09,False,,,,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-08-31,2015-09-01,7100.0,4.87,80.95,-4.87,76.08,0.0602,23.6,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,118,CONTROL_EXIT,0,0,,False,False,2015-08-31,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000020,000020,KOSPI,000020_04,4,2018-01-26,2018-01-29,10700.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,75.49,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-09-01,True,2018-10-23,2018-10-24,9120.0,2020-08-31,2020-08-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2018-10-23,2018-10-24,9120.0,-14.77,25.23,-15.98,40.0,-0.5854,35.8,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_04,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,179,,,,,,,,,,,,,,,,,,,,,,,000020,000020,KOSPI,000020_04,4,2018-01-26,2018-01-29,10700.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,75.49,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-09-01,True,2018-10-23,2018-10-24,9120.0,2020-08-31,2020-08-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2018-10-23,2018-10-24,9120.0,-14.77,25.23,-15.98,40.0,-0.5854,35.8,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,179,CONTROL_EXIT,0,0,,False,False,2018-09-28,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000050,000050,KOSPI,000050_01,1,2014-08-08,2014-08-12,16250.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.94,READY,,,False,,,,2014-10-31,2014-10-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-04-30,2015-05-04,25950.0,59.69,63.08,-7.38,3.39,0.9463,35.4,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_01,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,177,,,,,,,,,,,,,,,,,,,,,,,000050,000050,KOSPI,000050_01,1,2014-08-08,2014-08-12,16250.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.94,READY,,,False,,,,2014-10-31,2014-10-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-04-30,2015-05-04,25950.0,59.69,63.08,-7.38,3.39,0.9463,35.4,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,177,CONTROL_EXIT,0,0,,False,False,2015-04-30,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000050,000050,KOSPI,000050_02,2,2016-10-07,2016-10-10,20900.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-05-04,True,2016-11-01,2016-11-02,17100.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-01,2016-11-02,17100.0,-18.18,0.0,-19.62,18.18,,1.0,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_02,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,5,,,,,,,,,,,,,,,,,,,,,,,000050,000050,KOSPI,000050_02,2,2016-10-07,2016-10-10,20900.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-05-04,True,2016-11-01,2016-11-02,17100.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-01,2016-11-02,17100.0,-18.18,0.0,-19.62,18.18,,1.0,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,5,CONTROL_EXIT,0,0,,False,False,2016-10-31,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000050,000050,KOSPI,000050_03,3,2020-05-29,2020-06-01,14000.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,72.74,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-02,True,2020-06-15,2020-06-16,11750.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-15,2020-06-16,11750.0,-16.07,1.07,-17.86,17.14,-15.0187,2.4,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_03,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,12,,,,,,,,,,,,,,,,,,,,,,,000050,000050,KOSPI,000050_03,3,2020-05-29,2020-06-01,14000.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,72.74,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-02,True,2020-06-15,2020-06-16,11750.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-15,2020-06-16,11750.0,-16.07,1.07,-17.86,17.14,-15.0187,2.4,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,12,CONTROL_EXIT,0,0,,False,False,2020-05-29,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000050,000050,KOSPI,000050_04,4,2021-05-28,2021-05-31,15300.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-16,True,2021-08-20,2021-08-23,12750.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,19.28,-6.387,12.0,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_04,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,60,,,,,,,,,,,,,,,,,,,,,,,000050,000050,KOSPI,000050_04,4,2021-05-28,2021-05-31,15300.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-16,True,2021-08-20,2021-08-23,12750.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,19.28,-6.387,12.0,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,60,CONTROL_EXIT,0,0,,False,False,2021-07-30,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000050,000050,KOSPI,000050_05,5,2022-04-29,2022-05-02,15700.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,ELEVATED,73.24,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,True,2022-06-17,2022-06-20,13200.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,26.75,-1.47,6.6,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_05,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,33,,,,,,,,,,,,,,,,,,,,,,,000050,000050,KOSPI,000050_05,5,2022-04-29,2022-05-02,15700.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,ELEVATED,73.24,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,True,2022-06-17,2022-06-20,13200.0,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,26.75,-1.47,6.6,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,33,CONTROL_EXIT,0,0,,False,False,2022-05-31,2026-09-01,,,,,,,,,,,,,,,,,,,,,
000060,000060,KOSPI,000060_01,1,2015-05-08,2015-05-11,14200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,78.49,READY,,,False,,,,2018-01-31,2018-01-31,NORMAL_EARLY_TREND_HANDOFF,EXIT3_PROGRESSED_TO_TRANSITION,2018-08-31,2018-09-03,18550.0,30.63,102.82,-4.58,72.19,0.2979,163.4,REALIZED,000060|KR7000060004|KOSPI|2010-01-04|2023-02-20|000060_01,KR7000060004,2010-01-04,2023-02-20,PATTERN_A_FAST_FINAL_STRATEGY_V02,817,,,,,,,,,,,,,,,,,,,,,,,000060,000060,KOSPI,000060_01,1,2015-05-08,2015-05-11,14200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,78.49,READY,,,False,,,,2018-01-31,2018-01-31,NORMAL_EARLY_TREND_HANDOFF,EXIT3_PROGRESSED_TO_TRANSITION,2018-08-31,2018-09-03,18550.0,30.63,102.82,-4.58,72.19,0.2979,163.4,REALIZED,KR7000060004,2010-01-04,2023-02-20,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,817,CONTROL_EXIT,0,0,,False,False,2018-08-31,2023-01-27,,,,,,,,,,,,,,,,,,,,,
