ticker_control,name_control,market_control,trade_id_control,trade_sequence_control,entry_signal_date_control,entry_execution_date_control,entry_open_control,entry_pattern_a_stage_control,fast_stage_control,monthly_regime_control,daily_risk_control,fast_score_control,fast_score_state_control,previous_exit_type_control,previous_exit_execution_date_control,loss_guard_triggered_control,loss_guard_signal_date_control,loss_guard_execution_date_control,loss_guard_execution_price_control,first_progressed_date_control,first_progressed_effective_trading_date_control,lifecycle_class_control,exit_type_control,exit_signal_date_control,exit_execution_date_control,exit_price_control,terminal_return_control,mfe_control,mae_control,peak_giveback_control,profit_capture_control,holding_weeks_control,trade_status_control,pair_id,isu_cd_control,identity_effective_from_control,identity_effective_to_control,strategy_id_control,holding_days_control,terminal_valuation_date_control,terminal_valuation_price_control,terminal_valuation_source_control,terminal_valuation_at_cutoff_control,lifecycle_state_control,lifecycle_evidence_id_control,settlement_date_control,settlement_price_control,settlement_type_control,settlement_source_control,terminal_reason_control,execution_support_missing_control,successor_ticker_control,successor_isu_cd_control,successor_quantity_control,successor_valuation_price_control,fractional_cash_control,successor_valuation_basis_control,lifecycle_event_type_control,lifecycle_source_isu_cd_control,lifecycle_unresolved_reason_control,lifecycle_certification_class_control,ticker_candidate,name_candidate,market_candidate,trade_id_candidate,trade_sequence_candidate,entry_signal_date_candidate,entry_execution_date_candidate,entry_open_candidate,entry_pattern_a_stage_candidate,fast_stage_candidate,monthly_regime_candidate,daily_risk_candidate,fast_score_candidate,fast_score_state_candidate,previous_exit_type_candidate,previous_exit_execution_date_candidate,loss_guard_triggered_candidate,loss_guard_signal_date_candidate,loss_guard_execution_date_candidate,loss_guard_execution_price_candidate,first_progressed_date_candidate,first_progressed_effective_trading_date_candidate,lifecycle_class_candidate,exit_type_candidate,exit_signal_date_candidate,exit_execution_date_candidate,exit_price_candidate,terminal_return_candidate,mfe_candidate,mae_candidate,peak_giveback_candidate,profit_capture_candidate,holding_weeks_candidate,trade_status_candidate,isu_cd_candidate,identity_effective_from_candidate,identity_effective_to_candidate,strategy_id_candidate,holding_days_candidate,candidate_action,weak_protect_eod_events,post_progressed_neg40_touch_eod_events,soft_signal_return,incremental_soft_exit,execution_support_missing_candidate,stage_asof_date_at_signal,repository_v2_last_actual_date,terminal_valuation_date_candidate,terminal_valuation_price_candidate,terminal_valuation_source_candidate,terminal_valuation_at_cutoff_candidate,lifecycle_state_candidate,lifecycle_evidence_id_candidate,settlement_date_candidate,settlement_price_candidate,settlement_type_candidate,settlement_source_candidate,terminal_reason_candidate,successor_ticker_candidate,successor_isu_cd_candidate,successor_quantity_candidate,successor_valuation_price_candidate,fractional_cash_candidate,successor_valuation_basis_candidate,lifecycle_event_type_candidate,lifecycle_source_isu_cd_candidate,lifecycle_unresolved_reason_candidate,lifecycle_certification_class_candidate
20,20,KOSPI,000020_01,1,2014-04-18,2014-04-21,6020.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85000000,READY,,,True,2014-07-29,2014-07-30,5080.00000000,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-29,2014-07-30,5080.00000000,-15.61000000,2.16000000,-15.95000000,17.77000000,-7.22690000,13.60000000,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_01,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,68,,,,,,,,,,,,,,,,,,,,,,,20,20,KOSPI,000020_01,1,2014-04-18,2014-04-21,6020.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85000000,READY,,,True,2014-07-29,2014-07-30,5080.00000000,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-29,2014-07-30,5080.00000000,-15.61000000,2.16000000,-15.95000000,17.77000000,-7.22690000,13.60000000,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,68,CONTROL_EXIT,0,0,,False,False,2014-06-30,2026-09-01,,,,,,,,,,,,,,,,,,,,,
20,20,KOSPI,000020_02,2,2014-10-31,2014-11-03,6100.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,78.49000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-30,True,2014-12-08,2014-12-09,5130.00000000,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-08,2014-12-09,5130.00000000,-15.90000000,1.64000000,-18.03000000,17.54000000,-9.69510000,5.40000000,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_02,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,27,,,,,,,,,,,,,,,,,,,,,,,20,20,KOSPI,000020_02,2,2014-10-31,2014-11-03,6100.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,78.49000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-30,True,2014-12-08,2014-12-09,5130.00000000,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-08,2014-12-09,5130.00000000,-15.90000000,1.64000000,-18.03000000,17.54000000,-9.69510000,5.40000000,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,27,CONTROL_EXIT,0,0,,False,False,2014-11-28,2026-09-01,,,,,,,,,,,,,,,,,,,,,
20,20,KOSPI,000020_03,3,2015-03-13,2015-03-16,6770.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.30000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-09,False,,,,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-08-31,2015-09-01,7100.00000000,4.87000000,80.95000000,-4.87000000,76.08000000,0.06020000,23.60000000,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_03,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,118,,,,,,,,,,,,,,,,,,,,,,,20,20,KOSPI,000020_03,3,2015-03-13,2015-03-16,6770.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.30000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-09,False,,,,2015-07-31,2015-07-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-08-31,2015-09-01,7100.00000000,4.87000000,80.95000000,-4.87000000,76.08000000,0.06020000,23.60000000,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,118,CONTROL_EXIT,0,0,,False,False,2015-08-31,2026-09-01,,,,,,,,,,,,,,,,,,,,,
20,20,KOSPI,000020_04,4,2018-01-26,2018-01-29,10700.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,75.49000000,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-09-01,True,2018-10-23,2018-10-24,9120.00000000,2020-08-31,2020-08-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2018-10-23,2018-10-24,9120.00000000,-14.77000000,25.23000000,-15.98000000,40.00000000,-0.58540000,35.80000000,REALIZED,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_04,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,179,,,,,,,,,,,,,,,,,,,,,,,20,20,KOSPI,000020_04,4,2018-01-26,2018-01-29,10700.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,75.49000000,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-09-01,True,2018-10-23,2018-10-24,9120.00000000,2020-08-31,2020-08-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2018-10-23,2018-10-24,9120.00000000,-14.77000000,25.23000000,-15.98000000,40.00000000,-0.58540000,35.80000000,REALIZED,KR7000020008,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,179,CONTROL_EXIT,0,0,,False,False,2018-09-28,2026-09-01,,,,,,,,,,,,,,,,,,,,,
50,50,KOSPI,000050_01,1,2014-08-08,2014-08-12,16250.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.94000000,READY,,,False,,,,2014-10-31,2014-10-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-04-30,2015-05-04,25950.00000000,59.69000000,63.08000000,-7.38000000,3.39000000,0.94630000,35.40000000,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_01,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,177,,,,,,,,,,,,,,,,,,,,,,,50,50,KOSPI,000050_01,1,2014-08-08,2014-08-12,16250.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.94000000,READY,,,False,,,,2014-10-31,2014-10-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2015-04-30,2015-05-04,25950.00000000,59.69000000,63.08000000,-7.38000000,3.39000000,0.94630000,35.40000000,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,177,CONTROL_EXIT,0,0,,False,False,2015-04-30,2026-09-01,,,,,,,,,,,,,,,,,,,,,
50,50,KOSPI,000050_02,2,2016-10-07,2016-10-10,20900.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85000000,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-05-04,True,2016-11-01,2016-11-02,17100.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-01,2016-11-02,17100.00000000,-18.18000000,0.00000000,-19.62000000,18.18000000,,1.00000000,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_02,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,5,,,,,,,,,,,,,,,,,,,,,,,50,50,KOSPI,000050_02,2,2016-10-07,2016-10-10,20900.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.85000000,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2015-05-04,True,2016-11-01,2016-11-02,17100.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-01,2016-11-02,17100.00000000,-18.18000000,0.00000000,-19.62000000,18.18000000,,1.00000000,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,5,CONTROL_EXIT,0,0,,False,False,2016-10-31,2026-09-01,,,,,,,,,,,,,,,,,,,,,
50,50,KOSPI,000050_03,3,2020-05-29,2020-06-01,14000.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,72.74000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-02,True,2020-06-15,2020-06-16,11750.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-15,2020-06-16,11750.00000000,-16.07000000,1.07000000,-17.86000000,17.14000000,-15.01870000,2.40000000,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_03,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,12,,,,,,,,,,,,,,,,,,,,,,,50,50,KOSPI,000050_03,3,2020-05-29,2020-06-01,14000.00000000,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,72.74000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-02,True,2020-06-15,2020-06-16,11750.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-15,2020-06-16,11750.00000000,-16.07000000,1.07000000,-17.86000000,17.14000000,-15.01870000,2.40000000,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,12,CONTROL_EXIT,0,0,,False,False,2020-05-29,2026-09-01,,,,,,,,,,,,,,,,,,,,,
50,50,KOSPI,000050_04,4,2021-05-28,2021-05-31,15300.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,77.99000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-16,True,2021-08-20,2021-08-23,12750.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,2021-08-23,12750.00000000,-16.67000000,2.61000000,-17.32000000,19.28000000,-6.38700000,12.00000000,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_04,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,60,,,,,,,,,,,,,,,,,,,,,,,50,50,KOSPI,000050_04,4,2021-05-28,2021-05-31,15300.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,77.99000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-16,True,2021-08-20,2021-08-23,12750.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,2021-08-23,12750.00000000,-16.67000000,2.61000000,-17.32000000,19.28000000,-6.38700000,12.00000000,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,60,CONTROL_EXIT,0,0,,False,False,2021-07-30,2026-09-01,,,,,,,,,,,,,,,,,,,,,
50,50,KOSPI,000050_05,5,2022-04-29,2022-05-02,15700.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,ELEVATED,73.24000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,True,2022-06-17,2022-06-20,13200.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.00000000,-15.92000000,10.83000000,-17.52000000,26.75000000,-1.47000000,6.60000000,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_05,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,33,,,,,,,,,,,,,,,,,,,,,,,50,50,KOSPI,000050_05,5,2022-04-29,2022-05-02,15700.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,ELEVATED,73.24000000,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,True,2022-06-17,2022-06-20,13200.00000000,2026-05-31,2026-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.00000000,-15.92000000,10.83000000,-17.52000000,26.75000000,-1.47000000,6.60000000,REALIZED,KR7000050005,2010-01-04,2026-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,33,CONTROL_EXIT,0,0,,False,False,2022-05-31,2026-09-01,,,,,,,,,,,,,,,,,,,,,
60,60,KOSPI,000060_01,1,2015-05-08,2015-05-11,14200.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,78.49000000,READY,,,False,,,,2018-01-31,2018-01-31,NORMAL_EARLY_TREND_HANDOFF,EXIT3_PROGRESSED_TO_TRANSITION,2018-08-31,2018-09-03,18550.00000000,30.63000000,102.82000000,-4.58000000,72.19000000,0.29790000,163.40000000,REALIZED,000060|KR7000060004|KOSPI|2010-01-04|2023-02-20|000060_01,KR7000060004,2010-01-04,2023-02-20,PATTERN_A_FAST_FINAL_STRATEGY_V02,817,,,,,,,,,,,,,,,,,,,,,,,60,60,KOSPI,000060_01,1,2015-05-08,2015-05-11,14200.00000000,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,78.49000000,READY,,,False,,,,2018-01-31,2018-01-31,NORMAL_EARLY_TREND_HANDOFF,EXIT3_PROGRESSED_TO_TRANSITION,2018-08-31,2018-09-03,18550.00000000,30.63000000,102.82000000,-4.58000000,72.19000000,0.29790000,163.40000000,REALIZED,KR7000060004,2010-01-04,2023-02-20,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,817,CONTROL_EXIT,0,0,,False,False,2018-08-31,2023-01-27,,,,,,,,,,,,,,,,,,,,,
