trade_id,pair_id,ticker,identity,identity_isu_cd,identity_market,signal_date,entry_date,market_cap_krw,threshold_krw,lookup_status,unresolved_reason,identity_mapping_status,source_provider,source_store,source_field,source_date,source_market,partition_status,partition_row_count,partition_file,partition_file_sha256,partition_content_sha256,partition_source_endpoint,partition_hash_verified,other_market_partition_status,other_market_ticker_hit_count
001120_01,001120|KR7001120005|KOSPI|2010-01-04|2026-08-21|001120_01,001120,KR7001120005|KOSPI|2010-01-04|2026-08-21,KR7001120005,KOSPI,2021-01-08,2021-01-11,1056210000000,1000000000000,PASS_MCAP_GE_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
001940_01,001940|KR7001940006|KOSPI|2010-01-04|2026-08-21|001940_01,001940,KR7001940006|KOSPI|2010-01-04|2026-08-21,KR7001940006,KOSPI,2021-01-08,2021-01-11,263288415000,1000000000000,REJECT_MCAP_BELOW_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
002310_01,002310|KR7002310001|KOSPI|2010-01-04|2026-08-21|002310_01,002310,KR7002310001|KOSPI|2010-01-04|2026-08-21,KR7002310001,KOSPI,2021-01-08,2021-01-11,352886178800,1000000000000,REJECT_MCAP_BELOW_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
002360_01,002360|KR7002360006|KOSPI|2010-01-04|2026-08-21|002360_01,002360,KR7002360006|KOSPI|2010-01-04|2026-08-21,KR7002360006,KOSPI,2021-01-08,2021-01-11,118913091100,1000000000000,REJECT_MCAP_BELOW_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
003490_01,003490|KR7003490000|KOSPI|2010-01-04|2026-08-21|003490_01,003490,KR7003490000|KOSPI|2010-01-04|2026-08-21,KR7003490000,KOSPI,2021-01-08,2021-01-11,4860450992700,1000000000000,PASS_MCAP_GE_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
003530_01,003530|KR7003530003|KOSPI|2010-01-04|2026-08-21|003530_01,003530,KR7003530003|KOSPI|2010-01-04|2026-08-21,KR7003530003,KOSPI,2021-01-08,2021-01-11,600733770000,1000000000000,REJECT_MCAP_BELOW_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
003540_01,003540|KR7003540002|KOSPI|2010-01-04|2026-08-21|003540_01,003540,KR7003540002|KOSPI|2010-01-04|2026-08-21,KR7003540002,KOSPI,2021-01-08,2021-01-11,667670210000,1000000000000,REJECT_MCAP_BELOW_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
003550_01,003550|KR7003550001|KOSPI|2010-01-04|2026-08-21|003550_01,003550,KR7003550001|KOSPI|2010-01-04|2026-08-21,KR7003550001,KOSPI,2021-01-08,2021-01-11,18204777320500,1000000000000,PASS_MCAP_GE_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
003780_01,003780|KR7003780004|KOSPI|2010-01-04|2026-08-21|003780_01,003780,KR7003780004|KOSPI|2010-01-04|2026-08-21,KR7003780004,KOSPI,2021-01-08,2021-01-11,65000000000,1000000000000,REJECT_MCAP_BELOW_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
004020_01,004020|KR7004020004|KOSPI|2010-01-04|2026-08-21|004020_01,004020,KR7004020004|KOSPI|2010-01-04|2026-08-21,KR7004020004,KOSPI,2021-01-08,2021-01-11,6238590448750,1000000000000,PASS_MCAP_GE_1T,,PIT_IDENTITY_MATCH,KRX Open API Stock Daily,KrxRawStockStore,MKTCAP -> market_cap,2021-01-08,KOSPI,COMPLETE,917,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e,664fa58a45a4479b8c325b6267b205e0c294d12592b06309b1f3bb18ed27caaa,/sto/stk_bydd_trd,True,,0
