trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_source_isu_cd,control_lifecycle_event_type,control_unresolved_reason,control_lifecycle_evidence_id,control_terminal_reason,control_lifecycle_state,control_certification_class,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_lifecycle_state,candidate_certification_class,pair_certification_class,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source,candidate_source_isu_cd,candidate_lifecycle_event_type,candidate_unresolved_reason,candidate_lifecycle_evidence_id
000050_01,000050|KR7000050005|KOSPI|2010-01-04|2026-08-21|000050_01,000050,KR7000050005|KOSPI|2010-01-04|2026-08-21,2021-05-31,2021-05-28,15300.00000000,2021-08-23,nan,-16.67000000,60,False,2021-08-23,nan,-16.67000000,60,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,
000050_02,000050|KR7000050005|KOSPI|2010-01-04|2026-08-21|000050_02,000050,KR7000050005|KOSPI|2010-01-04|2026-08-21,2022-05-02,2022-04-29,15700.00000000,2022-06-20,nan,-15.92000000,33,False,2022-06-20,nan,-15.92000000,33,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,
000060_01,000060|KR7000060004|KOSPI|2010-01-04|2023-02-20|000060_01,000060,KR7000060004|KOSPI|2010-01-04|2023-02-20,2021-04-05,2021-04-02,19000.00000000,2021-12-01,nan,63.95000000,165,False,2021-12-01,nan,63.95000000,165,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000060004,,,,,,,,,,,,,,,,,,,KR7000060004,,,
000070_01,000070|KR7000070003|KOSPI|2010-01-04|2026-08-21|000070_01,000070,KR7000070003|KOSPI|2010-01-04|2026-08-21,2021-01-25,2021-01-22,61191.00000000,2021-08-02,nan,20.50000000,131,False,2021-08-02,nan,20.50000000,131,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000070003,,,,,,,,,,,,,,,,,,,KR7000070003,,,
000080_01,000080|KR7000080002|KOSPI|2010-01-04|2026-08-21|000080_01,000080,KR7000080002|KOSPI|2010-01-04|2026-08-21,2021-07-05,2021-07-02,36650.00000000,2021-08-20,nan,-15.96000000,34,False,2021-08-20,nan,-15.96000000,34,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000080002,,,,,,,,,,,,,,,,,,,KR7000080002,,,
000100_01,000100|KR7000100008|KOSPI|2010-01-04|2026-08-21|000100_01,000100,KR7000100008|KOSPI|2010-01-04|2026-08-21,2023-06-05,2023-06-02,58955.00000000,2024-11-01,nan,134.92000000,345,False,2024-11-01,nan,134.92000000,345,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000100008,,,,,,,,,,,,,,,,,,,KR7000100008,,,
000120_01,000120|KR7000120006|KOSPI|2010-01-04|2026-08-21|000120_01,000120,KR7000120006|KOSPI|2010-01-04|2026-08-21,2024-01-08,2024-01-05,125600.00000000,2024-05-29,nan,-17.04000000,96,False,2024-05-29,nan,-17.04000000,96,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000120006,,,,,,,,,,,,,,,,,,,KR7000120006,,,
000150_01,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_01,000150,KR7000150003|KOSPI|2010-01-04|2026-08-21,2021-07-05,2021-07-02,98200.00000000,2021-10-01,nan,0.31000000,61,False,2021-10-01,nan,0.31000000,61,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000150003,,,,,,,,,,,,,,,,,,,KR7000150003,,,
000150_02,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_02,000150,KR7000150003|KOSPI|2010-01-04|2026-08-21,2022-11-28,2022-11-25,97300.00000000,2022-12-28,nan,-16.14000000,23,False,2022-12-28,nan,-16.14000000,23,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000150003,,,,,,,,,,,,,,,,,,,KR7000150003,,,
000150_03,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_03,000150,KR7000150003|KOSPI|2010-01-04|2026-08-21,2023-03-13,2023-03-10,107200.00000000,2023-05-04,nan,-14.83000000,38,False,2023-05-04,nan,-14.83000000,38,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000150003,,,,,,,,,,,,,,,,,,,KR7000150003,,,
000180_01,000180|KR7000180000|KOSPI|2010-01-04|2026-08-21|000180_01,000180,KR7000180000|KOSPI|2010-01-04|2026-08-21,2021-01-25,2021-01-22,12125.00000000,2021-07-01,nan,14.43000000,109,False,2021-07-01,nan,14.43000000,109,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000180000,,,,,,,,,,,,,,,,,,,KR7000180000,,,
000230_01,000230|KR7000230003|KOSPI|2010-01-04|2026-08-21|000230_01,000230,KR7000230003|KOSPI|2010-01-04|2026-08-21,2021-02-08,2021-02-05,16750.00000000,2021-03-09,nan,-17.61000000,19,False,2021-03-09,nan,-17.61000000,19,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000230003,,,,,,,,,,,,,,,,,,,KR7000230003,,,
000240_01,000240|KR7000240002|KOSPI|2010-01-04|2026-08-21|000240_01,000240,KR7000240002|KOSPI|2010-01-04|2026-08-21,2021-02-22,2021-02-19,21750.00000000,2021-02-25,nan,-12.18000000,4,False,2021-02-25,nan,-12.18000000,4,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000240002,,,,,,,,,,,,,,,,,,,KR7000240002,,,
000240_02,000240|KR7000240002|KOSPI|2010-01-04|2026-08-21|000240_02,000240,KR7000240002|KOSPI|2010-01-04|2026-08-21,2023-12-04,2023-12-01,15710.00000000,2025-05-30,nan,29.22000000,361,True,2025-05-30,nan,29.22000000,361,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000240002,,,,,,,,,,,,,,,,,,,KR7000240002,,,
000270_01,000270|KR7000270009|KOSPI|2010-01-04|2026-08-21|000270_01,000270,KR7000270009|KOSPI|2010-01-04|2026-08-21,2023-04-03,2023-03-31,81500.00000000,2025-02-03,nan,22.94000000,446,False,2025-02-03,nan,22.94000000,446,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000270009,,,,,,,,,,,,,,,,,,,KR7000270009,,,
000320_01,000320|KR7000320002|KOSPI|2010-01-04|2026-08-21|000320_01,000320,KR7000320002|KOSPI|2010-01-04|2026-08-21,2021-02-22,2021-02-19,12350.00000000,2025-05-30,nan,47.04000000,1049,True,2025-05-30,nan,47.04000000,1049,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000320002,,,,,,,,,,,,,,,,,,,KR7000320002,,,
000400_01,000400|KR7000400002|KOSPI|2010-01-04|2026-08-21|000400_01,000400,KR7000400002|KOSPI|2010-01-04|2026-08-21,2022-04-11,2022-04-08,2060.00000000,2022-06-14,nan,-17.23000000,44,False,2022-06-14,nan,-17.23000000,44,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000400002,,,,,,,,,,,,,,,,,,,KR7000400002,,,
000400_02,000400|KR7000400002|KOSPI|2010-01-04|2026-08-21|000400_02,000400,KR7000400002|KOSPI|2010-01-04|2026-08-21,2023-06-05,2023-06-02,1730.00000000,2024-04-01,nan,78.90000000,203,False,2024-04-01,nan,78.90000000,203,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000400002,,,,,,,,,,,,,,,,,,,KR7000400002,,,
