ticker,identity,market,signal_date,exact_pit_market_cap_krw,pit_gate_status,ledger_materialized,pair_id,trade_id,next_local_session,effective_entry_cutoff,next_session_within_entry_cutoff,reason,raw_partition_path,raw_partition_file_sha256
001120,KR7001120005,KOSPI,2021-01-08,1056210000000,PASS,True,001120|KR7001120005|KOSPI|2010-01-04|2026-08-21|001120_01,001120_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
003490,KR7003490000,KOSPI,2021-01-08,4860450992700,PASS,True,003490|KR7003490000|KOSPI|2010-01-04|2026-08-21|003490_01,003490_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
003550,KR7003550001,KOSPI,2021-01-08,18204777320500,PASS,True,003550|KR7003550001|KOSPI|2010-01-04|2026-08-21|003550_01,003550_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
004020,KR7004020004,KOSPI,2021-01-08,6238590448750,PASS,True,004020|KR7004020004|KOSPI|2010-01-04|2026-08-21|004020_01,004020_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
005940,KR7005940002,KOSPI,2021-01-08,3419117977050,PASS,True,005940|KR7005940002|KOSPI|2010-01-04|2026-08-21|005940_01,005940_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
006360,KR7006360002,KOSPI,2021-01-08,3355460567750,PASS,True,006360|KR7006360002|KOSPI|2010-01-04|2026-08-21|006360_01,006360_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
006800,KR7006800007,KOSPI,2021-01-08,6549961541200,PASS,True,006800|KR7006800007|KOSPI|2010-01-04|2026-08-21|006800_01,006800_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
008770,KR7008770000,KOSPI,2021-01-08,3253669230900,PASS,True,008770|KR7008770000|KOSPI|2010-01-04|2026-08-21|008770_01,008770_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
009540,KR7009540006,KOSPI,2021-01-08,8386614246000,PASS,True,009540|KR7009540006|KOSPI|2010-01-04|2026-08-21|009540_01,009540_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
010060,KR7010060002,KOSPI,2021-01-08,2375397351600,PASS,True,010060|KR7010060002|KOSPI|2010-01-04|2026-08-21|010060_01,010060_01,2021-01-11,2025-05-30,True,MATERIALIZED_STRATEGY_TRADE,market=KOSPI/year=2021/2021-01-08.parquet,8ae1e4c9f27a5da5ae9d69ed5d65f5815ea781ca955700e5bf4201edf202d08e
