trade_id,pair_id,ticker,date,close_return,pattern_a_stage,event_type,execution_date,execution_open
000670_05,000670|KR7000670000|KOSPI|2010-01-04|2026-09-01|000670_05,000670,2026-07-13,-40.37000000,PROGRESSED,SOFT_EXIT_SIGNAL,2026-07-14,36800.00000000
001510_01,001510|KR7001510007|KOSPI|2010-01-04|2026-09-01|001510_01,001510,2022-09-28,-40.47000000,BASE,SOFT_EXIT_SIGNAL,2022-09-29,1301.00000000
002230_01,002230|KR7002230001|KOSDAQ|2010-01-04|2026-09-01|002230_01,002230,2022-09-22,-40.68000000,TRANSITION,SOFT_EXIT_SIGNAL,2022-09-23,3575.00000000
002990_01,002990|KR7002990000|KOSPI|2010-01-04|2026-09-01|002990_01,002990,2022-09-28,-40.24000000,TRANSITION,SOFT_EXIT_SIGNAL,2022-09-29,7510.00000000
004840_01,004840|KR7004840005|KOSPI|2010-01-04|2026-09-01|004840_01,004840,2022-01-27,-40.29000000,BASE,SOFT_EXIT_SIGNAL,2022-01-28,4780.00000000
005960_01,005960|KR7005960000|KOSPI|2010-01-04|2026-09-01|005960_01,005960,2022-10-13,-40.92000000,BASE,SOFT_EXIT_SIGNAL,2022-10-14,7770.00000000
006050_01,006050|KR7006050009|KOSDAQ|2010-01-04|2026-09-01|006050_01,006050,2026-05-18,-40.31000000,TRANSITION,SOFT_EXIT_SIGNAL,2026-05-19,10620.00000000
006390_01,006390|KR7006390009|KOSPI|2010-01-04|2025-11-20|006390_01,006390,2022-06-20,-42.74000000,TRANSITION,SOFT_EXIT_SIGNAL,2022-06-21,23750.00000000
006650_01,006650|KR7006650006|KOSPI|2010-01-04|2026-09-01|006650_01,006650,2022-01-25,-44.12000000,PROGRESSED,SOFT_EXIT_SIGNAL,2022-01-26,153000.00000000
006800_01,006800|KR7006800007|KOSPI|2010-01-04|2026-09-01|006800_01,006800,2022-07-12,-40.20000000,TRANSITION,SOFT_EXIT_SIGNAL,2022-07-13,6143.00000000
007390_01,007390|KR7007390008|KOSDAQ|2010-01-04|2026-09-01|007390_01,007390,2023-06-20,-46.48000000,WEAK,WEAK_PROTECT,,
