ticker,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_pattern_a_stage,fast_stage,monthly_regime,daily_risk,fast_score,fast_score_state,previous_exit_type,previous_exit_execution_date,loss_guard_triggered,loss_guard_signal_date,loss_guard_execution_date,loss_guard_execution_price,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,profit_capture,holding_weeks,trade_status,entry_market_cap,entry_market_cap_source,pair_id,isu_cd,identity_effective_from,identity_effective_to,strategy_id,holding_days,terminal_valuation_date,terminal_valuation_price,terminal_valuation_source,terminal_valuation_at_cutoff
000080,000080,KOSPI,000080_01,1,2021-07-02,2021-07-05,36650.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,75.1,READY,,,True,2021-08-19,2021-08-20,30800.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-19,2021-08-20,30800.0,-15.96,0.82,-16.23,16.78,-19.4634,6.8,REALIZED,2577410204250,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000080|KR7000080002|KOSPI|2010-01-04|2026-09-01|000080_01,KR7000080002,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,34,,,,
000100,000100,KOSPI,000100_01,1,2023-06-02,2023-06-05,58955.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,,,False,,,,2024-08-31,2024-08-30,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2024-10-31,2024-11-01,138500.0,134.92,183.1,-10.88,48.18,0.7369,69.0,REALIZED,4682621942700,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000100|KR7000100008|KOSPI|2010-01-04|2026-09-01|000100_01,KR7000100008,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,345,,,,
000120,000120,KOSPI,000120_01,1,2024-01-05,2024-01-08,125600.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.24,READY,,,True,2024-05-28,2024-05-29,104200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2024-05-28,2024-05-29,104200.0,-17.04,18.31,-17.04,35.35,-0.9306,19.2,REALIZED,2853824234400,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_01,KR7000120006,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,96,,,,
000120,000120,KOSPI,000120_02,2,2026-01-30,2026-02-02,104800.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2024-05-29,True,2026-05-19,2026-05-20,89600.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2026-05-19,2026-05-20,89600.0,-14.5,46.95,-16.79,61.45,-0.3088,14.4,REALIZED,2367921307200,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_02,KR7000120006,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,72,,,,
000150,000150,KOSPI,000150_01,1,2021-07-02,2021-07-05,98200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,78.49,READY,,,False,,,,2021-08-31,2021-08-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2021-09-30,2021-10-01,98500.0,0.31,20.67,-13.44,20.36,0.015,12.2,REALIZED,1627597747500,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_01,KR7000150003,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,61,,,,
000150,000150,KOSPI,000150_02,2,2022-11-25,2022-11-28,97300.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2021-10-01,True,2022-12-27,2022-12-28,81600.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-27,2022-12-28,81600.0,-16.14,1.85,-16.14,17.99,-8.7243,4.6,REALIZED,1616031063000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_02,KR7000150003,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,23,,,,
000150,000150,KOSPI,000150_03,3,2023-03-10,2023-03-13,107200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-28,True,2023-05-03,2023-05-04,91300.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2023-05-03,2023-05-04,91300.0,-14.83,3.92,-15.11,18.75,-3.7832,7.6,REALIZED,1779617029500,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_03,KR7000150003,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,38,,,,
000210,000210,KOSPI,000210_01,1,2025-07-04,2025-07-07,50100.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,65.54,READY,,,True,2025-08-11,2025-08-12,40100.0,2026-06-30,2026-06-30,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2025-08-11,2025-08-12,40100.0,-19.96,12.57,-22.36,32.53,-1.5879,5.4,REALIZED,1045698611600,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_01,KR7000210005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,27,,,,
000210,000210,KOSPI,000210_02,2,2026-02-27,2026-03-03,50000.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,74.99,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2025-08-12,True,2026-03-04,2026-03-05,43500.0,2026-06-30,2026-06-30,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2026-03-04,2026-03-05,43500.0,-13.0,4.2,-19.8,17.2,-3.0952,0.6,REALIZED,1083419202800,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_02,KR7000210005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,3,,,,
000210,000210,KOSPI,000210_03,3,2026-03-27,2026-03-30,58500.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,81.92,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2026-03-05,True,2026-06-08,2026-06-09,46100.0,2026-06-30,2026-06-30,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-08,2026-06-09,46100.0,-21.2,32.82,-22.48,54.02,-0.6459,9.6,REALIZED,1311838338400,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_03,KR7000210005,2010-01-04,2026-09-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,48,,,,
