ticker,identity,market,valuation_date,previous_valid_adjusted_close_date,carried_adjusted_close,stale_age_trading_days,stale_age_calendar_days,gap_classification,classification_status,raw_partition_status,raw_partition_file_sha256,raw_ticker_row_count,raw_row_is_nontrading_placeholder,adjusted_source_row_present,adjusted_invalid_relation_fields,valuation_only,used_for_execution,used_for_strategy_or_features
003690,KR7003690005,KOSPI,2024-02-16,2024-02-15,6738.0,1,1,ADJUSTED_ANALYTICALLY_NONUSABLE,high_below_close,COMPLETE,103407415d674a599746fb17ede0ada90c66e402b6a2668d17918d30dc967039,1,False,True,high_below_close,True,False,False
003690,KR7003690005,KOSPI,2024-06-27,2024-06-26,6722.0,1,1,ADJUSTED_ANALYTICALLY_NONUSABLE,high_below_close,COMPLETE,dd04c38c0141f4bc9bc14a2fefde7b9a54abc8f397b7c12d068b0b39346eb987,1,False,True,high_below_close,True,False,False
006400,KR7006400006,KOSPI,2022-11-01,2022-10-31,721547.0,1,1,ADJUSTED_ANALYTICALLY_NONUSABLE,high_below_close,COMPLETE,40c40dac6976645f8386faa3f7f1951ff5f583237ce49e1c623c0955110b34c1,1,False,True,high_below_close,True,False,False
007340,KR7007340003,KOSPI,2024-09-25,2024-09-24,20450.0,1,1,NON_TRADING_PLACEHOLDER,RAW_ZERO_OHLCV_PLACEHOLDER,COMPLETE,8715625a78170d7b4e7b6c904d7676ded0e0e9e1482c6a7e51b5609ca84cfca6,1,True,False,,True,False,False
007340,KR7007340003,KOSPI,2024-09-26,2024-09-24,20450.0,2,2,NON_TRADING_PLACEHOLDER,RAW_ZERO_OHLCV_PLACEHOLDER,COMPLETE,7b1048b1b7a53cb297c5c09fd6edc13fd6caf884b5058d9f2b274002d875a7f5,1,True,False,,True,False,False
007340,KR7007340003,KOSPI,2024-09-27,2024-09-24,20450.0,3,3,NON_TRADING_PLACEHOLDER,RAW_ZERO_OHLCV_PLACEHOLDER,COMPLETE,17394f9d2ab8534d19420416e33cd0c7b7f75b9f0a7a008c55aec9670f03029f,1,True,False,,True,False,False
007340,KR7007340003,KOSPI,2024-09-30,2024-09-24,20450.0,4,6,NON_TRADING_PLACEHOLDER,RAW_ZERO_OHLCV_PLACEHOLDER,COMPLETE,b0a2fd3cdf1c1b77af0f14d43985701cf67891ccd348254de6319197724ead14,1,True,False,,True,False,False
007340,KR7007340003,KOSPI,2024-10-02,2024-09-24,20450.0,5,8,NON_TRADING_PLACEHOLDER,RAW_ZERO_OHLCV_PLACEHOLDER,COMPLETE,7df8f8ddc8271d72263a427d2e50e9a751ef63ab9c26fde3063130ba95f1be75,1,True,False,,True,False,False
007340,KR7007340003,KOSPI,2024-10-04,2024-09-24,20450.0,6,10,NON_TRADING_PLACEHOLDER,RAW_ZERO_OHLCV_PLACEHOLDER,COMPLETE,0a605734010df6fe61dc0e5300205954f9c0029918afd18016600515fe24f5db,1,True,False,,True,False,False
007340,KR7007340003,KOSPI,2024-10-07,2024-09-24,20450.0,7,13,NON_TRADING_PLACEHOLDER,RAW_ZERO_OHLCV_PLACEHOLDER,COMPLETE,3a646e4231ea9279c46f7ea5dd8b4da7fa3f1b5c7dcf97c0d7c3e5a51770ff09,1,True,False,,True,False,False
