ticker,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_pattern_a_stage,fast_stage,monthly_regime,daily_risk,fast_score,fast_score_state,previous_exit_type,previous_exit_execution_date,loss_guard_triggered,loss_guard_signal_date,loss_guard_execution_date,loss_guard_execution_price,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,profit_capture,holding_weeks,trade_status,pair_id,isu_cd,identity_effective_from,identity_effective_to,strategy_id,holding_days,candidate_action,weak_protect_eod_events,post_progressed_neg40_touch_eod_events,soft_signal_return,incremental_soft_exit,execution_support_missing,stage_asof_date_at_signal,repository_v2_last_actual_date,terminal_valuation_date,terminal_valuation_price,terminal_valuation_source,terminal_valuation_at_cutoff,lifecycle_state,lifecycle_evidence_id,settlement_date,settlement_price,settlement_type,settlement_source,terminal_reason,successor_ticker,successor_isu_cd,successor_quantity,successor_valuation_price,fractional_cash,successor_valuation_basis,lifecycle_event_type,lifecycle_source_isu_cd,lifecycle_unresolved_reason,lifecycle_certification_class
000050,000050,KOSPI,000050_01,1,2022-04-29,2022-05-02,15700.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,ELEVATED,73.24,READY,,,True,2022-06-17,2022-06-20,13200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,26.75,-1.47,6.6,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-08-21|000050_01,KR7000050005,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,33,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000100,000100,KOSPI,000100_01,1,2023-06-02,2023-06-05,58955.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,,,False,,,,2024-08-31,2024-08-30,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2024-10-31,2024-11-01,138500.0,134.92,183.1,-10.88,48.18,0.7369,69.0,REALIZED,000100|KR7000100008|KOSPI|2010-01-04|2026-08-21|000100_01,KR7000100008,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,345,CONTROL_EXIT,0,0,,False,False,2024-10-31,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000120,000120,KOSPI,000120_01,1,2024-01-05,2024-01-08,125600.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.24,READY,,,True,2024-05-28,2024-05-29,104200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2024-05-28,2024-05-29,104200.0,-17.04,18.31,-17.04,35.35,-0.9306,19.2,REALIZED,000120|KR7000120006|KOSPI|2010-01-04|2026-08-21|000120_01,KR7000120006,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,96,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000150,000150,KOSPI,000150_01,1,2022-11-25,2022-11-28,97300.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,,,True,2022-12-27,2022-12-28,81600.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-27,2022-12-28,81600.0,-16.14,1.85,-16.14,17.99,-8.7243,4.6,REALIZED,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_01,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,23,CONTROL_EXIT,0,0,,False,False,2022-11-30,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000150,000150,KOSPI,000150_02,2,2023-03-10,2023-03-13,107200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-28,True,2023-05-03,2023-05-04,91300.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2023-05-03,2023-05-04,91300.0,-14.83,3.92,-15.11,18.75,-3.7832,7.6,REALIZED,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_02,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,38,CONTROL_EXIT,0,0,,False,False,2023-04-28,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000240,000240,KOSPI,000240_01,1,2023-12-01,2023-12-04,15710.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,75.74,READY,,,False,,,,2024-11-30,2024-11-29,SKIPPED_EARLY_TREND_HANDOFF,NO_EXIT_BEFORE_CUTOFF,,,,29.22,51.18,-14.96,21.96,0.5709,72.2,OPEN_AT_CUTOFF,000240|KR7000240002|KOSPI|2010-01-04|2026-08-21|000240_01,KR7000240002,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,361,CONTROL_PRESERVED,0,0,,False,False,,2025-06-02,2025-05-30,20300.0,RepositoryV2DailyLoader.close,True,,,,,,,,,,,,,,,,,
000270,000270,KOSPI,000270_01,1,2023-03-31,2023-04-03,81500.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,,,False,,,,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,EXIT3_PROGRESSED_TO_TRANSITION,2025-01-31,2025-02-03,100200.0,22.94,65.64,-6.01,42.7,0.3495,89.2,REALIZED,000270|KR7000270009|KOSPI|2010-01-04|2026-08-21|000270_01,KR7000270009,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,446,CONTROL_EXIT,0,0,,False,False,2025-01-31,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000320,000320,KOSPI,000320_01,1,2023-09-01,2023-09-04,11570.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,76.04,READY,,,False,,,,,,NEVER_PROGRESSED,NO_PROGRESSED_BEFORE_CUTOFF,,,,56.96,65.95,-9.68,8.99,0.8637,84.2,OPEN_AT_CUTOFF,000320|KR7000320002|KOSPI|2010-01-04|2026-08-21|000320_01,KR7000320002,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,421,CONTROL_PRESERVED,0,0,,False,False,,2025-06-02,2025-05-30,18160.0,RepositoryV2DailyLoader.close,True,,,,,,,,,,,,,,,,,
000400,000400,KOSPI,000400_01,1,2022-04-08,2022-04-11,2060.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,,,True,2022-06-13,2022-06-14,1705.0,2024-01-31,2024-01-31,PROGRESSED_WITHOUT_DIRECT_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-13,2022-06-14,1705.0,-17.23,15.29,-17.72,32.52,-1.1269,8.8,REALIZED,000400|KR7000400002|KOSPI|2010-01-04|2026-08-21|000400_01,KR7000400002,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,44,CONTROL_EXIT,0,0,,False,False,2022-05-31,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000400,000400,KOSPI,000400_02,2,2023-06-02,2023-06-05,1730.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.85,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-14,False,,,,2024-01-31,2024-01-31,PROGRESSED_WITHOUT_DIRECT_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2024-03-31,2024-04-01,3095.0,78.9,112.14,-10.69,33.24,0.7036,40.6,REALIZED,000400|KR7000400002|KOSPI|2010-01-04|2026-08-21|000400_02,KR7000400002,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,203,CONTROL_EXIT,0,0,,False,False,2024-03-29,2025-06-02,,,,,,,,,,,,,,,,,,,,,
