trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_source_isu_cd,control_lifecycle_event_type,control_unresolved_reason,control_lifecycle_evidence_id,control_terminal_reason,control_lifecycle_state,control_certification_class,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_lifecycle_state,candidate_certification_class,pair_certification_class,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source,candidate_source_isu_cd,candidate_lifecycle_event_type,candidate_unresolved_reason,candidate_lifecycle_evidence_id,trade_status,terminal_reason
000050_01,000050|KR7000050005|KOSPI|2010-01-04|2026-08-21|000050_01,000050,KR7000050005|KOSPI|2010-01-04|2026-08-21,2022-05-02,2022-04-29,15700.00000000,2022-06-20,nan,-15.92000000,33,False,2022-06-20,nan,-15.92000000,33,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000100_01,000100|KR7000100008|KOSPI|2010-01-04|2026-08-21|000100_01,000100,KR7000100008|KOSPI|2010-01-04|2026-08-21,2023-06-05,2023-06-02,58955.00000000,2024-11-01,nan,134.92000000,345,False,2024-11-01,nan,134.92000000,345,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000100008,,,,,,,,,,,,,,,,,,,KR7000100008,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000120_01,000120|KR7000120006|KOSPI|2010-01-04|2026-08-21|000120_01,000120,KR7000120006|KOSPI|2010-01-04|2026-08-21,2024-01-08,2024-01-05,125600.00000000,2024-05-29,nan,-17.04000000,96,False,2024-05-29,nan,-17.04000000,96,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000120006,,,,,,,,,,,,,,,,,,,KR7000120006,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000150_01,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_01,000150,KR7000150003|KOSPI|2010-01-04|2026-08-21,2022-11-28,2022-11-25,97300.00000000,2022-12-28,nan,-16.14000000,23,False,2022-12-28,nan,-16.14000000,23,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000150003,,,,,,,,,,,,,,,,,,,KR7000150003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000150_02,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_02,000150,KR7000150003|KOSPI|2010-01-04|2026-08-21,2023-03-13,2023-03-10,107200.00000000,2023-05-04,nan,-14.83000000,38,False,2023-05-04,nan,-14.83000000,38,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000150003,,,,,,,,,,,,,,,,,,,KR7000150003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000240_01,000240|KR7000240002|KOSPI|2010-01-04|2026-08-21|000240_01,000240,KR7000240002|KOSPI|2010-01-04|2026-08-21,2023-12-04,2023-12-01,15710.00000000,2025-05-30,nan,29.22000000,361,True,2025-05-30,nan,29.22000000,361,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000240002,,,,,,,,,,,,,,,,,,,KR7000240002,,,,CONTROL=OPEN_AT_CUTOFF;CANDIDATE=OPEN_AT_CUTOFF,CONTROL=nan;CANDIDATE=nan
000270_01,000270|KR7000270009|KOSPI|2010-01-04|2026-08-21|000270_01,000270,KR7000270009|KOSPI|2010-01-04|2026-08-21,2023-04-03,2023-03-31,81500.00000000,2025-02-03,nan,22.94000000,446,False,2025-02-03,nan,22.94000000,446,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000270009,,,,,,,,,,,,,,,,,,,KR7000270009,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000320_01,000320|KR7000320002|KOSPI|2010-01-04|2026-08-21|000320_01,000320,KR7000320002|KOSPI|2010-01-04|2026-08-21,2023-09-04,2023-09-01,11570.00000000,2025-05-30,nan,56.96000000,421,True,2025-05-30,nan,56.96000000,421,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000320002,,,,,,,,,,,,,,,,,,,KR7000320002,,,,CONTROL=OPEN_AT_CUTOFF;CANDIDATE=OPEN_AT_CUTOFF,CONTROL=nan;CANDIDATE=nan
000400_01,000400|KR7000400002|KOSPI|2010-01-04|2026-08-21|000400_01,000400,KR7000400002|KOSPI|2010-01-04|2026-08-21,2022-04-11,2022-04-08,2060.00000000,2022-06-14,nan,-17.23000000,44,False,2022-06-14,nan,-17.23000000,44,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000400002,,,,,,,,,,,,,,,,,,,KR7000400002,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000400_02,000400|KR7000400002|KOSPI|2010-01-04|2026-08-21|000400_02,000400,KR7000400002|KOSPI|2010-01-04|2026-08-21,2023-06-05,2023-06-02,1730.00000000,2024-04-01,nan,78.90000000,203,False,2024-04-01,nan,78.90000000,203,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000400002,,,,,,,,,,,,,,,,,,,KR7000400002,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000430_01,000430|KR7000430009|KOSPI|2010-01-04|2026-08-21|000430_01,000430,KR7000430009|KOSPI|2010-01-04|2026-08-21,2023-05-15,2023-05-12,4795.00000000,2023-11-01,nan,8.45000000,115,False,2023-11-01,nan,8.45000000,115,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000430009,,,,,,,,,,,,,,,,,,,KR7000430009,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000480_01,000480|KR7000480004|KOSPI|2010-01-04|2026-08-21|000480_01,000480,KR7000480004|KOSPI|2010-01-04|2026-08-21,2023-04-03,2023-03-31,9410.00000000,2023-09-12,nan,-16.47000000,86,False,2023-09-12,nan,-16.47000000,86,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000480004,,,,,,,,,,,,,,,,,,,KR7000480004,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
