trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_source_isu_cd,control_lifecycle_event_type,control_unresolved_reason,control_lifecycle_evidence_id,control_terminal_reason,control_lifecycle_state,control_certification_class,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_lifecycle_state,candidate_certification_class,pair_certification_class,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source,candidate_source_isu_cd,candidate_lifecycle_event_type,candidate_unresolved_reason,candidate_lifecycle_evidence_id,trade_status,terminal_reason
000050_01,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_01,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2022-05-02,2022-04-29,15700.00000000,2022-06-20,nan,-15.92000000,33,False,2022-06-20,nan,-15.92000000,33,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000050005,,,,,,,,,,,,,,,,,,,KR7000050005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000070_01,000070|KR7000070003|KOSPI|2010-01-04|2026-09-01|000070_01,000070,KR7000070003|KOSPI|2010-01-04|2026-09-01,2025-06-16,2025-06-13,57321.00000000,2026-07-01,nan,-3.53000000,239,False,2026-07-01,nan,-3.53000000,239,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000070003,,,,,,,,,,,,,,,,,,,KR7000070003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000100_01,000100|KR7000100008|KOSPI|2010-01-04|2026-09-01|000100_01,000100,KR7000100008|KOSPI|2010-01-04|2026-09-01,2023-06-05,2023-06-02,58955.00000000,2024-11-01,nan,134.92000000,345,False,2024-11-01,nan,134.92000000,345,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000100008,,,,,,,,,,,,,,,,,,,KR7000100008,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000120_01,000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_01,000120,KR7000120006|KOSPI|2010-01-04|2026-09-01,2024-01-08,2024-01-05,125600.00000000,2024-05-29,nan,-17.04000000,96,False,2024-05-29,nan,-17.04000000,96,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000120006,,,,,,,,,,,,,,,,,,,KR7000120006,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000120_02,000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_02,000120,KR7000120006|KOSPI|2010-01-04|2026-09-01,2026-02-02,2026-01-30,104800.00000000,2026-05-20,nan,-14.50000000,72,False,2026-05-20,nan,-14.50000000,72,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000120006,,,,,,,,,,,,,,,,,,,KR7000120006,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000150_01,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_01,000150,KR7000150003|KOSPI|2010-01-04|2026-09-01,2022-11-28,2022-11-25,97300.00000000,2022-12-28,nan,-16.14000000,23,False,2022-12-28,nan,-16.14000000,23,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000150003,,,,,,,,,,,,,,,,,,,KR7000150003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000150_02,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_02,000150,KR7000150003|KOSPI|2010-01-04|2026-09-01,2023-03-13,2023-03-10,107200.00000000,2023-05-04,nan,-14.83000000,38,False,2023-05-04,nan,-14.83000000,38,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000150003,,,,,,,,,,,,,,,,,,,KR7000150003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000180_01,000180|KR7000180000|KOSPI|2010-01-04|2026-09-01|000180_01,000180,KR7000180000|KOSPI|2010-01-04|2026-09-01,2025-09-08,2025-09-05,8795.00000000,2025-11-07,nan,-18.14000000,40,False,2025-11-07,nan,-18.14000000,40,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000180000,,,,,,,,,,,,,,,,,,,KR7000180000,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000210_01,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_01,000210,KR7000210005|KOSPI|2010-01-04|2026-09-01,2025-07-07,2025-07-04,50100.00000000,2025-08-12,nan,-19.96000000,27,False,2025-08-12,nan,-19.96000000,27,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000210005,,,,,,,,,,,,,,,,,,,KR7000210005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000210_02,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_02,000210,KR7000210005|KOSPI|2010-01-04|2026-09-01,2026-03-03,2026-02-27,50000.00000000,2026-03-05,nan,-13.00000000,3,False,2026-03-05,nan,-13.00000000,3,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000210005,,,,,,,,,,,,,,,,,,,KR7000210005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
