date,strategy_id,valuation_basis_date,cash,pending_sale_proceeds,invested_market_value,equity,drawdown,exposure,cash_ratio,open_positions,valuation_is_execution_support_only
2022-01-03,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-03,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-04,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-04,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-05,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-05,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-06,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-06,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-07,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-07,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-10,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-10,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-11,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-11,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-12,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-12,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-13,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-13,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-14,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-14,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-17,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-17,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-18,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-18,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-19,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-19,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-20,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-20,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-21,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2022-01-24,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-24,195006012.7642625,0.0,4792500.0,199798512.7642625,-0.001007436178687482,0.023986665034161473,0.9760133349658385,1,False
2022-01-25,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-25,195006012.7642625,0.0,4704750.0,199710762.7642625,-0.0014461861786875252,0.02355781899222658,0.9764421810077735,1,False
2022-01-26,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-26,195006012.7642625,0.0,4664250.0,199670262.7642625,-0.0016486861786875195,0.023359762918260755,0.9766402370817392,1,False
2022-01-27,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-27,195006012.7642625,0.0,4509000.0,199515012.7642625,-0.0024249361786875534,0.022599803080120197,0.9774001969198798,1,False
2022-01-28,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-01-28,195006012.7642625,0.0,4806000.0,199812012.7642625,-0.0009399361786874838,0.024052607916372384,0.9759473920836276,1,False
2022-02-03,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-03,190011276.6682128,0.0,9728548.0,199739824.6682128,-0.0013008766589359677,0.04870610062945665,0.9512938993705433,2,False
2022-02-04,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-04,190011276.6682128,0.0,9953881.0,199965157.6682128,-0.00017421165893594104,0.04977807692135911,0.9502219230786408,2,False
2022-02-07,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-07,185294858.3115628,0.0,14876631.0,200171489.3115628,0.0,0.0743194300605159,0.9256805699394841,3,False
2022-02-08,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-08,185294858.3115628,0.0,14776398.0,200071256.3115628,-0.0005007356459439949,0.07385567658449307,0.9261443234155069,3,False
2022-02-09,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-09,185294858.3115628,0.0,14772798.0,200067656.3115628,-0.000518720225128444,0.07383901162412035,0.9261609883758797,3,False
2022-02-10,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-10,185294858.3115628,0.0,14731048.0,200025906.3115628,-0.0007272913865040698,0.07364570055768045,0.9263542994423195,3,False
2022-02-11,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-11,185294858.3115628,0.0,14531148.0,199826006.3115628,-0.0017259351028869885,0.07271900323796425,0.9272809967620358,3,False
2022-02-14,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-14,185294858.3115628,0.0,14513298.0,199808156.3115628,-0.001815108641343377,0.07263616394802859,0.9273638360519714,3,False
2022-02-15,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-15,185294858.3115628,0.0,14301698.0,199596556.3115628,-0.002872202240075894,0.07165302981317764,0.9283469701868223,3,False
2022-02-16,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-16,185294858.3115628,0.0,14390048.0,199684906.3115628,-0.0024308306925899803,0.0720637742020802,0.9279362257979198,3,False
2022-02-17,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-17,185294858.3115628,0.0,14450798.0,199745656.3115628,-0.0021273409188518055,0.07234599373445037,0.9276540062655496,3,False
2022-02-18,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-18,185294858.3115628,0.0,14356948.0,199651806.3115628,-0.002596188906758501,0.07190993292390022,0.9280900670760998,3,False
2022-02-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-21,185294858.3115628,0.0,14342048.0,199636906.3115628,-0.002670625081716449,0.07184066445919134,0.9281593355408086,3,False
2022-02-22,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-02-22,185294858.3115628,0.0,14091448.0,199386306.3115628,-0.003922551621614145,0.07067410124936353,0.9293258987506364,3,False
