pair_id,control_trade_id,control_ticker,control_isu_cd,control_market,control_entry_signal_date,control_entry_execution_date,candidate_trade_id,candidate_ticker,candidate_isu_cd,candidate_market,candidate_entry_signal_date,candidate_entry_execution_date,identity_and_entry_match
000100|KR7000100008|KOSPI|2010-01-04|2026-09-01|000100_01,000100_01,100,KR7000100008,KOSPI,2023-06-02,2023-06-05,000100_01,100,KR7000100008,KOSPI,2023-06-02,2023-06-05,True
000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_01,000120_01,120,KR7000120006,KOSPI,2024-01-05,2024-01-08,000120_01,120,KR7000120006,KOSPI,2024-01-05,2024-01-08,True
000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_02,000120_02,120,KR7000120006,KOSPI,2026-01-30,2026-02-02,000120_02,120,KR7000120006,KOSPI,2026-01-30,2026-02-02,True
000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_01,000150_01,150,KR7000150003,KOSPI,2022-11-25,2022-11-28,000150_01,150,KR7000150003,KOSPI,2022-11-25,2022-11-28,True
000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_02,000150_02,150,KR7000150003,KOSPI,2023-03-10,2023-03-13,000150_02,150,KR7000150003,KOSPI,2023-03-10,2023-03-13,True
000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_01,000210_01,210,KR7000210005,KOSPI,2025-07-04,2025-07-07,000210_01,210,KR7000210005,KOSPI,2025-07-04,2025-07-07,True
000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_02,000210_02,210,KR7000210005,KOSPI,2026-02-27,2026-03-03,000210_02,210,KR7000210005,KOSPI,2026-02-27,2026-03-03,True
000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_03,000210_03,210,KR7000210005,KOSPI,2026-03-27,2026-03-30,000210_03,210,KR7000210005,KOSPI,2026-03-27,2026-03-30,True
000240|KR7000240002|KOSPI|2010-01-04|2026-09-01|000240_01,000240_01,240,KR7000240002,KOSPI,2023-12-01,2023-12-04,000240_01,240,KR7000240002,KOSPI,2023-12-01,2023-12-04,True
000270|KR7000270009|KOSPI|2010-01-04|2026-09-01|000270_01,000270_01,270,KR7000270009,KOSPI,2023-03-31,2023-04-03,000270_01,270,KR7000270009,KOSPI,2023-03-31,2023-04-03,True
000270|KR7000270009|KOSPI|2010-01-04|2026-09-01|000270_02,000270_02,270,KR7000270009,KOSPI,2025-10-24,2025-10-27,000270_02,270,KR7000270009,KOSPI,2025-10-24,2025-10-27,True
000660|KR7000660001|KOSPI|2010-01-04|2026-09-01|000660_01,000660_01,660,KR7000660001,KOSPI,2022-03-04,2022-03-07,000660_01,660,KR7000660001,KOSPI,2022-03-04,2022-03-07,True
000660|KR7000660001|KOSPI|2010-01-04|2026-09-01|000660_02,000660_02,660,KR7000660001,KOSPI,2023-06-02,2023-06-05,000660_02,660,KR7000660001,KOSPI,2023-06-02,2023-06-05,True
000670|KR7000670000|KOSPI|2010-01-04|2026-09-01|000670_01,000670_01,670,KR7000670000,KOSPI,2022-09-23,2022-09-26,000670_01,670,KR7000670000,KOSPI,2022-09-23,2022-09-26,True
000670|KR7000670000|KOSPI|2010-01-04|2026-09-01|000670_02,000670_02,670,KR7000670000,KOSPI,2022-11-11,2022-11-14,000670_02,670,KR7000670000,KOSPI,2022-11-11,2022-11-14,True
000670|KR7000670000|KOSPI|2010-01-04|2026-09-01|000670_03,000670_03,670,KR7000670000,KOSPI,2025-11-14,2025-11-17,000670_03,670,KR7000670000,KOSPI,2025-11-14,2025-11-17,True
000670|KR7000670000|KOSPI|2010-01-04|2026-09-01|000670_04,000670_04,670,KR7000670000,KOSPI,2026-01-30,2026-02-02,000670_04,670,KR7000670000,KOSPI,2026-01-30,2026-02-02,True
000720|KR7000720003|KOSPI|2010-01-04|2026-09-01|000720_01,000720_01,720,KR7000720003,KOSPI,2025-03-07,2025-03-10,000720_01,720,KR7000720003,KOSPI,2025-03-07,2025-03-10,True
000810|KR7000810002|KOSPI|2010-01-04|2026-09-01|000810_01,000810_01,810,KR7000810002,KOSPI,2022-12-16,2022-12-19,000810_01,810,KR7000810002,KOSPI,2022-12-16,2022-12-19,True
000880|KR7000880005|KOSPI|2010-01-04|2026-09-01|000880_01,000880_01,880,KR7000880005,KOSPI,2023-06-02,2023-06-05,000880_01,880,KR7000880005,KOSPI,2023-06-02,2023-06-05,True
