strategy_id,pair_id,trade_id,ticker,isu_cd,market,signal_date,execution_date,event_type,event_status,reference_open,fill_price,shares,notional,commission,sell_tax,slippage_impact,cash_before,cash_after,pending_sale_proceeds,market_cap_at_signal,reason,open_at_effective_cutoff,skip_reason
PATTERN_A_FAST_FINAL_STRATEGY_V02,003380|KR7003380003|KOSDAQ|2017-06-30|2026-09-01|003380_01,003380_01,003380,KR7003380003,KOSDAQ,2023-02-03,2023-02-06,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,1075253961600,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,039130|KR7039130000|KOSPI|2011-11-01|2026-09-01|039130_01,039130_01,039130,KR7039130000,KOSPI,2023-02-03,2023-02-06,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,1010468655000,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,086900|KR7086900008|KOSDAQ|2010-01-04|2026-09-01|086900_01,086900_01,086900,KR7086900008,KOSDAQ,2023-02-10,2023-02-13,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,1162029271200,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,028050|KR7028050003|KOSPI|2010-01-04|2026-09-01|028050_01,028050_01,028050,KR7028050003,KOSPI,2023-02-17,2023-02-20,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,5517400000000,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,028670|KR7028670008|KOSPI|2010-01-04|2026-09-01|028670_01,028670_01,028670,KR7028670008,KOSPI,2023-02-24,2023-02-27,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,3538850169440,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,003690|KR7003690005|KOSPI|2010-01-04|2026-09-01|003690_02,003690_02,003690,KR7003690005,KOSPI,2023-02-24,2023-02-27,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,1126583512000,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,005490|KR7005490008|KOSPI|2010-01-04|2026-09-01|005490_01,005490_01,005490,KR7005490008,KOSPI,2023-03-03,2023-03-06,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,28077648360000,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,081660|KR7081660003|KOSPI|2010-09-28|2026-09-01|081660_01,081660_01,081660,KR7081660003,KOSPI,2023-03-03,2023-03-06,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,2451352157700,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,005290|KR7005290002|KOSDAQ|2010-01-04|2026-09-01|005290_01,005290_01,005290,KR7005290002,KOSDAQ,2023-03-03,2023-03-06,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,2861738.1576939905,2861738.1576939905,0.0,1840638885200,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_02,000150_02,000150,KR7000150003,KOSPI,2023-03-10,2023-03-13,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,1921893.476318391,1921893.476318391,0.0,1779617029500,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,122870|KR7122870009|KOSDAQ|2011-11-23|2026-09-01|122870_01,122870_01,122870,KR7122870009,KOSDAQ,2023-04-14,2023-04-17,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,4526117.786075397,4526117.786075397,0.0,1177568350900,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
PATTERN_A_FAST_FINAL_STRATEGY_V02,034020|KR7034020008|KOSPI|2010-01-04|2026-09-01|034020_01,034020_01,034020,KR7034020008,KOSPI,2023-04-21,2023-04-24,ENTRY,SKIPPED_CASH_UNAVAILABLE,,,0,0.0,0.0,0.0,0.0,4526117.786075397,4526117.786075397,0.0,11792730697860,INSUFFICIENT_AVAILABLE_CASH,False,INSUFFICIENT_AVAILABLE_CASH
