strategy,metric,value
CONTROL,final_equity,371154513.82105666
CONTROL,final_equity_at_effective_close,371282997.12178665
CONTROL,cumulative_return_pct,85.57725691052833
CONTROL,CAGR_pct,14.198241187427874
CONTROL,mdd_pct,-15.135469
CONTROL,peak_date,2022-05-02
CONTROL,trough_date,2023-03-14
CONTROL,recovery_date,2023-07-31
CONTROL,recovered,True
CONTROL,trade_count,228
CONTROL,realized_trade_count,207
CONTROL,win_rate_pct,30.434782608695652
CONTROL,average_holding_trading_days,143.33333333333334
CONTROL,median_holding_trading_days,72
CONTROL,average_concurrent_positions,30.962247585601403
CONTROL,maximum_concurrent_positions,56
CONTROL,average_capital_utilization_pct,77.81317632850364
CONTROL,maximum_capital_utilization_pct,99.89013693819325
CONTROL,average_cash_ratio_pct,22.186823671496363
CONTROL,cash_drag_pct,22.186823671496363
CONTROL,turnover_krw,2301623428.7820005
CONTROL,turnover_multiple,11.508117143910003
CONTROL,turnover_pct_initial_capital,1150.8117143910004
CONTROL,total_buy_notional_krw,1126576942.4910004
CONTROL,total_sell_notional_krw,1175046486.2910001
CONTROL,total_commissions_krw,345243.5143173005
CONTROL,total_sell_tax_krw,2260446.4646262
CONTROL,slippage_impact_krw,2301674.199999866
CONTROL,cash_shortage_skipped_entries,177
CONTROL,realized_return_le_neg_30_count,2
CONTROL,realized_return_le_neg_40_count,1
CONTROL,realized_return_le_neg_50_count,0
CONTROL,realized_return_le_neg_60_count,0
CONTROL,realized_return_ge_pos_50_count,43
CONTROL,realized_return_ge_pos_100_count,21
CONTROL,open_at_effective_cutoff_count,24
CONTROL,open_at_effective_cutoff_market_value_krw,145712860.0
CONTROL,pending_sale_proceeds_at_support_krw,20293716.699270003
CONTROL,unresolved_count,0
CONTROL,cash_conservation_pass,True
CONTROL,position_cap,
CONTROL,total_buy_commissions_krw,168986.54137364996
CONTROL,total_sell_commissions_krw,176256.97294364998
CANDIDATE,final_equity,371514427.2898141
CANDIDATE,final_equity_at_effective_close,371642910.5905441
CANDIDATE,cumulative_return_pct,85.75721364490705
CANDIDATE,CAGR_pct,14.222010870284185
CANDIDATE,mdd_pct,-15.135469
CANDIDATE,peak_date,2022-05-02
CANDIDATE,trough_date,2023-03-14
CANDIDATE,recovery_date,2023-07-31
CANDIDATE,recovered,True
CANDIDATE,trade_count,228
CANDIDATE,realized_trade_count,207
CANDIDATE,win_rate_pct,30.434782608695652
CANDIDATE,average_holding_trading_days,143.27053140096618
CANDIDATE,median_holding_trading_days,72
CANDIDATE,average_concurrent_positions,30.95083406496927
CANDIDATE,maximum_concurrent_positions,56
CANDIDATE,average_capital_utilization_pct,77.8032796739273
CANDIDATE,maximum_capital_utilization_pct,99.89013693819325
CANDIDATE,average_cash_ratio_pct,22.19672032607269
CANDIDATE,cash_drag_pct,22.19672032607269
CANDIDATE,turnover_krw,2301984117.7320004
CANDIDATE,turnover_multiple,11.509920588660002
CANDIDATE,turnover_pct_initial_capital,1150.9920588660002
CANDIDATE,total_buy_notional_krw,1126576942.4910004
CANDIDATE,total_sell_notional_krw,1175407175.241
CANDIDATE,total_commissions_krw,345297.6176598005
CANDIDATE,total_sell_tax_krw,2261167.8425261998
CANDIDATE,slippage_impact_krw,2302035.2499998664
CANDIDATE,cash_shortage_skipped_entries,177
CANDIDATE,realized_return_le_neg_30_count,2
CANDIDATE,realized_return_le_neg_40_count,0
CANDIDATE,realized_return_le_neg_50_count,0
CANDIDATE,realized_return_le_neg_60_count,0
CANDIDATE,realized_return_ge_pos_50_count,43
CANDIDATE,realized_return_ge_pos_100_count,21
CANDIDATE,open_at_effective_cutoff_count,24
CANDIDATE,open_at_effective_cutoff_market_value_krw,145712860.0
CANDIDATE,pending_sale_proceeds_at_support_krw,20293716.699270003
CANDIDATE,unresolved_count,0
CANDIDATE,cash_conservation_pass,True
CANDIDATE,position_cap,
CANDIDATE,total_buy_commissions_krw,168986.54137364996
CANDIDATE,total_sell_commissions_krw,176311.07628615
CANDIDATE_MINUS_CONTROL,final_equity,359913.4687574506
CANDIDATE_MINUS_CONTROL,cumulative_return_pct,0.17995673437872028
CANDIDATE_MINUS_CONTROL,CAGR_pct,0.023769682856311647
CANDIDATE_MINUS_CONTROL,mdd_pct,0.0
CANDIDATE_MINUS_CONTROL,trade_count,0
CANDIDATE_MINUS_CONTROL,win_rate_pct,0.0
CANDIDATE_MINUS_CONTROL,average_holding_trading_days,-0.06280193236716514
CANDIDATE_MINUS_CONTROL,median_holding_trading_days,0
CANDIDATE_MINUS_CONTROL,average_concurrent_positions,-0.01141352063213219
CANDIDATE_MINUS_CONTROL,maximum_concurrent_positions,0
CANDIDATE_MINUS_CONTROL,average_capital_utilization_pct,-0.009896654576337482
CANDIDATE_MINUS_CONTROL,average_cash_ratio_pct,0.009896654576326824
CANDIDATE_MINUS_CONTROL,turnover_multiple,0.0018034447499992723
CANDIDATE_MINUS_CONTROL,total_commissions_krw,54.10334249999141
CANDIDATE_MINUS_CONTROL,total_sell_tax_krw,721.3778999997303
CANDIDATE_MINUS_CONTROL,slippage_impact_krw,361.0500000002794
CANDIDATE_MINUS_CONTROL,cash_shortage_skipped_entries,0
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_30_count,0
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_40_count,-1
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_50_count,0
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_60_count,0
CANDIDATE_MINUS_CONTROL,realized_return_ge_pos_50_count,0
CANDIDATE_MINUS_CONTROL,realized_return_ge_pos_100_count,0
CANDIDATE_MINUS_CONTROL,open_at_effective_cutoff_count,0
CANDIDATE_MINUS_CONTROL,maximum_capital_utilization_pct,0.0
CANDIDATE_MINUS_CONTROL,total_buy_commissions_krw,0.0
CANDIDATE_MINUS_CONTROL,total_sell_commissions_krw,54.10334250002052
