ticker,isu_cd,market,first_common_date,last_common_date,canonical_adjusted_date_min,canonical_metadata_requested_start,raw_pre_boundary_first_date,raw_pre_boundary_last_date,raw_pre_boundary_session_count,lifecycle_transition_present,common_interval_count,historical_name_evidence,identity_authority_reference,previous_classification,previous_classification_reason
012210,KR7012210001,KOSDAQ,2025-12-29,2026-08-21,2025-12-29,2025-12-29,2023-05-16,2025-12-26,520,false,1,2023-06-30:KONEX:삼미금속 -> 2023-09-22:KONEX:삼미금속 -> 2023-12-22:KONEX:삼미금속 -> 2023-12-28:KONEX:삼미금속 -> 2024-03-29:KONEX:삼미금속 -> 2024-06-28:KONEX:삼미금속 -> 2024-09-27:KONEX:삼미금속 -> 2024-12-27:KONEX:삼미금속 -> 2025-03-28:KONEX:삼미금속 -> 2025-06-27:KONEX:삼미금속 -> 2026-08-14:KOSDAQ:삼미금속 -> 2026-08-21:KOSDAQ:삼미금속,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
044990,KR7044990000,KOSDAQ,2024-10-25,2026-08-21,2024-10-25,2024-10-25,2021-08-17,2024-10-24,551,false,1,2020-03-27:KONEX:에이치엔에스하이텍 -> 2020-06-26:KONEX:에이치엔에스하이텍 -> 2020-09-25:KONEX:에이치엔에스하이텍 -> 2020-12-18:KONEX:에이치엔에스하이텍 -> 2020-12-24:KONEX:에이치엔에스하이텍 -> 2021-03-26:KONEX:에이치엔에스하이텍 -> 2021-06-25:KONEX:에이치엔에스하이텍 -> 2021-09-24:KONEX:에이치엔에스하이텍 -> 2021-12-24:KONEX:에이치엔에스하이텍 -> 2021-12-30:KONEX:에이치엔에스하이텍 -> 2022-03-25:KONEX:에이치엔에스하이텍 -> 2022-06-24:KONEX:에이치엔에스하이텍 -> 2022-09-30:KONEX:에이치엔에스하이텍 -> 2022-12-23:KONEX:에이치엔에스하이텍 -> 2022-12-29:KONEX:에이치엔에스하이텍 -> 2023-03-31:KONEX:에이치엔에스하이텍 -> 2023-06-30:KONEX:에이치엔에스하이텍 -> 2023-09-22:KONEX:에이치엔에스하이텍 -> 2023-12-22:KONEX:에이치엔에스하이텍 -> 2023-12-28:KONEX:에이치엔에스하이텍 -> 2024-03-29:KONEX:에이치엔에스하이텍 -> 2024-06-28:KONEX:에이치엔에스하이텍 -> 2024-09-27:KONEX:에이치엔에스하이텍 -> 2024-12-27:KOSDAQ:에이치엔에스하이텍 -> 2025-03-28:KOSDAQ:에이치엔에스하이텍 -> 2025-06-27:KOSDAQ:에이치엔에스하이텍 -> 2026-08-14:KOSDAQ:에이치엔에스하이텍 -> 2026-08-21:KOSDAQ:에이치엔에스하이텍,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
067370,KR7067370007,KOSDAQ,2022-10-05,2026-08-21,2022-10-05,2022-10-05,2021-08-17,2022-10-04,278,false,1,2020-03-27:KONEX:선바이오 -> 2020-06-26:KONEX:선바이오 -> 2020-09-25:KONEX:선바이오 -> 2020-12-18:KONEX:선바이오 -> 2020-12-24:KONEX:선바이오 -> 2021-03-26:KONEX:선바이오 -> 2021-06-25:KONEX:선바이오 -> 2021-09-24:KONEX:선바이오 -> 2021-12-24:KONEX:선바이오 -> 2021-12-30:KONEX:선바이오 -> 2022-03-25:KONEX:선바이오 -> 2022-06-24:KONEX:선바이오 -> 2022-09-30:KONEX:선바이오 -> 2022-12-23:KOSDAQ:선바이오 -> 2022-12-29:KOSDAQ:선바이오 -> 2023-03-31:KOSDAQ:선바이오 -> 2023-06-30:KOSDAQ:선바이오 -> 2023-09-22:KOSDAQ:선바이오 -> 2023-12-22:KOSDAQ:선바이오 -> 2023-12-28:KOSDAQ:선바이오 -> 2024-03-29:KOSDAQ:선바이오 -> 2024-06-28:KOSDAQ:선바이오 -> 2024-09-27:KOSDAQ:선바이오 -> 2024-12-27:KOSDAQ:선바이오 -> 2025-03-28:KOSDAQ:선바이오 -> 2025-06-27:KOSDAQ:선바이오 -> 2026-08-14:KOSDAQ:선바이오 -> 2026-08-21:KOSDAQ:선바이오,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
084440,KR7084440007,KOSDAQ,2022-11-18,2026-08-21,2022-11-18,2022-11-18,2021-08-17,2022-11-17,296,false,1,2020-03-27:KONEX:유비온 -> 2020-06-26:KONEX:유비온 -> 2020-09-25:KONEX:유비온 -> 2020-12-18:KONEX:유비온 -> 2020-12-24:KONEX:유비온 -> 2021-03-26:KONEX:유비온 -> 2021-06-25:KONEX:유비온 -> 2021-09-24:KONEX:유비온 -> 2021-12-24:KONEX:유비온 -> 2021-12-30:KONEX:유비온 -> 2022-03-25:KONEX:유비온 -> 2022-06-24:KONEX:유비온 -> 2022-09-30:KONEX:유비온 -> 2022-12-23:KOSDAQ:유비온 -> 2022-12-29:KOSDAQ:유비온 -> 2023-03-31:KOSDAQ:유비온 -> 2023-06-30:KOSDAQ:유비온 -> 2023-09-22:KOSDAQ:유비온 -> 2023-12-22:KOSDAQ:유비온 -> 2023-12-28:KOSDAQ:유비온 -> 2024-03-29:KOSDAQ:유비온 -> 2024-06-28:KOSDAQ:유비온 -> 2024-09-27:KOSDAQ:유비온 -> 2024-12-27:KOSDAQ:유비온 -> 2025-03-28:KOSDAQ:유비온 -> 2025-06-27:KOSDAQ:유비온 -> 2026-08-14:KOSDAQ:유비온 -> 2026-08-21:KOSDAQ:유비온,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
107640,KR7107640005,KOSDAQ,2024-06-24,2026-08-21,2024-06-24,2024-06-24,2021-08-17,2024-06-21,700,false,1,2020-03-27:KONEX:한중엔시에스 -> 2020-06-26:KONEX:한중엔시에스 -> 2020-09-25:KONEX:한중엔시에스 -> 2020-12-18:KONEX:한중엔시에스 -> 2020-12-24:KONEX:한중엔시에스 -> 2021-03-26:KONEX:한중엔시에스 -> 2021-06-25:KONEX:한중엔시에스 -> 2021-09-24:KONEX:한중엔시에스 -> 2021-12-24:KONEX:한중엔시에스 -> 2021-12-30:KONEX:한중엔시에스 -> 2022-03-25:KONEX:한중엔시에스 -> 2022-06-24:KONEX:한중엔시에스 -> 2022-09-30:KONEX:한중엔시에스 -> 2022-12-23:KONEX:한중엔시에스 -> 2022-12-29:KONEX:한중엔시에스 -> 2023-03-31:KONEX:한중엔시에스 -> 2023-06-30:KONEX:한중엔시에스 -> 2023-09-22:KONEX:한중엔시에스 -> 2023-12-22:KONEX:한중엔시에스 -> 2023-12-28:KONEX:한중엔시에스 -> 2024-03-29:KONEX:한중엔시에스 -> 2024-06-28:KOSDAQ:한중엔시에스 -> 2024-09-27:KOSDAQ:한중엔시에스 -> 2024-12-27:KOSDAQ:한중엔시에스 -> 2025-03-28:KOSDAQ:한중엔시에스 -> 2025-06-27:KOSDAQ:한중엔시에스 -> 2026-08-14:KOSDAQ:한중엔시에스 -> 2026-08-21:KOSDAQ:한중엔시에스,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
148780,KR7148780000,KOSDAQ,2022-06-20,2026-08-21,2022-06-20,2022-06-20,2021-08-17,2022-06-17,205,false,1,2020-03-27:KONEX:비플라이소프트 -> 2020-06-26:KONEX:비플라이소프트 -> 2020-09-25:KONEX:비플라이소프트 -> 2020-12-18:KONEX:비플라이소프트 -> 2020-12-24:KONEX:비플라이소프트 -> 2021-03-26:KONEX:비플라이소프트 -> 2021-06-25:KONEX:비플라이소프트 -> 2021-09-24:KONEX:비플라이소프트 -> 2021-12-24:KONEX:비플라이소프트 -> 2021-12-30:KONEX:비플라이소프트 -> 2022-03-25:KONEX:비플라이소프트 -> 2022-06-24:KOSDAQ:비플라이소프트 -> 2022-09-30:KOSDAQ:비플라이소프트 -> 2022-12-23:KOSDAQ:비플라이소프트 -> 2022-12-29:KOSDAQ:비플라이소프트 -> 2023-03-31:KOSDAQ:비플라이소프트 -> 2023-06-30:KOSDAQ:비플라이소프트 -> 2023-09-22:KOSDAQ:비플라이소프트 -> 2023-12-22:KOSDAQ:비플라이소프트 -> 2023-12-28:KOSDAQ:비플라이소프트 -> 2024-03-29:KOSDAQ:비플라이소프트 -> 2024-06-28:KOSDAQ:비큐AI -> 2024-09-27:KOSDAQ:비큐AI -> 2024-12-27:KOSDAQ:비큐AI -> 2025-03-28:KOSDAQ:비큐AI -> 2025-06-27:KOSDAQ:비큐AI -> 2026-08-14:KOSDAQ:비큐AI -> 2026-08-21:KOSDAQ:비큐AI,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
176750,KR7176750008,KOSDAQ,2024-12-20,2026-08-21,2024-12-20,2024-12-20,2021-08-17,2024-12-19,822,false,1,2020-03-27:KONEX:듀켐바이오 -> 2020-06-26:KONEX:듀켐바이오 -> 2020-09-25:KONEX:듀켐바이오 -> 2020-12-18:KONEX:듀켐바이오 -> 2020-12-24:KONEX:듀켐바이오 -> 2021-03-26:KONEX:듀켐바이오 -> 2021-06-25:KONEX:듀켐바이오 -> 2021-09-24:KONEX:듀켐바이오 -> 2021-12-24:KONEX:듀켐바이오 -> 2021-12-30:KONEX:듀켐바이오 -> 2022-03-25:KONEX:듀켐바이오 -> 2022-06-24:KONEX:듀켐바이오 -> 2022-09-30:KONEX:듀켐바이오 -> 2022-12-23:KONEX:듀켐바이오 -> 2022-12-29:KONEX:듀켐바이오 -> 2023-03-31:KONEX:듀켐바이오 -> 2023-06-30:KONEX:듀켐바이오 -> 2023-09-22:KONEX:듀켐바이오 -> 2023-12-22:KONEX:듀켐바이오 -> 2023-12-28:KONEX:듀켐바이오 -> 2024-03-29:KONEX:듀켐바이오 -> 2024-06-28:KONEX:듀켐바이오 -> 2024-09-27:KONEX:듀켐바이오 -> 2024-12-27:KOSDAQ:듀켐바이오 -> 2025-03-28:KOSDAQ:듀켐바이오 -> 2025-06-27:KOSDAQ:듀켐바이오 -> 2026-08-14:KOSDAQ:듀켐바이오 -> 2026-08-21:KOSDAQ:듀켐바이오,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
199800,KR7199800004,KOSDAQ,2021-12-10,2026-08-21,2021-12-10,2021-12-10,2021-08-17,2021-12-09,78,false,1,2020-03-27:KONEX:툴젠 -> 2020-06-26:KONEX:툴젠 -> 2020-09-25:KONEX:툴젠 -> 2020-12-18:KONEX:툴젠 -> 2020-12-24:KONEX:툴젠 -> 2021-03-26:KONEX:툴젠 -> 2021-06-25:KONEX:툴젠 -> 2021-09-24:KONEX:툴젠 -> 2021-12-24:KOSDAQ:툴젠 -> 2021-12-30:KOSDAQ:툴젠 -> 2022-03-25:KOSDAQ:툴젠 -> 2022-06-24:KOSDAQ:툴젠 -> 2022-09-30:KOSDAQ:툴젠 -> 2022-12-23:KOSDAQ:툴젠 -> 2022-12-29:KOSDAQ:툴젠 -> 2023-03-31:KOSDAQ:툴젠 -> 2023-06-30:KOSDAQ:툴젠 -> 2023-09-22:KOSDAQ:툴젠 -> 2023-12-22:KOSDAQ:툴젠 -> 2023-12-28:KOSDAQ:툴젠 -> 2024-03-29:KOSDAQ:툴젠 -> 2024-06-28:KOSDAQ:툴젠 -> 2024-09-27:KOSDAQ:툴젠 -> 2024-12-27:KOSDAQ:툴젠 -> 2025-03-28:KOSDAQ:툴젠 -> 2025-06-27:KOSDAQ:툴젠 -> 2026-08-14:KOSDAQ:툴젠 -> 2026-08-21:KOSDAQ:툴젠,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
200350,KR7200350007,KOSDAQ,2021-12-30,2026-08-21,2021-12-30,2021-12-30,2021-08-17,2021-12-29,92,false,1,2020-03-27:KONEX:래몽래인 -> 2020-06-26:KONEX:래몽래인 -> 2020-09-25:KONEX:래몽래인 -> 2020-12-18:KONEX:래몽래인 -> 2020-12-24:KONEX:래몽래인 -> 2021-03-26:KONEX:래몽래인 -> 2021-06-25:KONEX:래몽래인 -> 2021-09-24:KONEX:래몽래인 -> 2021-12-24:KONEX:래몽래인 -> 2021-12-30:KOSDAQ:래몽래인 -> 2022-03-25:KOSDAQ:래몽래인 -> 2022-06-24:KOSDAQ:래몽래인 -> 2022-09-30:KOSDAQ:래몽래인 -> 2022-12-23:KOSDAQ:래몽래인 -> 2022-12-29:KOSDAQ:래몽래인 -> 2023-03-31:KOSDAQ:래몽래인 -> 2023-06-30:KOSDAQ:래몽래인 -> 2023-09-22:KOSDAQ:래몽래인 -> 2023-12-22:KOSDAQ:래몽래인 -> 2023-12-28:KOSDAQ:래몽래인 -> 2024-03-29:KOSDAQ:래몽래인 -> 2024-06-28:KOSDAQ:래몽래인 -> 2024-09-27:KOSDAQ:래몽래인 -> 2024-12-27:KOSDAQ:아티스트스튜디오 -> 2025-03-28:KOSDAQ:아티스트스튜디오 -> 2025-06-27:KOSDAQ:아티스트스튜디오 -> 2026-08-14:KOSDAQ:아티스트스튜디오 -> 2026-08-21:KOSDAQ:아티스트스튜디오,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
203400,KR7203400007,KOSDAQ,2021-09-08,2026-08-21,2021-09-08,2021-09-08,2021-08-17,2021-09-07,16,false,1,2020-03-27:KONEX:에이비온 -> 2020-06-26:KONEX:에이비온 -> 2020-09-25:KONEX:에이비온 -> 2020-12-18:KONEX:에이비온 -> 2020-12-24:KONEX:에이비온 -> 2021-03-26:KONEX:에이비온 -> 2021-06-25:KONEX:에이비온 -> 2021-09-24:KOSDAQ:에이비온 -> 2021-12-24:KOSDAQ:에이비온 -> 2021-12-30:KOSDAQ:에이비온 -> 2022-03-25:KOSDAQ:에이비온 -> 2022-06-24:KOSDAQ:에이비온 -> 2022-09-30:KOSDAQ:에이비온 -> 2022-12-23:KOSDAQ:에이비온 -> 2022-12-29:KOSDAQ:에이비온 -> 2023-03-31:KOSDAQ:에이비온 -> 2023-06-30:KOSDAQ:에이비온 -> 2023-09-22:KOSDAQ:에이비온 -> 2023-12-22:KOSDAQ:에이비온 -> 2023-12-28:KOSDAQ:에이비온 -> 2024-03-29:KOSDAQ:에이비온 -> 2024-06-28:KOSDAQ:에이비온 -> 2024-09-27:KOSDAQ:에이비온 -> 2024-12-27:KOSDAQ:에이비온 -> 2025-03-28:KOSDAQ:에이비온 -> 2025-06-27:KOSDAQ:에이비온 -> 2026-08-14:KOSDAQ:에이비온 -> 2026-08-21:KOSDAQ:에이비온,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present
