ticker,candidate_rank,rcept_no,report_nm,probe_request_id,source,evidence_origin,retrieval_mode,http_status,transport_response_sha256,archive_detected,extracted_member_sha256,canonical_raw_sha256,event_node_path,timing_node_path,binding_relationship,authority_valid,validation_reason
005930,1,20180131800068,주식분할결정,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
005930,2,20180316800856,[기재정정]주식분할결정,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
005930,3,20180223000294,주주총회소집공고,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
005930,4,20180223000490,[기재정정]주주총회소집공고,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,1,20180726800004,주식분할결정,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,2,20180823000235,주주총회소집공고,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,3,20180928801054,유상증자결정(종속회사의주요경영사항),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,4,20180823800003,유상증자결정(종속회사의주요경영사항),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,5,20180726000002,주요사항보고서(회사분할합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,6,20180725800553,유상증자결정(종속회사의주요경영사항),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,7,20180727000002,[기재정정]주요사항보고서(회사분할합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035420,8,20180726000233,[기재정정]주요사항보고서(회사분할합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035720,1,20210225800978,주식분할결정,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035720,2,20210226003695,주주총회소집공고,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035720,3,20210312001048,[기재정정]주주총회소집공고,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035720,4,20210414800614,회사분할합병결정(종속회사의주요경영사항),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035720,5,20210401800075,유상증자결정(자율공시)(종속회사의주요경영사항),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
035720,6,20210218800554,유상증자결정(종속회사의주요경영사항),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,1,20210121800246,유상증자또는주식관련사채등의발행결과(자율공시),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,2,20210120800032,유상증자또는주식관련사채등의청약결과(자율공시),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,3,20210120000379,특수관계인의유상증자참여,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,4,20210115800135,유상증자또는주식관련사채등의청약결과(자율공시),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,5,20210111800043,유상증자신주발행가액(안내공시),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,6,20201207800080,유상증자신주발행가액(안내공시),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,7,20201106000352,특수관계인의유상증자참여,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,8,20201106000350,특수관계인의유상증자참여,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,9,20201106000312,주요사항보고서(유상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,10,20210111000381,[기재정정]특수관계인의유상증자참여,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,11,20210111000364,[기재정정]주요사항보고서(유상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,12,20210111000245,[기재정정]특수관계인의유상증자참여,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,13,20201207000015,[기재정정]주요사항보고서(유상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
