ticker,control_category,expected_count,candidate_count,first_expected_date,first_candidate_date,last_expected_date,last_candidate_date,missing_expected_count,unexpected_count,pre_listing_rows,post_delisting_rows,future_rows,coverage_status,reason
005930,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_005930
000660,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_000660
005380,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_005380
000270,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_000270
005490,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_005490
035420,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_035420
051910,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_051910
006400,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_006400
003550,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_003550
012330,LONG_LIVED_CURRENT_COMMON,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,LONG_ACTIVE_CONTROL_012330
352820,MEDIUM_RECENT_CURRENT_COMMON,1435,1435,2020-10-15,2020-10-15,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,RECENT_ACTIVE_2020
373220,MEDIUM_RECENT_CURRENT_COMMON,1115,1115,2022-01-27,2022-01-27,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,RECENT_ACTIVE_2022
259960,MEDIUM_RECENT_CURRENT_COMMON,1230,1230,2021-08-10,2021-08-10,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,RECENT_ACTIVE_2021
323410,MEDIUM_RECENT_CURRENT_COMMON,1232,1232,2021-08-06,2021-08-06,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,RECENT_ACTIVE_2021
377300,MEDIUM_RECENT_CURRENT_COMMON,1175,1175,2021-11-03,2021-11-03,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,RECENT_ACTIVE_2021
064420,HISTORICAL_ONLY_DELISTED,756,756,2010-01-04,2010-01-04,2013-01-14,2013-01-14,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_064420
001470,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_SHORT_HISTORY
000440,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_EARLY
000540,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_SHORT
001530,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_SHORT
002140,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_MID
002360,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_MID
002820,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_MID
003350,HISTORICAL_ONLY_DELISTED,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_DELISTED_LATE
