ticker,label,window_start,window_end,iteration,http_status,parsed_status,row_count,first_date,last_date,normalized_content_sha256,elapsed_ms
005930,LONG_ACTIVE_SAMSUNG,2010-01-04,2013-12-31,1,200,SUCCESS,994,2010-01-04,2013-12-30,16f68fa362ce7542f9244ecb60de1404c4aa8216649e2917c867542ced829f0b,20.377625012770295
005930,LONG_ACTIVE_SAMSUNG,2010-01-04,2013-12-31,2,200,SUCCESS,994,2010-01-04,2013-12-30,16f68fa362ce7542f9244ecb60de1404c4aa8216649e2917c867542ced829f0b,20.53316601086408
005930,LONG_ACTIVE_SAMSUNG,2010-01-04,2013-12-31,3,200,SUCCESS,994,2010-01-04,2013-12-30,16f68fa362ce7542f9244ecb60de1404c4aa8216649e2917c867542ced829f0b,19.16916703339666
000660,LONG_ACTIVE_HYNIX,2010-01-04,2013-12-31,1,200,SUCCESS,994,2010-01-04,2013-12-30,d6e5a119cd1c6975cb14d94dba675d5b9f9def2203d24182a208bfecaabb7892,18.42166599817574
000660,LONG_ACTIVE_HYNIX,2010-01-04,2013-12-31,2,200,SUCCESS,994,2010-01-04,2013-12-30,d6e5a119cd1c6975cb14d94dba675d5b9f9def2203d24182a208bfecaabb7892,17.868541064672172
000660,LONG_ACTIVE_HYNIX,2010-01-04,2013-12-31,3,200,SUCCESS,994,2010-01-04,2013-12-30,d6e5a119cd1c6975cb14d94dba675d5b9f9def2203d24182a208bfecaabb7892,18.92979198601097
005380,ACTIVE_HYUNDAI_OVERLAP,2018-01-02,2019-12-30,1,200,SUCCESS,490,2018-01-02,2019-12-30,48fcf2102db7e00341175043c47f1a41f014f1dded040e5f209e4c99a6880b0a,14.114249963313341
005380,ACTIVE_HYUNDAI_OVERLAP,2018-01-02,2019-12-30,2,200,SUCCESS,490,2018-01-02,2019-12-30,48fcf2102db7e00341175043c47f1a41f014f1dded040e5f209e4c99a6880b0a,12.950708041898906
005380,ACTIVE_HYUNDAI_OVERLAP,2018-01-02,2019-12-30,3,200,SUCCESS,490,2018-01-02,2019-12-30,48fcf2102db7e00341175043c47f1a41f014f1dded040e5f209e4c99a6880b0a,13.349874992854893
352820,RECENT_ACTIVE_HYBE,2020-10-15,2022-12-29,1,200,SUCCESS,548,2020-10-15,2022-12-29,670cad9554d6849d926f4c38e8037ca40320165a80bf5a510d1175e31b0f284f,12.837916961871088
352820,RECENT_ACTIVE_HYBE,2020-10-15,2022-12-29,2,200,SUCCESS,548,2020-10-15,2022-12-29,670cad9554d6849d926f4c38e8037ca40320165a80bf5a510d1175e31b0f284f,13.513792073354125
352820,RECENT_ACTIVE_HYBE,2020-10-15,2022-12-29,3,200,SUCCESS,548,2020-10-15,2022-12-29,670cad9554d6849d926f4c38e8037ca40320165a80bf5a510d1175e31b0f284f,13.439374975860119
064420,DELISTED_064420_FULL,2010-01-04,2013-01-14,1,200,SUCCESS,756,2010-01-04,2013-01-14,92b1ceafdb25f7e8590348515f5f9b65382ea04ea662753446fd580ff8053239,15.984041034244001
064420,DELISTED_064420_FULL,2010-01-04,2013-01-14,2,200,SUCCESS,756,2010-01-04,2013-01-14,92b1ceafdb25f7e8590348515f5f9b65382ea04ea662753446fd580ff8053239,16.6939590126276
064420,DELISTED_064420_FULL,2010-01-04,2013-01-14,3,200,SUCCESS,756,2010-01-04,2013-01-14,92b1ceafdb25f7e8590348515f5f9b65382ea04ea662753446fd580ff8053239,15.622791019268334
000610,TRANSIENT_EMPTY_000610,2010-01-04,2026-08-21,1,200,SUCCESS,12,2010-01-04,2010-01-19,39151551e2f38de85fa165fb78bc85f6a4348830cfc7ab2cf599aef9c09f1c55,9.81983297970146
000610,TRANSIENT_EMPTY_000610,2010-01-04,2026-08-21,2,200,SUCCESS,12,2010-01-04,2010-01-19,39151551e2f38de85fa165fb78bc85f6a4348830cfc7ab2cf599aef9c09f1c55,9.633000008761883
000610,TRANSIENT_EMPTY_000610,2010-01-04,2026-08-21,3,200,SUCCESS,12,2010-01-04,2010-01-19,39151551e2f38de85fa165fb78bc85f6a4348830cfc7ab2cf599aef9c09f1c55,9.833957999944687
015940,TRANSIENT_EMPTY_015940,2010-01-04,2026-08-21,1,200,SUCCESS,9,2010-01-04,2010-01-14,9bd595059f3d4b53841ce0f86c6f551fa04908d7161b9952fb829f0617902c31,9.232290904037654
015940,TRANSIENT_EMPTY_015940,2010-01-04,2026-08-21,2,200,SUCCESS,9,2010-01-04,2010-01-14,9bd595059f3d4b53841ce0f86c6f551fa04908d7161b9952fb829f0617902c31,9.372374974191189
015940,TRANSIENT_EMPTY_015940,2010-01-04,2026-08-21,3,200,SUCCESS,9,2010-01-04,2010-01-14,9bd595059f3d4b53841ce0f86c6f551fa04908d7161b9952fb829f0617902c31,9.879917022772133
0015G0,ALPHA_0015G0,2025-11-17,2026-08-21,1,200,SUCCESS,187,2025-11-17,2026-08-21,7be058f758ead9d7e26976812f5630eb622b9a8ed338acc80100abb720822b78,10.862459079362452
0015G0,ALPHA_0015G0,2025-11-17,2026-08-21,2,200,SUCCESS,187,2025-11-17,2026-08-21,7be058f758ead9d7e26976812f5630eb622b9a8ed338acc80100abb720822b78,10.928209056146443
0015G0,ALPHA_0015G0,2025-11-17,2026-08-21,3,200,SUCCESS,187,2025-11-17,2026-08-21,7be058f758ead9d7e26976812f5630eb622b9a8ed338acc80100abb720822b78,13.408166007138789
035720,CORP_ACTION_KAKAO,2020-01-02,2021-12-30,1,200,SUCCESS,496,2020-01-02,2021-12-30,61b0097cc3f540eb98f9a990e4effffc5440ab86f94956204ea621bef0eda1ce,14.870958984829485
035720,CORP_ACTION_KAKAO,2020-01-02,2021-12-30,2,200,SUCCESS,496,2020-01-02,2021-12-30,61b0097cc3f540eb98f9a990e4effffc5440ab86f94956204ea621bef0eda1ce,14.003916061483324
035720,CORP_ACTION_KAKAO,2020-01-02,2021-12-30,3,200,SUCCESS,496,2020-01-02,2021-12-30,61b0097cc3f540eb98f9a990e4effffc5440ab86f94956204ea621bef0eda1ce,13.747291988693178
000810,ANOMALY_SAMSUNG_FIRE,2018-01-02,2019-12-30,1,200,SUCCESS,490,2018-01-02,2019-12-30,0e3cb0ac1a3aa08b631563018a97a5397ba7b4a8c178801aa008a80e5e66d2b4,12.706833076663315
000810,ANOMALY_SAMSUNG_FIRE,2018-01-02,2019-12-30,2,200,SUCCESS,490,2018-01-02,2019-12-30,0e3cb0ac1a3aa08b631563018a97a5397ba7b4a8c178801aa008a80e5e66d2b4,12.512124958448112
000810,ANOMALY_SAMSUNG_FIRE,2018-01-02,2019-12-30,3,200,SUCCESS,490,2018-01-02,2019-12-30,0e3cb0ac1a3aa08b631563018a97a5397ba7b4a8c178801aa008a80e5e66d2b4,15.75045904610306
