ticker,name,population_class,currently_common,historical_only,alpha_ticker,control_category,selection_reason,listing_start,listing_end
005930,삼성전자,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_005930,,
000660,SK하이닉스,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_000660,,
005380,현대차,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_005380,,
000270,기아,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_000270,,
005490,POSCO홀딩스,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_005490,,
035420,NAVER,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_035420,,
051910,LG화학,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_051910,,
006400,삼성SDI,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_006400,,
003550,LG,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_003550,,
012330,현대모비스,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_012330,,
352820,하이브,CURRENT_COMMON,True,False,False,MEDIUM_RECENT_CURRENT_COMMON,RECENT_ACTIVE_2020,,
373220,LG에너지솔루션,CURRENT_COMMON,True,False,False,MEDIUM_RECENT_CURRENT_COMMON,RECENT_ACTIVE_2022,,
259960,크래프톤,CURRENT_COMMON,True,False,False,MEDIUM_RECENT_CURRENT_COMMON,RECENT_ACTIVE_2021,,
323410,카카오뱅크,CURRENT_COMMON,True,False,False,MEDIUM_RECENT_CURRENT_COMMON,RECENT_ACTIVE_2021,,
377300,카카오페이,CURRENT_COMMON,True,False,False,MEDIUM_RECENT_CURRENT_COMMON,RECENT_ACTIVE_2021,,
064420,한솔PNS(상폐),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_064420,,
001470,삼부토건(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_SHORT_HISTORY,,
000440,중앙건설(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_EARLY,,
000540,흥국화재(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_SHORT,,
001530,동양고속(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_SHORT,,
002140,고려산업(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_MID,,
002360,SH에너지화학(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_MID,,
002820,SUN&L(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_MID,,
003350,한국수출포장(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_LATE,,
003610,방림(구),HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,HISTORICAL_DELISTED_LATE,,
0001A0,Alpha-0001A0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0001A0,,
0004V0,Alpha-0004V0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0004V0,,
0007C0,Alpha-0007C0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0007C0,,
0007J0,Alpha-0007J0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0007J0,,
0008Z0,Alpha-0008Z0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0008Z0,,
0009K0,Alpha-0009K0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0009K0,,
0010F0,Alpha-0010F0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0010F0,,
0010V0,Alpha-0010V0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0010V0,,
0011A0,Alpha-0011A0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0011A0,,
0011T0,Alpha-0011T0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0011T0,,
0013V0,Alpha-0013V0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0013V0,,
0015G0,Alpha-0015G0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0015G0,,
0015N0,Alpha-0015N0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0015N0,,
0015S0,Alpha-0015S0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0015S0,,
0017J0,Alpha-0017J0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0017J0,,
0039P0,Alpha-0039P0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0039P0,,
0082N0,Alpha-0082N0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0082N0,,
0088M0,Alpha-0088M0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0088M0,,
0117P0,Alpha-0117P0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0117P0,,
0156T0,Alpha-0156T0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0156T0,,
0218L0,Alpha-0218L0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0218L0,,
0120G0,Alpha-0120G0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0120G0,,
0126Z0,Alpha-0126Z0,ALPHA_23_COMMON,False,False,True,ALPHA_23_FULL_SET,ALPHA_23_MANDATORY_0126Z0,,
035720,카카오,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,STOCK_SPLIT_5_TO_1_2021,,
003670,포스코퓨처엠,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,RIGHTS_ISSUE_REORGANIZATION,,
011070,LG이노텍,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,MERGER_SPINOFF_HISTORY,,
028260,삼성물산,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,MERGER_REORGANIZATION_2015,,
009150,삼성전기,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,SPINOFF_CAPITAL_CHANGE_HISTORY,,
000100,유한양행,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,BONUS_ISSUE_STOCK_DIVIDEND_HISTORY,,
004020,현대제철,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,MERGER_REORGANIZATION_HISTORY,,
010130,고려아연,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,RIGHTS_ISSUE_CAPITAL_CHANGE_HISTORY,,
000610,동양2우B(구),HISTORICAL_ONLY,False,True,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_RECONCILED,,
015940,동양강철(구),HISTORICAL_ONLY,False,True,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_RECONCILED,,
037510,제일바이오(구),HISTORICAL_ONLY,False,True,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_RECONCILED,,
045820,우노앤컴퍼니(구),HISTORICAL_ONLY,False,True,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_RECONCILED,,
000810,삼성화재,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON_INVALID_OHLC_CONTROL,,
001040,CJ,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON_INVALID_OHLC_CONTROL,,
001740,SK네트웍스,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON_INVALID_OHLC_CONTROL,,
002790,아모레G,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON_INVALID_OHLC_CONTROL,,
003540,대신증권,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON_INVALID_OHLC_CONTROL,,
000500,가온전선(구),HISTORICAL_ONLY,False,True,False,EXISTING_OHLC_ANOMALY_CONTROL,HISTORICAL_ONLY_INVALID_OHLC_CONTROL,,
000970,한국동서발전(구),HISTORICAL_ONLY,False,True,False,EXISTING_OHLC_ANOMALY_CONTROL,HISTORICAL_ONLY_INVALID_OHLC_CONTROL,,
001250,GS글로벌(구),HISTORICAL_ONLY,False,True,False,EXISTING_OHLC_ANOMALY_CONTROL,HISTORICAL_ONLY_INVALID_OHLC_CONTROL,,
001380,SG글로벌(구),HISTORICAL_ONLY,False,True,False,EXISTING_OHLC_ANOMALY_CONTROL,HISTORICAL_ONLY_INVALID_OHLC_CONTROL,,
001420,태원물산(구),HISTORICAL_ONLY,False,True,False,EXISTING_OHLC_ANOMALY_CONTROL,HISTORICAL_ONLY_INVALID_OHLC_CONTROL,,
030990,일경(상폐),HISTORICAL_ONLY,False,True,False,KNOWN_UNSUPPORTED_CONTROL,DELISTED_SYMBOL_UNSUPPORTED_CONTROL,,
