ticker,control_category,population_class,expected_count,candidate_count,missing_expected_count,raw_unexpected_count,reconciled_unexpected_count,unreconciled_unexpected_count,first_expected_date,last_expected_date,first_candidate_date,last_candidate_date,pre_listing_rows,post_delisting_rows,future_rows,coverage_status,error_detail
005930,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
000660,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
005380,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
000270,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
005490,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
035420,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
051910,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
006400,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
003550,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
012330,LONG_LIVED_CURRENT_COMMON,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
352820,MEDIUM_RECENT_CURRENT_COMMON,CURRENT_COMMON,1435,1435,0,0,0,0,2020-10-15,2026-08-21,2020-10-15,2026-08-21,0,0,0,COVERAGE_VALID,
373220,MEDIUM_RECENT_CURRENT_COMMON,CURRENT_COMMON,1115,1115,0,0,0,0,2022-01-27,2026-08-21,2022-01-27,2026-08-21,0,0,0,COVERAGE_VALID,
259960,MEDIUM_RECENT_CURRENT_COMMON,CURRENT_COMMON,1230,1230,0,0,0,0,2021-08-10,2026-08-21,2021-08-10,2026-08-21,0,0,0,COVERAGE_VALID,
323410,MEDIUM_RECENT_CURRENT_COMMON,CURRENT_COMMON,1232,1232,0,0,0,0,2021-08-06,2026-08-21,2021-08-06,2026-08-21,0,0,0,COVERAGE_VALID,
377300,MEDIUM_RECENT_CURRENT_COMMON,CURRENT_COMMON,1175,1175,0,0,0,0,2021-11-03,2026-08-21,2021-11-03,2026-08-21,0,0,0,COVERAGE_VALID,
064420,HISTORICAL_ONLY_DELISTED,HISTORICAL_ONLY,756,756,0,0,0,0,2010-01-04,2013-01-14,2010-01-04,2013-01-14,0,0,0,COVERAGE_VALID,
004320,HISTORICAL_ONLY_DELISTED,HISTORICAL_ONLY,1307,1307,0,0,0,0,2010-01-04,2015-04-10,2010-01-04,2015-04-10,0,0,0,COVERAGE_VALID,
