ticker,population_class,currently_common,historical_only,alpha_ticker,control_category,selection_reason,authority_source_path,authority_identity_hash_or_reference,listing_start,listing_end
005930,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_005930,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
000660,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_000660,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
005380,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_005380,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
000270,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_000270,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
005490,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_005490,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
035420,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_035420,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
051910,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_051910,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
006400,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_006400,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
003550,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_003550,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
012330,CURRENT_COMMON,True,False,False,LONG_LIVED_CURRENT_COMMON,LONG_ACTIVE_CONTROL_012330,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2010-01-04,2026-08-21
