ticker,probe_iteration,requested_start,requested_end,row_count,violating_date_count,violating_dates,violating_values,response_hash,same_as_previous_iteration,error_classification
000100,1,2010-01-04,2026-08-21,2996,136,"['2014-06-10', '2014-06-12', '2014-06-16', '2014-06-18', '2014-06-19']","[{'date': '2014-06-10', 'open': 24600.0, 'high': 24672.0, 'low': 24317.0, 'close': 24673.0, 'violation': 'close > high'}, {'date': '2014-06-12', 'open': 24317.0, 'high': 24672.0, 'low': 24177.0, 'close': 24673.0, 'violation': 'close > high'}, {'date': '2014-06-16', 'open': 24460.0, 'high': 24882.0, 'low': 24388.0, 'close': 24884.0, 'violation': 'close > high'}]",06d38f48c1f02616c7bb80949c0b42feaddd829cf33aa90a7f9f8fc773c280a8,True,PROVIDER_INVALID_ADJUSTED_OHLC
000100,2,2010-01-04,2026-08-21,2996,136,"['2014-06-10', '2014-06-12', '2014-06-16', '2014-06-18', '2014-06-19']","[{'date': '2014-06-10', 'open': 24600.0, 'high': 24672.0, 'low': 24317.0, 'close': 24673.0, 'violation': 'close > high'}, {'date': '2014-06-12', 'open': 24317.0, 'high': 24672.0, 'low': 24177.0, 'close': 24673.0, 'violation': 'close > high'}, {'date': '2014-06-16', 'open': 24460.0, 'high': 24882.0, 'low': 24388.0, 'close': 24884.0, 'violation': 'close > high'}]",06d38f48c1f02616c7bb80949c0b42feaddd829cf33aa90a7f9f8fc773c280a8,True,PROVIDER_INVALID_ADJUSTED_OHLC
000100,3,2010-01-04,2026-08-21,2996,136,"['2014-06-10', '2014-06-12', '2014-06-16', '2014-06-18', '2014-06-19']","[{'date': '2014-06-10', 'open': 24600.0, 'high': 24672.0, 'low': 24317.0, 'close': 24673.0, 'violation': 'close > high'}, {'date': '2014-06-12', 'open': 24317.0, 'high': 24672.0, 'low': 24177.0, 'close': 24673.0, 'violation': 'close > high'}, {'date': '2014-06-16', 'open': 24460.0, 'high': 24882.0, 'low': 24388.0, 'close': 24884.0, 'violation': 'close > high'}]",06d38f48c1f02616c7bb80949c0b42feaddd829cf33aa90a7f9f8fc773c280a8,True,PROVIDER_INVALID_ADJUSTED_OHLC
000230,1,2010-01-04,2026-08-21,2996,75,"['2014-07-07', '2014-08-14', '2014-09-03', '2014-09-15', '2014-11-10']","[{'date': '2014-07-07', 'open': 15688.0, 'high': 16449.0, 'low': 15471.0, 'close': 16450.0, 'violation': 'close > high'}, {'date': '2014-08-14', 'open': 15091.0, 'high': 15091.0, 'low': 14929.0, 'close': 15092.0, 'violation': 'close > high'}, {'date': '2014-09-03', 'open': 15363.0, 'high': 15525.0, 'low': 15309.0, 'close': 15527.0, 'violation': 'close > high'}]",de14317ab041e5e74414998eb391b91760e8c7459ea7a44cd34a2d053c8519ac,True,PROVIDER_INVALID_ADJUSTED_OHLC
000230,2,2010-01-04,2026-08-21,2996,75,"['2014-07-07', '2014-08-14', '2014-09-03', '2014-09-15', '2014-11-10']","[{'date': '2014-07-07', 'open': 15688.0, 'high': 16449.0, 'low': 15471.0, 'close': 16450.0, 'violation': 'close > high'}, {'date': '2014-08-14', 'open': 15091.0, 'high': 15091.0, 'low': 14929.0, 'close': 15092.0, 'violation': 'close > high'}, {'date': '2014-09-03', 'open': 15363.0, 'high': 15525.0, 'low': 15309.0, 'close': 15527.0, 'violation': 'close > high'}]",de14317ab041e5e74414998eb391b91760e8c7459ea7a44cd34a2d053c8519ac,True,PROVIDER_INVALID_ADJUSTED_OHLC
000230,3,2010-01-04,2026-08-21,2996,75,"['2014-07-07', '2014-08-14', '2014-09-03', '2014-09-15', '2014-11-10']","[{'date': '2014-07-07', 'open': 15688.0, 'high': 16449.0, 'low': 15471.0, 'close': 16450.0, 'violation': 'close > high'}, {'date': '2014-08-14', 'open': 15091.0, 'high': 15091.0, 'low': 14929.0, 'close': 15092.0, 'violation': 'close > high'}, {'date': '2014-09-03', 'open': 15363.0, 'high': 15525.0, 'low': 15309.0, 'close': 15527.0, 'violation': 'close > high'}]",de14317ab041e5e74414998eb391b91760e8c7459ea7a44cd34a2d053c8519ac,True,PROVIDER_INVALID_ADJUSTED_OHLC
000520,1,2010-01-04,2026-08-21,2996,80,"['2014-06-23', '2014-07-01', '2014-07-10', '2014-10-13', '2014-10-31']","[{'date': '2014-06-23', 'open': 2729.0, 'high': 2754.0, 'low': 2689.0, 'close': 2756.0, 'violation': 'close > high'}, {'date': '2014-07-01', 'open': 2654.0, 'high': 2720.0, 'low': 2632.0, 'close': 2721.0, 'violation': 'close > high'}, {'date': '2014-07-10', 'open': 2685.0, 'high': 2693.0, 'low': 2636.0, 'close': 2695.0, 'violation': 'close > high'}]",19a3501e864bd8ddab2a4109f4ba95b7d9283844b524c47a1d189fef7582e205,True,PROVIDER_INVALID_ADJUSTED_OHLC
000520,2,2010-01-04,2026-08-21,2996,80,"['2014-06-23', '2014-07-01', '2014-07-10', '2014-10-13', '2014-10-31']","[{'date': '2014-06-23', 'open': 2729.0, 'high': 2754.0, 'low': 2689.0, 'close': 2756.0, 'violation': 'close > high'}, {'date': '2014-07-01', 'open': 2654.0, 'high': 2720.0, 'low': 2632.0, 'close': 2721.0, 'violation': 'close > high'}, {'date': '2014-07-10', 'open': 2685.0, 'high': 2693.0, 'low': 2636.0, 'close': 2695.0, 'violation': 'close > high'}]",19a3501e864bd8ddab2a4109f4ba95b7d9283844b524c47a1d189fef7582e205,True,PROVIDER_INVALID_ADJUSTED_OHLC
000520,3,2010-01-04,2026-08-21,2996,80,"['2014-06-23', '2014-07-01', '2014-07-10', '2014-10-13', '2014-10-31']","[{'date': '2014-06-23', 'open': 2729.0, 'high': 2754.0, 'low': 2689.0, 'close': 2756.0, 'violation': 'close > high'}, {'date': '2014-07-01', 'open': 2654.0, 'high': 2720.0, 'low': 2632.0, 'close': 2721.0, 'violation': 'close > high'}, {'date': '2014-07-10', 'open': 2685.0, 'high': 2693.0, 'low': 2636.0, 'close': 2695.0, 'violation': 'close > high'}]",19a3501e864bd8ddab2a4109f4ba95b7d9283844b524c47a1d189fef7582e205,True,PROVIDER_INVALID_ADJUSTED_OHLC
001060,1,2010-01-04,2026-08-21,2996,95,"['2014-06-12', '2014-06-13', '2014-06-30', '2014-07-04', '2014-08-28']","[{'date': '2014-06-12', 'open': 12347.0, 'high': 12347.0, 'low': 12085.0, 'close': 12352.0, 'violation': 'close > high'}, {'date': '2014-06-13', 'open': 12347.0, 'high': 12423.0, 'low': 12196.0, 'close': 12427.0, 'violation': 'close > high'}, {'date': '2014-06-30', 'open': 12085.0, 'high': 12423.0, 'low': 12010.0, 'close': 12427.0, 'violation': 'close > high'}]",c59615c86760f1a72a8620805dc091c0c8de49e67a486411661ade3ee1b1fae2,True,PROVIDER_INVALID_ADJUSTED_OHLC
