ticker,iteration,requested_start,requested_end,provider_authority_id,status,row_count,first_date,last_date,elapsed_ms,error_type,error_message_sanitized
000610,1,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,12,2010-01-04,2010-01-19,62.0,,
000610,2,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,12,2010-01-04,2010-01-19,62.66,,
000610,3,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,12,2010-01-04,2010-01-19,67.53,,
015940,1,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,9,2010-01-04,2010-01-14,63.03,,
015940,2,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,9,2010-01-04,2010-01-14,78.25,,
015940,3,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,9,2010-01-04,2010-01-14,69.73,,
037510,1,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,16,2010-01-04,2010-01-25,57.88,,
037510,2,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,16,2010-01-04,2010-01-25,60.86,,
037510,3,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,16,2010-01-04,2010-01-25,62.28,,
045820,1,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,9,2010-01-04,2010-01-14,27.48,,
045820,2,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,9,2010-01-04,2010-01-14,23.6,,
045820,3,2010-01-04,2026-08-21,PYKRX_ADJUSTED_V1_PUBLIC_CONTRACT,SUCCESS,9,2010-01-04,2010-01-14,26.1,,
