ticker,isu_cd,market,currently_common,historical_only,requested_start,requested_end,attempt_count,retry_count,acquisition_status,error_type,error_message_sanitized,root_cause_category,classification_reason,probe_required
000100,KR7000100008,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-16 00:00:00'), Timestamp('2014-06-18 00:00:00'), Timestamp('2014-07-14 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
000230,KR7000230003,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-09-03 00:00:00'), Timestamp('2014-09-15 00:00:00'), Timestamp('2014-11-10 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
000520,KR7000520007,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-23 00:00:00'), Timestamp('2014-07-10 00:00:00'), Timestamp('2015-01-23 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
000610,KR7000610006,KOSPI,False,True,2010-01-04,2010-01-19,1,0,EMPTY,None,,DELISTED_SYMBOL_UNSUPPORTED,Delisted symbol returns 0 rows under frozen PyKRX contract (verified by probe attempts),True
001060,KR7001060003,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-12 00:00:00'), Timestamp('2014-06-13 00:00:00'), Timestamp('2014-06-30 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
001140,KR7001140003,KOSPI,False,True,2010-01-04,2026-01-26,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2013-11-08 00:00:00'), Timestamp('2013-11-20 00:00:00'), Timestamp('2013-11-28 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
001260,KR7001260009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-24 00:00:00'), Timestamp('2014-06-27 00:00:00'), Timestamp('2014-06-30 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
001290,KR7001290006,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"PyKRX adjusted=True 조회 실패 (ticker=001290, start=2010-01-04, end=2026-08-21): HTTPConnectionPool(host='fchart.stock.naver",PROVIDER_NETWORK_ERROR,Upstream socket connection / network failure during retrieval,True
001340,KR7001340009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-19 00:00:00'), Timestamp('2014-07-02 00:00:00'), Timestamp('2014-07-08 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
001360,KR7001360007,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2015-04-02 00:00:00'), Timestamp('2015-11-30 00:00:00'), Timestamp('2016-06-07 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
001440,KR7001440007,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-26 00:00:00'), Timestamp('2014-07-17 00:00:00'), Timestamp('2014-08-13 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
001790,KR7001790005,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-07-11 00:00:00'), Timestamp('2014-09-24 00:00:00')]",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002240,KR7002240000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-11 00:00:00'), Timestamp('2014-06-12 00:00:00'), Timestamp('2014-06-20 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002420,KR7002420008,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-09 00:00:00'), Timestamp('2014-06-17 00:00:00'), Timestamp('2014-06-18 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002530,KR7002530004,KOSPI,False,True,2010-01-04,2014-04-24,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2011-01-03 00:00:00'), Timestamp('2011-01-13 00:00:00')]",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
002710,KR7002710002,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-13 00:00:00'), Timestamp('2014-06-20 00:00:00'), Timestamp('2014-07-22 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002720,KR7002720001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-11 00:00:00'), Timestamp('2014-06-17 00:00:00'), Timestamp('2014-07-01 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002810,KR7002810000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-07-16 00:00:00'), Timestamp('2014-09-05 00:00:00'), Timestamp('2014-10-23 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002820,KR7002820009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-10-22 00:00:00')],CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002840,KR7002840007,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-09 00:00:00'), Timestamp('2014-07-02 00:00:00'), Timestamp('2014-07-07 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002900,KR7002900009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-30 00:00:00'), Timestamp('2014-07-02 00:00:00'), Timestamp('2014-08-11 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003000,KR7003000007,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-11 00:00:00'), Timestamp('2014-06-18 00:00:00'), Timestamp('2014-10-08 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003060,KR7003060001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-08-08 00:00:00'), Timestamp('2014-09-11 00:00:00'), Timestamp('2014-11-11 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003220,KR7003220001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-09 00:00:00'), Timestamp('2014-06-11 00:00:00'), Timestamp('2014-06-27 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003280,KR7003280005,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-17 00:00:00'), Timestamp('2014-07-24 00:00:00'), Timestamp('2014-08-05 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003300,KR7003300001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-09-26 00:00:00'), Timestamp('2014-12-04 00:00:00'), Timestamp('2015-01-14 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
