ticker,isu_cd,market,first_common_date,last_common_date,numeric_or_alpha,currently_common,historical_only,requested_start,requested_end,authority_source,authority_quality,expected_observation_count,actual_source_row_count,matched_expected_count,missing_expected_count,unexpected_source_date_count,first_actual_date,last_actual_date,source_status,coverage_status,acquisition_status,attempt_count,retry_count,reused_without_network,stored_row_count,stored_start,stored_end,duplicate_count,invalid_ohlc_count,future_row_count,post_write_verified,error_type,error_message_sanitized,updated_at
000020,KR7000020008,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2996,2996,1099,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2996,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:01.563043+00:00
000040,KR7000040006,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2996,2996,1099,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2996,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:02.706260+00:00
000050,KR7000050005,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2983,2983,1112,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2983,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:03.218065+00:00
000060,KR7000060004,KOSPI,2010-01-04,2023-02-20,numeric,False,True,2010-01-04,2023-02-20,CANONICAL_HISTORICAL_SUSPENSION_AUTHORITY,INDEPENDENT_HISTORICAL_RAW_WITH_TRADABILITY,3213,2971,2971,242,0,2010-12-20,2023-01-27,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2971,2010-12-20,2023-01-27,0,0,0,True,,,2026-08-27T21:11:03.767197+00:00
000070,KR7000070003,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2996,2996,1099,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2996,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:04.567162+00:00
000080,KR7000080002,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2996,2996,1099,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2996,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:05.125818+00:00
000100,KR7000100008,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,0,0,4095,0,,,ERROR,PARTIAL_EXPECTED_COVERAGE,ERROR,2,1,False,0,,,0,0,0,False,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-16 00:00:00'), Timestamp('2014-06-18 00:00:00'), Timestamp('2014-07-14 00:00:00'), Timestamp('2014-07-17 00:00:00'), Timestamp('2014-07-29 00:00:00'), Timestamp('2014-08-06 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-19 00:00:00'), Timestamp('2014-10-16 00:00:00'), Timestamp('2014-11-13 00:00:00'), Timestamp('2014-11-19 00:00:00'), Timestamp('2014-12-18 00:00:00'), Timestamp('2015-01-30 00:00:00'), Timestamp('2015-02-06 00:00:00'), Timestamp('2015-02-25 00:00:00'), Timestamp('2015-03-19 00:00:00'), Timestamp('2015-04-30 00:00:00'), Timestamp('2015-07-08 00:00:00'), Timestamp('2015-07-21 00:00:00'), Timestamp('2015-07-24 00:00:00'), Timestamp('2015-09-10 00:00:00'), Timestamp('2015-09-15 00:00:00'), Timestamp('2015-09-30 00:00:00'), Timestamp('2015-10-14 00:00:00'), Timestamp('2015-11-10 00:00:00'), Timestamp('2015-12-18 00:00:00'), Timestamp('2016-01-08 00:00:00'), Timestamp('2016-03-02 00:00:00'), Timestamp('2016-03-10 00:00:00'), Timestamp('2016-04-21 00:00:00'), Timestamp('2016-04-25 00:00:00'), Timestamp('2016-04-27 00:00:00'), Timestamp('2016-04-28 00:00:00'), Timestamp('2016-05-11 00:00:00'), Timestamp('2016-06-21 00:00:00'), Timestamp('2016-06-27 00:00:00'), Timestamp('2016-07-07 00:00:00'), Timestamp('2016-07-14 00:00:00'), Timestamp('2016-07-21 00:00:00'), Timestamp('2016-09-21 00:00:00'), Timestamp('2016-09-23 00:00:00'), Timestamp('2016-09-27 00:00:00'), Timestamp('2016-10-17 00:00:00'), Timestamp('2016-10-24 00:00:00'), Timestamp('2017-02-23 00:00:00'), Timestamp('2017-03-17 00:00:00'), Timestamp('2017-03-21 00:00:00'), Timestamp('2017-04-25 00:00:00'), Timestamp('2017-06-21 00:00:00'), Timestamp('2017-07-26 00:00:00'), Timestamp('2017-08-16 00:00:00'), Timestamp('2017-10-12 00:00:00'), Timestamp('2017-10-16 00:00:00'), Timestamp('2017-12-22 00:00:00'), Timestamp('2018-01-05 00:00:00'), Timestamp('2018-01-22 00:00:00'), Timestamp('2018-02-14 00:00:00'), Timestamp('2018-03-09 00:00:00'), Timestamp('2018-06-01 00:00:00'), Timestamp('2018-06-25 00:00:00'), Timestamp('2018-06-26 00:00:00'), Timestamp('2018-07-16 00:00:00'), Timestamp('2018-07-24 00:00:00'), Timestamp('2018-07-30 00:00:00'), Timestamp('2018-08-09 00:00:00'), Timestamp('2018-08-10 00:00:00'), Timestamp('2018-11-05 00:00:00'), Timestamp('2019-01-04 00:00:00'), Timestamp('2019-01-25 00:00:00'), Timestamp('2019-02-27 00:00:00'), Timestamp('2019-03-20 00:00:00'), Timestamp('2019-04-03 00:00:00'), Timestamp('2019-04-29 00:00:00'), Timestamp('2019-11-14 00:00:00'), Timestamp('2019-12-06 00:00:00'), Timestamp('2019-12-26 00:00:00'), Timestamp('2020-01-16 00:00:00'), Timestamp('2020-03-02 00:00:00'), Timestamp('2020-03-17 00:00:00'), Timestamp('2020-04-22 00:00:00'), Timestamp('2020-04-29 00:00:00'), Timestamp('2021-03-03 00:00:00'), Timestamp('2021-05-04 00:00:00'), Timestamp('2021-12-09 00:00:00'), Timestamp('2021-12-17 00:00:00')]",2026-08-27T21:11:06.477883+00:00
000120,KR7000120006,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2996,2996,1099,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2996,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:07.179387+00:00
000140,KR7000140004,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2996,2996,1099,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2996,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:08.064174+00:00
000150,KR7000150003,KOSPI,2010-01-04,2026-08-21,numeric,True,False,2010-01-04,2026-08-21,PIT_COMMON_INTERVAL_CALENDAR,PIT_CALENDAR_APPROXIMATION,4095,2983,2983,1112,0,2014-06-09,2026-08-21,SUCCESS,PARTIAL_EXPECTED_COVERAGE,PARTIAL,1,0,False,2983,2014-06-09,2026-08-21,0,0,0,True,,,2026-08-27T21:11:09.002690+00:00
