ticker,isu_cd,market,currently_common,historical_only,gap_classification,expected_count,actual_count,first_expected_date,last_expected_date,first_actual_date,last_actual_date,leading_missing_count,internal_missing_count,trailing_missing_count,actual_row_count_near_provider_cap,provider_cap_pattern_match,suspension_authority_match_count,internal_missing_count_not_explained_by_suspension,root_cause_category,root_cause_confidence,root_cause_evidence
000020,KR7000020008,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000040,KR7000040006,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000050,KR7000050005,KOSPI,True,False,MIXED_GAP,4095,2983,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,13,0,True,True,0,13,MIXED,MEDIUM,Cap-pattern leading gap with 13 unexplained internal and 0 trailing missing
000060,KR7000060004,KOSPI,False,True,LEADING_HISTORY_GAP,3213,2971,2010-01-04,2023-01-27,2010-12-20,2023-01-27,242,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2971) near cap starting at 2010-12-20 with 0 unexplained internal missing
000070,KR7000070003,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000080,KR7000080002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000120,KR7000120006,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000140,KR7000140004,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000150,KR7000150003,KOSPI,True,False,MIXED_GAP,4095,2983,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,13,0,True,True,0,13,MIXED,MEDIUM,Cap-pattern leading gap with 13 unexplained internal and 0 trailing missing
000180,KR7000180000,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000210,KR7000210005,KOSPI,True,False,MIXED_GAP,4095,2979,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,17,0,True,True,0,17,MIXED,MEDIUM,Cap-pattern leading gap with 17 unexplained internal and 0 trailing missing
000220,KR7000220004,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000240,KR7000240002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000250,KR7000250001,KOSDAQ,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000270,KR7000270009,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000300,KR7000300004,KOSPI,True,False,MIXED_GAP,4095,2849,2010-01-04,2026-08-21,2014-06-09,2026-01-14,1099,0,147,True,True,0,0,MIXED,MEDIUM,Cap-pattern leading gap with 0 unexplained internal and 147 trailing missing
000320,KR7000320002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000370,KR7000370007,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000390,KR7000390005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000400,KR7000400002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000420,KR7000420000,KOSPI,False,True,INTERNAL_GAP,1273,1040,2010-01-04,2015-02-23,2010-01-04,2015-02-23,0,233,0,False,False,0,233,PROVIDER_DATA_GAP,MEDIUM,Internal missing dates (233) with 233 dates unexplained by suspension authority
000430,KR7000430009,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000440,KR7000440008,KOSDAQ,True,False,MIXED_GAP,4095,2993,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,3,0,True,True,0,3,MIXED,MEDIUM,Cap-pattern leading gap with 3 unexplained internal and 0 trailing missing
000480,KR7000480004,KOSPI,True,False,MIXED_GAP,4095,2970,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,26,0,True,True,0,26,MIXED,MEDIUM,Cap-pattern leading gap with 26 unexplained internal and 0 trailing missing
000490,KR7000490003,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000500,KR7000500009,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000540,KR7000540005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000590,KR7000590000,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000640,KR7000640003,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000650,KR7000650002,KOSPI,True,False,MIXED_GAP,4095,2993,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,3,0,True,True,0,3,MIXED,MEDIUM,Cap-pattern leading gap with 3 unexplained internal and 0 trailing missing
000660,KR7000660001,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000670,KR7000670000,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000680,KR7000680009,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000700,KR7000700005,KOSPI,True,False,MIXED_GAP,4095,2973,2010-01-04,2026-08-21,2014-06-20,2026-08-21,1108,14,0,True,True,0,14,MIXED,MEDIUM,Cap-pattern leading gap with 14 unexplained internal and 0 trailing missing
000720,KR7000720003,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000760,KR7000760009,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000800,KR7000800003,KOSPI,False,True,INTERNAL_GAP,1309,1291,2010-01-04,2015-04-14,2010-01-04,2015-04-14,0,18,0,False,False,0,18,PROVIDER_DATA_GAP,MEDIUM,Internal missing dates (18) with 18 dates unexplained by suspension authority
000810,KR7000810002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
