ticker,name,group,probe_mechanism,authority_classification,request_shape,requested_start,requested_end,requested_count,requested_offset_or_page,response_status,raw_row_count,normalized_row_count,first_returned_date,last_returned_date,target_window_row_count,pre_2014_target_rows_returned,duplicate_count,invalid_ohlc_count,parse_error,network_error
005930,Samsung Electronics,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2010,2010-01-04,2010-12-31,3000,,EMPTY,0,0,,,0,0,0,0,,
005930,Samsung Electronics,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2011,2011-01-03,2011-12-30,3000,,EMPTY,0,0,,,0,0,0,0,,
005930,Samsung Electronics,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2012,2012-01-02,2012-12-28,3000,,EMPTY,0,0,,,0,0,0,0,,
005930,Samsung Electronics,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2013,2013-01-02,2013-12-30,3000,,EMPTY,0,0,,,0,0,0,0,,
005930,Samsung Electronics,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,LIFETIME_FULL,2010-01-04,2026-08-21,3000,,SUCCESS,2996,2996,2014-06-09,2026-08-21,2996,0,0,0,,
000660,SK Hynix,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2010,2010-01-04,2010-12-31,3000,,EMPTY,0,0,,,0,0,0,0,,
000660,SK Hynix,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2011,2011-01-03,2011-12-30,3000,,EMPTY,0,0,,,0,0,0,0,,
000660,SK Hynix,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2012,2012-01-02,2012-12-28,3000,,EMPTY,0,0,,,0,0,0,0,,
000660,SK Hynix,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2013,2013-01-02,2013-12-30,3000,,EMPTY,0,0,,,0,0,0,0,,
000660,SK Hynix,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,LIFETIME_FULL,2010-01-04,2026-08-21,3000,,SUCCESS,2996,2996,2014-06-09,2026-08-21,2996,0,0,0,,
005380,Hyundai Motor,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2010,2010-01-04,2010-12-31,3000,,EMPTY,0,0,,,0,0,0,0,,
005380,Hyundai Motor,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2011,2011-01-03,2011-12-30,3000,,EMPTY,0,0,,,0,0,0,0,,
005380,Hyundai Motor,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2012,2012-01-02,2012-12-28,3000,,EMPTY,0,0,,,0,0,0,0,,
005380,Hyundai Motor,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2013,2013-01-02,2013-12-30,3000,,EMPTY,0,0,,,0,0,0,0,,
005380,Hyundai Motor,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,LIFETIME_FULL,2010-01-04,2026-08-21,3000,,SUCCESS,2996,2996,2014-06-09,2026-08-21,2996,0,0,0,,
000270,Kia,LONG_COMMON_PARTIAL,PyKRX get_market_ohlcv_by_date(adjusted=True),FROZEN_PRODUCTION_AUTHORITY,TARGET_2010,2010-01-04,2010-12-31,3000,,EMPTY,0,0,,,0,0,0,0,,
