ticker,group,description,request_shape,requested_start,requested_end,returned_row_count,first_actual_date,last_actual_date,query_status,error_message,root_cause_implication
005930,A,"Samsung Electronics (Current Common, Long-listed, PARTIAL)",FULL_LIFETIME,20100104,20260821,2993,2014-06-09,2026-08-21,SUCCESS,,SOURCE_BOUND_AT_2014_06_09
005930,A,"Samsung Electronics (Current Common, Long-listed, PARTIAL)",OLD_HISTORICAL,20100104,20121231,0,,,EMPTY,,TRUE_SOURCE_GAP_PRE_2014
005930,A,"Samsung Electronics (Current Common, Long-listed, PARTIAL)",MID_HISTORICAL,20120101,20141231,140,2014-06-09,2014-12-30,SUCCESS,,SOURCE_BOUND_AT_2014_06_09
005930,A,"Samsung Electronics (Current Common, Long-listed, PARTIAL)",RECENT_CONTROL,20240101,20260821,642,2024-01-02,2026-08-21,SUCCESS,,NORMAL_RETRIEVAL
005930,A,"Samsung Electronics (Current Common, Long-listed, PARTIAL)",CHUNK_2010_2011,20100104,20111231,0,,,EMPTY,,TRUE_SOURCE_GAP_PRE_2014
005930,A,"Samsung Electronics (Current Common, Long-listed, PARTIAL)",CHUNK_2012_2013,20120102,20131231,0,,,EMPTY,,TRUE_SOURCE_GAP_PRE_2014
005930,A,"Samsung Electronics (Current Common, Long-listed, PARTIAL)",CHUNK_2014_2015,20140102,20151231,388,2014-06-09,2015-12-30,SUCCESS,,SOURCE_BOUND_AT_2014_06_09
000660,A,"SK Hynix (Current Common, Long-listed, PARTIAL)",FULL_LIFETIME,20100104,20260821,2996,2014-06-09,2026-08-21,SUCCESS,,SOURCE_BOUND_AT_2014_06_09
000660,A,"SK Hynix (Current Common, Long-listed, PARTIAL)",OLD_HISTORICAL,20100104,20121231,0,,,EMPTY,,TRUE_SOURCE_GAP_PRE_2014
000660,A,"SK Hynix (Current Common, Long-listed, PARTIAL)",MID_HISTORICAL,20120101,20141231,140,2014-06-09,2014-12-30,SUCCESS,,SOURCE_BOUND_AT_2014_06_09
000660,A,"SK Hynix (Current Common, Long-listed, PARTIAL)",RECENT_CONTROL,20240101,20260821,642,2024-01-02,2026-08-21,SUCCESS,,NORMAL_RETRIEVAL
000660,A,"SK Hynix (Current Common, Long-listed, PARTIAL)",CHUNK_2010_2011,20100104,20111231,0,,,EMPTY,,TRUE_SOURCE_GAP_PRE_2014
000660,A,"SK Hynix (Current Common, Long-listed, PARTIAL)",CHUNK_2012_2013,20120102,20131231,0,,,EMPTY,,TRUE_SOURCE_GAP_PRE_2014
000660,A,"SK Hynix (Current Common, Long-listed, PARTIAL)",CHUNK_2014_2015,20140102,20151231,388,2014-06-09,2015-12-30,SUCCESS,,SOURCE_BOUND_AT_2014_06_09
