ticker,date,activity_class
000950,2012-10-04,ACTIVITY_PRESENT
001000,2014-05-07,ACTIVITY_PRESENT
001520,2013-09-30,ACTIVITY_PRESENT
002000,2013-11-05,ACTIVITY_PRESENT
002420,2011-09-22,ACTIVITY_PRESENT
003190,2013-03-21,ACTIVITY_PRESENT
003460,2012-06-27,ACTIVITY_PRESENT
004450,2011-08-24,ACTIVITY_PRESENT
004790,2013-03-21,ACTIVITY_PRESENT
008500,2011-05-24,ACTIVITY_PRESENT
008500,2011-06-30,ACTIVITY_PRESENT
008720,2013-02-26,ACTIVITY_PRESENT
008830,2015-01-05,ACTIVITY_PRESENT
009380,2012-06-21,ACTIVITY_PRESENT
010460,2012-05-17,ACTIVITY_PRESENT
010460,2012-08-08,ACTIVITY_PRESENT
011720,2013-03-27,ACTIVITY_PRESENT
012170,2013-05-21,ACTIVITY_PRESENT
014300,2012-05-18,ACTIVITY_PRESENT
015540,2016-03-25,ACTIVITY_PRESENT
016380,2016-02-16,ACTIVITY_PRESENT
016800,2012-10-22,ACTIVITY_PRESENT
030790,2013-09-30,ACTIVITY_PRESENT
033550,2013-03-22,ACTIVITY_PRESENT
033790,2020-01-28,ACTIVITY_PRESENT
034600,2011-05-11,ACTIVITY_PRESENT
037630,2013-03-27,ACTIVITY_PRESENT
040670,2013-03-22,ACTIVITY_PRESENT
047810,2017-10-11,ACTIVITY_PRESENT
049000,2013-06-12,ACTIVITY_PRESENT
051710,2013-03-21,ACTIVITY_PRESENT
052350,2011-12-15,ACTIVITY_PRESENT
053870,2015-08-17,ACTIVITY_PRESENT
056340,2014-05-08,ACTIVITY_PRESENT
056730,2019-02-11,ACTIVITY_PRESENT
060570,2017-07-17,ACTIVITY_PRESENT
066690,2011-11-11,ACTIVITY_PRESENT
078000,2011-10-11,ACTIVITY_PRESENT
089530,2023-04-24,ACTIVITY_PRESENT
099660,2011-09-06,ACTIVITY_PRESENT
110310,2013-03-28,ACTIVITY_PRESENT
122350,2012-12-05,ACTIVITY_PRESENT
141070,2021-02-01,ACTIVITY_PRESENT
145210,2025-03-21,ACTIVITY_PRESENT
215090,2022-02-09,ACTIVITY_PRESENT
