ticker,first_common_date,last_common_date,lifecycle_interval_count,current_expected_count,candidate_expected_count,baseline_expected_count,raw_observed_count,silent_missing_count,current_nontradable_count,candidate_confirmed_nontrading_count,potential_false_nontradable_count,added_back_date_count,inside_common_lifecycle,added_back_dates_sha256
000020,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000030,2014-11-19,2019-02-12,1,1015,1015,1037,1037,0,22,22,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000040,2010-01-04,2026-08-21,1,4040,4040,4095,4095,0,55,55,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000050,2010-01-04,2026-08-21,1,4082,4082,4095,4095,0,13,13,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000060,2010-01-04,2023-02-20,1,3213,3213,3242,3242,0,29,29,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000070,2010-01-04,2026-08-21,1,4050,4050,4095,4095,0,45,45,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000080,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000100,2010-01-04,2026-08-21,1,4092,4092,4095,4095,0,3,3,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000120,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000140,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000150,2010-01-04,2026-08-21,1,4082,4082,4095,4095,0,13,13,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000180,2010-01-04,2026-08-21,1,4066,4066,4095,4095,0,29,29,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0001A0,2026-01-30,2026-08-21,1,136,136,136,136,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000210,2010-01-04,2026-08-21,1,4078,4078,4095,4095,0,17,17,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000220,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000230,2010-01-04,2026-08-21,1,4059,4059,4095,4095,0,36,36,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000240,2010-01-04,2026-08-21,1,4072,4072,4095,4095,0,23,23,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000250,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000270,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000300,2010-01-04,2026-08-21,1,3463,3463,4095,4095,0,632,632,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000320,2010-01-04,2026-08-21,1,4093,4093,4095,4095,0,2,2,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000360,2010-01-04,2015-04-14,1,1239,1239,1309,1309,0,70,70,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000370,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000390,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000400,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000420,2010-01-04,2015-02-23,1,1040,1040,1273,1273,0,233,233,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000430,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000440,2010-01-04,2026-08-21,1,4080,4080,4095,4095,0,15,15,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000470,2010-01-04,2012-07-13,1,607,607,632,632,0,25,25,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000480,2010-01-04,2026-08-21,1,4069,4069,4095,4095,0,26,26,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000490,2010-01-04,2026-08-21,1,4079,4079,4095,4095,0,16,16,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0004V0,2026-01-14,2026-08-21,1,148,148,148,148,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000500,2010-01-04,2026-08-21,1,4093,4093,4095,4095,0,2,2,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000520,2010-01-04,2026-08-21,1,4092,4092,4095,4095,0,3,3,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000540,2010-01-04,2026-08-21,1,4094,4094,4095,4095,0,1,1,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000590,2010-01-04,2026-08-21,1,4072,4072,4095,4095,0,23,23,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000610,2010-01-04,2010-01-19,1,0,0,12,12,0,12,12,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000640,2010-01-04,2026-08-21,1,4055,4055,4095,4095,0,40,40,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000650,2010-01-04,2026-08-21,1,4073,4073,4095,4095,0,22,22,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000660,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000670,2010-01-04,2026-08-21,1,4086,4086,4095,4095,0,9,9,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000680,2010-01-04,2026-08-21,1,4076,4076,4095,4095,0,19,19,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000700,2010-01-04,2026-08-21,1,4067,4067,4095,4095,0,28,28,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000720,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000760,2010-01-04,2026-08-21,1,4082,4082,4095,4095,0,13,13,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0007C0,2025-12-16,2026-08-21,1,166,166,166,166,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0007J0,2026-04-02,2026-08-21,1,96,96,96,96,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000800,2010-01-04,2015-04-14,1,1290,1290,1309,1309,0,19,19,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000810,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000830,2010-01-04,2015-09-14,1,1401,1401,1414,1414,0,13,13,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000850,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000860,2010-01-04,2026-08-21,1,4086,4086,4095,4095,0,9,9,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
000880,2010-01-04,2026-08-21,1,4078,4078,4095,4095,0,17,17,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
