ticker,date,market,open,high,low,close,volume,trading_value,raw_shape,activity_class,legacy_class_label_qualified,inside_frozen_population,inside_common_lifecycle,current_raw_predicate,revised_confirmed_nontrading_predicate,potential_false_nontradable
007595,2010-02-12,KOSPI,0,0,0,2169000,1,2169000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
003945,2010-03-11,KOSPI,0,0,0,27200,1,27200,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
003465,2010-03-16,KOSPI,0,0,0,12850,1,12850,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001689,2010-07-27,KOSPI,0,0,0,6000,2,11600,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001689,2010-08-02,KOSPI,0,0,0,6140,2,12280,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001755,2010-08-03,KOSPI,0,0,0,8100,1,8100,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090990,2010-10-04,KOSPI,0,0,0,4450,2200,9790000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
016575,2010-10-13,KOSPI,0,0,0,29950,1,29950,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
093410,2010-11-08,KOSPI,0,0,0,2900,1630,4727000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
003417,2010-12-22,KOSPI,0,0,0,30450,1,30700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
093400,2011-01-11,KOSPI,0,0,0,3275,91,298935,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001067,2011-02-09,KOSPI,0,0,0,18800,1,18950,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
000327,2011-02-14,KOSPI,0,0,0,8740,100,882000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
105380,2011-05-06,KOSPI,0,0,0,476,14652,6974352,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
034600,2011-05-11,KOSDAQ,0,0,0,180,71,12780,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
123410,2011-05-18,KOSDAQ,0,0,0,3695,150,554250,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,False,True,False,True
008500,2011-05-24,KOSPI,0,0,0,13850,30,423000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
016575,2011-06-22,KOSPI,0,0,0,29900,1,29950,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
008500,2011-06-30,KOSPI,0,0,0,13000,40,520000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
004450,2011-08-24,KOSPI,0,0,0,19050,1,19050,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
