ticker,name,market,asset_type,requested_as_of,actual_input_min_date,actual_input_max_date,repository_v2_used,repository_v2_provenance_present,injection_mode,production_wiring_changed,persistent_production_wiring,fallback_or_bypass_used,legacy_etf_promotion_used,prior_output_reused,report_generated,report_status,report_authority,runtime_seconds,error,effective_as_of,data_quality_status,provenance_network_requests
0115D0,KODEX 조선TOP10,KOSPI,ETF,2026-08-14,2025-10-28,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,DATA_UNAVAILABLE,Repository V2 adjusted OHLC + raw KRX facts,0.8355,,2026-08-14,INSUFFICIENT_LOOKBACK,0
069500,KODEX 200,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1554,,2026-08-14,OK,0
091160,KODEX 반도체,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1348,,2026-08-14,OK,0
091170,KODEX 은행,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1939,,2026-08-14,OK,0
091180,KODEX 자동차,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1359,,2026-08-14,OK,0
102960,KODEX 기계장비,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1798,,2026-08-14,OK,0
102970,KODEX 증권,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.2068,,2026-08-14,OK,0
117460,KODEX 에너지화학,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1353,,2026-08-14,OK,0
117680,KODEX 철강,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1954,,2026-08-14,OK,0
117700,KODEX 건설,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1685,,2026-08-14,OK,0
140700,KODEX 보험,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1572,,2026-08-14,OK,0
140710,KODEX 운송,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.2049,,2026-08-14,OK,0
229200,KODEX 코스닥150,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1996,,2026-08-14,OK,0
244580,KODEX 바이오,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1821,,2026-08-14,OK,0
266410,KODEX 필수소비재,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.199,,2026-08-14,OK,0
300950,KODEX 게임산업,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.1866,,2026-08-14,OK,0
305720,KODEX 2차전지산업,KOSPI,ETF,2026-08-14,2023-01-02,2026-08-14,True,True,TEST_ONLY_PROCESS_LOCAL_PARQUETCACHE_INJECTION,False,False,False,False,False,True,PARTIAL,Repository V2 adjusted OHLC + raw KRX facts,8.2225,,2026-08-14,OK,0
