ticker,market,effective_date,all_sector_codes,all_sector_names,canonical_sector_code,canonical_sector_name,classification,reason
000020,KOSPI,2026-08-14,1009|1027,제약|제조,1009,제약,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000040,KOSPI,2026-08-14,1015|1027,운송장비·부품|제조,1015,운송장비·부품,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000050,KOSPI,2026-08-14,1016,유통,1016,유통,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000070,KOSPI,2026-08-14,1021,금융,1021,금융,AGGREGATE_ONLY,NO_LEAF_MEMBERSHIP; RETAIN_SOLE_AGGREGATE
000080,KOSPI,2026-08-14,1005|1027,음식료·담배|제조,1005,음식료·담배,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000100,KOSPI,2026-08-14,1009|1027,제약|제조,1009,제약,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000120,KOSPI,2026-08-14,1019,운송·창고,1019,운송·창고,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000140,KOSPI,2026-08-14,1021,금융,1021,금융,AGGREGATE_ONLY,NO_LEAF_MEMBERSHIP; RETAIN_SOLE_AGGREGATE
000150,KOSPI,2026-08-14,1013|1027,전기전자|제조,1013,전기전자,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000180,KOSPI,2026-08-14,1026,일반서비스,1026,일반서비스,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000210,KOSPI,2026-08-14,1008|1027,화학|제조,1008,화학,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000220,KOSPI,2026-08-14,1009|1027,제약|제조,1009,제약,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000230,KOSPI,2026-08-14,1009|1027,제약|제조,1009,제약,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000240,KOSPI,2026-08-14,1021,금융,1021,금융,AGGREGATE_ONLY,NO_LEAF_MEMBERSHIP; RETAIN_SOLE_AGGREGATE
000250,KOSDAQ,2026-08-14,2024|2066,제조|제약,2066,제약,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000270,KOSPI,2026-08-14,1015|1027,운송장비·부품|제조,1015,운송장비·부품,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000300,KOSPI,2026-08-14,1015|1027,운송장비·부품|제조,1015,운송장비·부품,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000320,KOSPI,2026-08-14,1021,금융,1021,금융,AGGREGATE_ONLY,NO_LEAF_MEMBERSHIP; RETAIN_SOLE_AGGREGATE
000370,KOSPI,2026-08-14,1021|1025,금융|보험,1025,보험,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000390,KOSPI,2026-08-14,1008|1027,화학|제조,1008,화학,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000400,KOSPI,2026-08-14,1021|1025,금융|보험,1025,보험,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000430,KOSPI,2026-08-14,1015|1027,운송장비·부품|제조,1015,운송장비·부품,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000440,KOSDAQ,2026-08-14,2027,유통,2027,유통,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000480,KOSPI,2026-08-14,1010|1027,비금속|제조,1010,비금속,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000490,KOSPI,2026-08-14,1012|1027,기계·장비|제조,1012,기계·장비,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
0004V0,KOSDAQ,2026-08-14,2024|2068,제조|금속,2068,금속,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
0004Y0,KOSDAQ,2026-08-14,2031,금융,2031,금융,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000500,KOSPI,2026-08-14,1013|1027,전기전자|제조,1013,전기전자,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000520,KOSPI,2026-08-14,1009|1027,제약|제조,1009,제약,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000540,KOSPI,2026-08-14,1021|1025,금융|보험,1025,보험,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000590,KOSPI,2026-08-14,1021,금융,1021,금융,AGGREGATE_ONLY,NO_LEAF_MEMBERSHIP; RETAIN_SOLE_AGGREGATE
000640,KOSPI,2026-08-14,1021,금융,1021,금융,AGGREGATE_ONLY,NO_LEAF_MEMBERSHIP; RETAIN_SOLE_AGGREGATE
000650,KOSPI,2026-08-14,1019,운송·창고,1019,운송·창고,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000660,KOSPI,2026-08-14,1013|1027,전기전자|제조,1013,전기전자,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000670,KOSPI,2026-08-14,1011|1027,금속|제조,1011,금속,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000680,KOSPI,2026-08-14,1016,유통,1016,유통,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000700,KOSPI,2026-08-14,1026,일반서비스,1026,일반서비스,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000720,KOSPI,2026-08-14,1018,건설,1018,건설,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000760,KOSPI,2026-08-14,1016,유통,1016,유통,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
0007C0,KOSDAQ,2026-08-14,2118,IT 서비스,2118,IT 서비스,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
0007J0,KOSDAQ,2026-08-14,2012,일반서비스,2012,일반서비스,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000810,KOSPI,2026-08-14,1021|1025,금융|보험,1025,보험,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000850,KOSPI,2026-08-14,1012|1027,기계·장비|제조,1012,기계·장비,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000860,KOSPI,2026-08-14,1008|1027,화학|제조,1008,화학,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000880,KOSPI,2026-08-14,1008|1027,화학|제조,1008,화학,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000890,KOSPI,2026-08-14,1005|1027,음식료·담배|제조,1005,음식료·담배,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
0008Z0,KOSDAQ,2026-08-14,2024|2072,제조|전기전자,2072,전기전자,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000910,KOSPI,2026-08-14,1010|1027,비금속|제조,1010,비금속,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
000950,KOSPI,2026-08-14,1006|1027,섬유·의류|제조,1006,섬유·의류,CANONICAL_UNIQUE,MOST_SPECIFIC_VALID_NATIVE_SECTOR
