sector_a,sector_b,market,intersection_count,relation
1005,1006,KOSPI,0,DISJOINT
1005,1007,KOSPI,0,DISJOINT
1005,1008,KOSPI,0,DISJOINT
1005,1009,KOSPI,0,DISJOINT
1005,1010,KOSPI,0,DISJOINT
1005,1011,KOSPI,0,DISJOINT
1005,1012,KOSPI,0,DISJOINT
1005,1013,KOSPI,0,DISJOINT
1005,1014,KOSPI,0,DISJOINT
1005,1015,KOSPI,0,DISJOINT
1005,1016,KOSPI,0,DISJOINT
1005,1017,KOSPI,0,DISJOINT
1005,1018,KOSPI,0,DISJOINT
1005,1019,KOSPI,0,DISJOINT
1005,1020,KOSPI,0,DISJOINT
1005,1021,KOSPI,0,DISJOINT
1005,1024,KOSPI,0,DISJOINT
1005,1025,KOSPI,0,DISJOINT
1005,1026,KOSPI,0,DISJOINT
1005,1027,KOSPI,37,EXACT_SUBSET
1005,1045,KOSPI,0,DISJOINT
1005,1046,KOSPI,0,DISJOINT
1005,1047,KOSPI,0,DISJOINT
1006,1007,KOSPI,0,DISJOINT
1006,1008,KOSPI,0,DISJOINT
1006,1009,KOSPI,0,DISJOINT
1006,1010,KOSPI,0,DISJOINT
1006,1011,KOSPI,0,DISJOINT
1006,1012,KOSPI,0,DISJOINT
1006,1013,KOSPI,0,DISJOINT
1006,1014,KOSPI,0,DISJOINT
1006,1015,KOSPI,0,DISJOINT
1006,1016,KOSPI,0,DISJOINT
1006,1017,KOSPI,0,DISJOINT
1006,1018,KOSPI,0,DISJOINT
1006,1019,KOSPI,0,DISJOINT
1006,1020,KOSPI,0,DISJOINT
1006,1021,KOSPI,0,DISJOINT
1006,1024,KOSPI,0,DISJOINT
1006,1025,KOSPI,0,DISJOINT
1006,1026,KOSPI,0,DISJOINT
1006,1027,KOSPI,27,EXACT_SUBSET
1006,1045,KOSPI,0,DISJOINT
1006,1046,KOSPI,0,DISJOINT
1006,1047,KOSPI,0,DISJOINT
1007,1008,KOSPI,0,DISJOINT
1007,1009,KOSPI,0,DISJOINT
1007,1010,KOSPI,0,DISJOINT
1007,1011,KOSPI,0,DISJOINT
1007,1012,KOSPI,0,DISJOINT
1007,1013,KOSPI,0,DISJOINT
1007,1014,KOSPI,0,DISJOINT
1007,1015,KOSPI,0,DISJOINT
1007,1016,KOSPI,0,DISJOINT
1007,1017,KOSPI,0,DISJOINT
1007,1018,KOSPI,0,DISJOINT
1007,1019,KOSPI,0,DISJOINT
1007,1020,KOSPI,0,DISJOINT
1007,1021,KOSPI,0,DISJOINT
1007,1024,KOSPI,0,DISJOINT
1007,1025,KOSPI,0,DISJOINT
1007,1026,KOSPI,0,DISJOINT
1007,1027,KOSPI,18,EXACT_SUBSET
1007,1045,KOSPI,0,DISJOINT
1007,1046,KOSPI,0,DISJOINT
1007,1047,KOSPI,0,DISJOINT
1008,1009,KOSPI,0,DISJOINT
1008,1010,KOSPI,0,DISJOINT
1008,1011,KOSPI,0,DISJOINT
1008,1012,KOSPI,0,DISJOINT
1008,1013,KOSPI,0,DISJOINT
1008,1014,KOSPI,0,DISJOINT
1008,1015,KOSPI,0,DISJOINT
1008,1016,KOSPI,0,DISJOINT
1008,1017,KOSPI,0,DISJOINT
1008,1018,KOSPI,0,DISJOINT
1008,1019,KOSPI,0,DISJOINT
1008,1020,KOSPI,0,DISJOINT
1008,1021,KOSPI,0,DISJOINT
1008,1024,KOSPI,0,DISJOINT
1008,1025,KOSPI,0,DISJOINT
1008,1026,KOSPI,0,DISJOINT
1008,1027,KOSPI,103,EXACT_SUBSET
1008,1045,KOSPI,0,DISJOINT
1008,1046,KOSPI,0,DISJOINT
1008,1047,KOSPI,0,DISJOINT
1009,1010,KOSPI,0,DISJOINT
1009,1011,KOSPI,0,DISJOINT
1009,1012,KOSPI,0,DISJOINT
1009,1013,KOSPI,0,DISJOINT
1009,1014,KOSPI,0,DISJOINT
1009,1015,KOSPI,0,DISJOINT
1009,1016,KOSPI,0,DISJOINT
1009,1017,KOSPI,0,DISJOINT
1009,1018,KOSPI,0,DISJOINT
