sector_code,sector_name,market,constituent_count,parent_count,child_count,exclusive_count
1005,음식료·담배,KOSPI,37,1,0,0
1006,섬유·의류,KOSPI,27,1,0,0
1007,종이·목재,KOSPI,18,1,0,0
1008,화학,KOSPI,103,1,0,0
1009,제약,KOSPI,49,1,0,0
1010,비금속,KOSPI,21,1,0,0
1011,금속,KOSPI,60,1,0,0
1012,기계·장비,KOSPI,32,1,0,0
1013,전기전자,KOSPI,69,1,0,0
1014,의료·정밀기기,KOSPI,8,1,0,0
1015,운송장비·부품,KOSPI,61,1,0,0
1016,유통,KOSPI,62,0,0,62
1017,전기·가스,KOSPI,10,0,0,10
1018,건설,KOSPI,28,0,0,28
1019,운송·창고,KOSPI,24,0,0,24
1020,통신,KOSPI,5,0,0,5
1021,금융,KOSPI,110,0,2,81
1024,증권,KOSPI,18,1,0,0
1025,보험,KOSPI,11,1,0,0
1026,일반서비스,KOSPI,32,0,0,32
1027,제조,KOSPI,493,0,11,8
1045,부동산,KOSPI,24,0,0,24
1046,IT 서비스,KOSPI,25,0,0,25
1047,오락·문화,KOSPI,13,0,0,13
2012,일반서비스,KOSDAQ,144,0,0,144
2024,제조,KOSDAQ,1117,0,13,0
2026,건설,KOSDAQ,28,0,0,28
2027,유통,KOSDAQ,101,0,0,101
2029,운송·창고,KOSDAQ,4,0,0,4
2031,금융,KOSDAQ,105,0,0,105
2037,오락·문화,KOSDAQ,56,0,0,56
2056,음식료·담배,KOSDAQ,48,1,0,0
2058,섬유·의류,KOSDAQ,22,1,0,0
2062,종이·목재,KOSDAQ,9,1,0,0
2063,출판·매체복제,KOSDAQ,2,1,0,0
2065,화학,KOSDAQ,126,1,0,0
2066,제약,KOSDAQ,130,1,0,0
2067,비금속,KOSDAQ,15,1,0,0
2068,금속,KOSDAQ,75,1,0,0
2070,기계·장비,KOSDAQ,183,1,0,0
2072,전기전자,KOSDAQ,316,1,0,0
2074,의료·정밀기기,KOSDAQ,99,1,0,0
2075,운송장비·부품,KOSDAQ,77,1,0,0
2077,기타제조,KOSDAQ,15,1,0,0
2114,통신,KOSDAQ,9,0,0,9
2118,IT 서비스,KOSDAQ,227,0,0,227
