ticker,sequences,count
000070,[1],1
000120,[1],1
000150,"[1, 2, 3, 4, 5]",5
000210,"[1, 2, 3]",3
000240,[1],1
000270,"[1, 2, 3, 4]",4
000370,[1],1
000430,[1],1
000490,[1],1
000520,[1],1
000640,"[1, 2]",2
000660,"[1, 2, 3, 4, 5]",5
000670,"[1, 2]",2
000700,[1],1
000720,"[1, 2, 3]",3
000810,"[1, 2, 3]",3
000990,[1],1
001040,"[1, 2, 3]",3
001120,"[1, 2]",2
001200,"[1, 2]",2
001230,[1],1
001250,"[1, 2]",2
001290,[1],1
001390,[1],1
001450,[1],1
001500,[1],1
001510,[1],1
001540,"[1, 2]",2
001680,[1],1
001720,[1],1
001740,"[1, 2, 3, 4, 5]",5
001800,[1],1
001820,[1],1
001940,[1],1
002230,[1],1
002240,[1],1
002310,[1],1
002320,[1],1
002350,[1],1
002380,[1],1
002790,"[1, 2]",2
002810,[1],1
002840,[1],1
002960,[1],1
002990,"[1, 2]",2
003000,"[1, 2]",2
003010,[1],1
003030,[1],1
003070,[1],1
003090,"[1, 2, 3]",3
003160,[1],1
003200,[1],1
003230,"[1, 2, 3, 4, 5]",5
003240,[1],1
003300,[1],1
003470,[1],1
003490,"[1, 2, 3]",3
003530,[1],1
003540,[1],1
003550,[1],1
003650,[1],1
003670,[1],1
003690,[1],1
003720,"[1, 2]",2
004000,[1],1
004020,"[1, 2]",2
004090,[1],1
004150,[1],1
004170,"[1, 2, 3]",3
004370,"[1, 2, 3, 4]",4
004690,[1],1
004710,[1],1
004800,[1],1
004960,[1],1
004990,[1],1
005010,[1],1
005180,"[1, 2, 3, 4]",4
005290,[1],1
005300,[1],1
005380,"[1, 2, 3, 4]",4
005430,[1],1
005490,"[1, 2, 3, 4]",4
005500,[1],1
005680,[1],1
005690,[1],1
005830,"[1, 2, 3]",3
005850,"[1, 2, 3, 4, 5]",5
005930,"[1, 2, 3, 4]",4
005940,"[1, 2, 3, 4]",4
005960,"[1, 2]",2
006040,[1],1
006120,[1],1
006260,"[1, 2, 3]",3
006280,"[1, 2]",2
006340,[1],1
006360,"[1, 2, 3, 4, 5]",5
006650,[1],1
006730,[1],1
006800,[1],1
006910,[1],1
007070,"[1, 2]",2
007160,"[1, 2]",2
007340,[1],1
007660,[1],1
007690,"[1, 2]",2
007810,[1],1
008060,[1],1
008730,[1],1
008770,[1],1
008930,"[1, 2]",2
009070,[1],1
009150,"[1, 2, 3]",3
009160,[1],1
009270,"[1, 2, 3]",3
009450,"[1, 2]",2
009470,[1],1
009830,"[1, 2, 3, 4, 5]",5
009970,[1],1
010130,"[1, 2, 3]",3
010820,"[1, 2]",2
010950,"[1, 2, 3, 4]",4
011070,"[1, 2, 3, 4]",4
011170,"[1, 2]",2
011200,[1],1
011210,"[1, 2, 3]",3
011560,[1],1
011690,[1],1
011760,"[1, 2]",2
011780,"[1, 2]",2
011790,"[1, 2]",2
011930,[1],1
012330,[1],1
012450,[1],1
012610,[1],1
012750,[1],1
013030,[1],1
013120,"[1, 2]",2
013520,[1],1
013570,[1],1
013700,[1],1
014620,[1],1
014680,[1],1
014830,"[1, 2]",2
014940,"[1, 2]",2
015230,[1],1
015360,[1],1
015750,[1],1
015760,[1],1
015860,[1],1
016360,[1],1
016610,[1],1
017670,"[1, 2]",2
017800,[1],1
017810,[1],1
017890,[1],1
017940,[1],1
017960,"[1, 2]",2
018260,"[1, 2]",2
018880,"[1, 2]",2
019180,[1],1
019210,[1],1
020000,[1],1
020150,[1],1
021080,[1],1
021240,"[1, 2]",2
