ticker,entry_signal_date,entry_execution_date,entry_open,baseline_trade_id,julia_trade_id,baseline_trade_sequence,julia_trade_sequence,identity_match,identity_mismatches
000070,2025-06-27,2025-06-30,57054.0,000070_01,000070_01,1,1.0,True,
000150,2022-11-25,2022-11-28,97300.0,000150_01,000150_01,1,1.0,True,
000240,2024-09-27,2024-09-30,17100.0,000240_01,000240_01,1,1.0,True,
000270,2023-03-31,2023-04-03,81500.0,000270_01,000270_01,1,1.0,True,
000370,2025-06-27,2025-06-30,5700.0,000370_01,000370_01,1,1.0,True,
000660,2022-03-04,2022-03-07,119000.0,000660_01,000660_01,1,1.0,True,
000810,2022-12-16,2022-12-19,212000.0,000810_01,000810_01,1,1.0,True,
000880,2023-06-02,2023-06-05,30850.0,000880_01,000880_01,1,1.0,True,
001040,2023-01-06,2023-01-09,81800.0,001040_01,001040_01,1,1.0,True,
001130,2025-06-27,2025-06-30,14940.0,001130_01,001130_01,1,1.0,True,
001500,2025-06-27,2025-06-30,8030.0,001500_01,001500_01,1,1.0,True,
001510,2025-06-27,2025-06-30,1399.0,001510_01,001510_01,1,1.0,True,
001680,2025-03-28,2025-03-31,23300.0,001680_01,001680_01,1,1.0,True,
001740,2023-06-02,2023-06-05,4665.0,001740_01,001740_01,1,1.0,True,
001800,2024-09-27,2024-09-30,16330.0,001800_01,001800_01,1,1.0,True,
002200,2024-12-27,2024-12-30,2750.0,002200_01,002200_01,1,1.0,True,
003230,2022-04-22,2022-04-25,104500.0,003230_01,003230_01,1,1.0,True,
003490,2025-01-31,2025-02-03,24450.0,003490_01,003490_01,1,1.0,True,
003550,2022-08-12,2022-08-16,85100.0,003550_01,003550_01,1,1.0,True,
003720,2024-09-27,2024-09-30,5450.0,003720_01,003720_01,1,1.0,True,
004140,2025-06-27,2025-06-30,2925.0,004140_01,004140_01,1,1.0,True,
004150,2025-06-27,2025-06-30,3220.0,004150_01,004150_01,1,1.0,True,
004170,2025-06-27,2025-06-30,191500.0,004170_01,004170_01,1,1.0,True,
004370,2022-02-04,2022-02-07,336500.0,004370_01,004370_01,1,1.0,True,
004370,2024-05-31,2024-06-03,467000.0,004370_03,004370_02,3,2.0,True,
004800,2025-06-27,2025-06-30,75000.0,004800_01,004800_01,1,1.0,True,
005180,2023-11-03,2023-11-06,55300.0,005180_01,005180_01,1,1.0,True,
005380,2023-04-07,2023-04-10,186000.0,005380_01,005380_01,1,1.0,True,
005490,2023-03-03,2023-03-06,334000.0,005490_01,005490_01,1,1.0,True,
005680,2025-06-27,2025-06-30,11300.0,005680_01,005680_01,1,1.0,True,
005710,2025-03-28,2025-03-31,7170.0,005710_01,005710_01,1,1.0,True,
005740,2025-06-27,2025-06-30,7790.0,005740_01,005740_01,1,1.0,True,
005830,2022-12-23,2022-12-26,67500.0,005830_01,005830_01,1,1.0,True,
005850,2024-06-07,2024-06-10,37050.0,005850_01,005850_01,1,1.0,True,
005930,2023-06-02,2023-06-05,72700.0,005930_01,005930_01,1,1.0,True,
005940,2024-02-23,2024-02-26,11600.0,005940_01,005940_01,1,1.0,True,
006260,2022-06-03,2022-06-07,68500.0,006260_01,006260_01,1,1.0,True,
006730,2025-06-27,2025-06-30,8930.0,006730_01,006730_01,1,1.0,True,
006800,2024-09-27,2024-09-30,8662.0,006800_01,006800_01,1,1.0,True,
007340,2025-06-27,2025-06-30,22350.0,007340_01,007340_01,1,1.0,True,
007660,2025-06-27,2025-06-30,50000.0,007660_01,007660_01,1,1.0,True,
008060,2024-12-27,2024-12-30,6620.0,008060_01,008060_01,1,1.0,True,
008930,2025-06-27,2025-06-30,44800.0,008930_01,008930_01,1,1.0,True,
009160,2025-06-27,2025-06-30,4940.0,009160_01,009160_01,1,1.0,True,
009450,2024-09-27,2024-09-30,73400.0,009450_01,009450_01,1,1.0,True,
009680,2025-03-28,2025-03-31,9030.0,009680_01,009680_01,1,1.0,True,
009830,2022-06-10,2022-06-13,47188.0,009830_01,009830_01,1,1.0,True,
009970,2025-03-28,2025-03-31,90600.0,009970_01,009970_01,1,1.0,True,
010130,2024-09-27,2024-09-30,706000.0,010130_01,010130_01,1,1.0,True,
010660,2025-06-27,2025-06-30,5210.0,010660_01,010660_01,1,1.0,True,
010950,2024-04-05,2024-04-08,83500.0,010950_01,010950_01,1,1.0,True,
011210,2022-09-02,2022-09-05,75300.0,011210_01,011210_01,1,1.0,True,
011560,2025-06-27,2025-06-30,12630.0,011560_01,011560_01,1,1.0,True,
011780,2024-09-27,2024-09-30,159600.0,011780_01,011780_01,1,1.0,True,
012330,2025-06-27,2025-06-30,291000.0,012330_01,012330_01,1,1.0,True,
012750,2024-12-27,2024-12-30,59900.0,012750_01,012750_01,1,1.0,True,
013890,2024-12-27,2024-12-30,23650.0,013890_01,013890_01,1,1.0,True,
014620,2024-12-27,2024-12-30,23350.0,014620_01,014620_01,1,1.0,True,
014830,2025-06-27,2025-06-30,89700.0,014830_01,014830_01,1,1.0,True,
015230,2025-06-27,2025-06-30,5680.0,015230_01,015230_01,1,1.0,True,
015760,2024-02-02,2024-02-05,20400.0,015760_01,015760_01,1,1.0,True,
015860,2025-06-27,2025-06-30,5190.0,015860_01,015860_01,1,1.0,True,
016090,2024-12-27,2024-12-30,2280.0,016090_01,016090_01,1,1.0,True,
017670,2023-10-06,2023-10-10,48950.0,017670_01,017670_01,1,1.0,True,
017940,2025-06-27,2025-06-30,78600.0,017940_01,017940_01,1,1.0,True,
017960,2025-01-31,2025-02-03,13630.0,017960_01,017960_01,1,1.0,True,
018260,2023-09-01,2023-09-04,142000.0,018260_01,018260_01,1,1.0,True,
018310,2024-09-27,2024-09-30,26650.0,018310_01,018310_01,1,1.0,True,
019210,2025-06-27,2025-06-30,6030.0,019210_01,019210_01,1,1.0,True,
021240,2024-12-27,2024-12-30,68500.0,021240_01,021240_01,1,1.0,True,
023160,2025-01-31,2025-02-03,21850.0,023160_01,023160_01,1,1.0,True,
023530,2022-06-03,2022-06-07,106500.0,023530_01,023530_01,1,1.0,True,
023600,2025-06-27,2025-06-30,9970.0,023600_01,023600_01,1,1.0,True,
023760,2025-06-27,2025-06-30,716.0,023760_01,023760_01,1,1.0,True,
023910,2025-06-27,2025-06-30,29850.0,023910_01,023910_01,1,1.0,True,
024110,2023-09-01,2023-09-04,10710.0,024110_01,024110_01,1,1.0,True,
025860,2025-06-27,2025-06-30,7770.0,025860_01,025860_01,1,1.0,True,
027410,2025-06-27,2025-06-30,4170.0,027410_01,027410_01,1,1.0,True,
028050,2023-02-17,2023-02-20,28250.0,028050_01,028050_01,1,1.0,True,
028260,2022-07-01,2022-07-04,123000.0,028260_01,028260_01,1,1.0,True,
029460,2025-06-27,2025-06-30,23650.0,029460_01,029460_01,1,1.0,True,
029780,2025-06-27,2025-06-30,50000.0,029780_01,029780_01,1,1.0,True,
030000,2025-06-27,2025-06-30,20250.0,030000_01,030000_01,1,1.0,True,
030190,2024-12-27,2024-12-30,12420.0,030190_01,030190_01,1,1.0,True,
030200,2023-10-06,2023-10-10,33450.0,030200_01,030200_01,1,1.0,True,
032350,2025-06-27,2025-06-30,17010.0,032350_01,032350_01,1,1.0,True,
032830,2022-05-27,2022-05-30,69500.0,032830_01,032830_01,1,1.0,True,
033780,2024-09-27,2024-09-30,110400.0,033780_01,033780_01,1,1.0,True,
034230,2025-06-27,2025-06-30,15000.0,034230_01,034230_01,1,1.0,True,
034310,2025-06-27,2025-06-30,12500.0,034310_01,034310_01,1,1.0,True,
