ticker,trade_sequence,legacy_trade_sequence,current_trade_sequence,legacy_present,current_present,legacy_entry_signal_date,current_entry_signal_date,market_cap_reference_date,market_cap_source,source_available_in_legacy_generation,source_available_in_current_generation,delta_classification
000070,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
000150,1,,1,False,True,,2022-11-25,2022-11-25,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221125.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
000240,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
000270,1,1,1,True,True,2023-03-31,2023-03-31,2023-03-31,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230331.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
000370,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
000660,1,1,1,True,True,2023-06-30,2022-03-04,2022-03-04,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220304.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
000810,1,1,1,True,True,2022-12-23,2022-12-16,2022-12-16,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221216.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
000880,1,1,1,True,True,2023-06-30,2023-06-02,2023-06-02,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230602.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
001040,1,1,1,True,True,2023-03-31,2023-01-06,2023-01-06,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230106.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
001130,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
001500,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
001510,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
001680,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
001740,1,1,1,True,True,2023-06-30,2023-06-02,2023-06-02,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230602.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
001800,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
002200,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
003230,1,1,1,True,True,2022-12-23,2022-04-22,2022-04-22,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220422.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
003490,1,1,1,True,True,2025-01-31,2025-01-31,2025-01-31,artifacts/patterns/pattern_a/production/investability/source/krx_market_cap_20250131.csv,True,True,UNCHANGED_BEHAVIORAL_ROW
003550,1,,1,False,True,,2022-08-12,2022-08-12,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220812.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
003720,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
004140,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
004150,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
004170,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
004370,1,1,1,True,True,2022-12-23,2022-02-04,2022-02-04,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220204.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
004370,2,,2,False,True,,2024-05-31,2024-05-31,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240531.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
004800,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
005180,1,,1,False,True,,2023-11-03,2023-11-03,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20231103.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
005380,1,1,1,True,True,2023-06-30,2023-04-07,2023-04-07,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230407.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
005490,1,1,1,True,True,2023-03-31,2023-03-03,2023-03-03,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230303.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
005680,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
005710,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
005740,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
005830,1,1,1,True,True,2022-12-23,2022-12-23,2022-12-23,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221223.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
005850,1,1,1,True,True,2025-03-28,2024-06-07,2024-06-07,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240607.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
005930,1,1,1,True,True,2023-06-30,2023-06-02,2023-06-02,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230602.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
005940,1,,1,False,True,,2024-02-23,2024-02-23,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240223.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
006260,1,,1,False,True,,2022-06-03,2022-06-03,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220603.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
006730,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
006800,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
007340,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
