ticker,trade_sequence,trade_id,structural_match,numeric_match,overall_match,structural_mismatch_count,numeric_mismatch_count,max_numeric_abs_error
000070,1,000070_01,False,True,False,1,0,0.0
000150,1,000150_01,False,False,False,28,12,0.0
000150,2,000150_02,False,False,False,28,12,0.0
000240,1,000240_01,False,True,False,1,0,0.0
000270,1,000270_01,False,True,False,1,0,0.0
000370,1,000370_01,False,True,False,1,0,0.0
000660,1,000660_01,False,False,False,10,12,inf
000660,2,000660_02,False,False,False,28,12,0.0
000810,1,000810_01,False,False,False,4,10,118437092500.0
000880,1,000880_01,False,False,False,7,12,56219051250.0
000880,2,000880_02,False,False,False,28,12,0.0
001040,1,001040_01,False,False,False,7,12,685659453000.0
001040,2,001040_02,False,False,False,28,12,0.0
001130,1,001130_01,False,True,False,1,0,0.0
001500,1,001500_01,False,True,False,1,0,0.0
001510,1,001510_01,False,True,False,1,0,0.0
001680,1,001680_01,False,True,False,1,0,0.0
001740,1,001740_01,False,False,False,3,10,99026871300.0
001800,1,001800_01,False,True,False,1,0,0.0
002200,1,002200_01,False,True,False,1,0,0.0
003230,1,003230_01,False,False,False,7,12,135594270000.0
003230,2,003230_02,False,False,False,28,12,0.0
003490,1,003490_01,True,True,True,0,0,0.0
003550,1,003550_01,False,False,False,28,12,0.0
003550,2,003550_02,False,False,False,28,12,0.0
003720,1,003720_01,False,True,False,1,0,0.0
004140,1,004140_01,False,True,False,1,0,0.0
004150,1,004150_01,False,True,False,1,0,0.0
004170,1,004170_01,False,True,False,1,0,0.0
004370,1,004370_01,False,False,False,9,12,inf
004370,2,004370_02,False,False,False,28,12,0.0
004370,3,004370_03,False,False,False,28,12,0.0
004800,1,004800_01,False,True,False,1,0,0.0
005180,1,005180_01,False,False,False,28,12,0.0
005380,1,005380_01,False,False,False,9,12,inf
005490,1,005490_01,False,False,False,3,10,3044564280000.0
005680,1,005680_01,False,True,False,1,0,0.0
005710,1,005710_01,False,True,False,1,0,0.0
005740,1,005740_01,False,True,False,1,0,0.0
005830,1,005830_01,False,True,False,1,0,0.0
005850,1,005850_01,False,False,False,8,12,62705502000.0
005850,2,005850_02,False,False,False,28,12,0.0
005930,1,005930_01,False,False,False,3,3,34449459204.35
005940,1,005940_01,False,False,False,28,12,0.0
006260,1,006260_01,False,False,False,28,12,0.0
006260,2,006260_02,False,False,False,28,12,0.0
006730,1,006730_01,False,True,False,1,0,0.0
006800,1,006800_01,False,True,False,1,0,0.0
007340,1,007340_01,False,True,False,1,0,0.0
007660,1,007660_01,False,True,False,1,0,0.0
008060,1,008060_01,False,True,False,1,0,0.0
008930,1,008930_01,False,True,False,1,0,0.0
009160,1,009160_01,False,True,False,1,0,0.0
009450,1,009450_01,False,True,False,1,0,0.0
009680,1,009680_01,False,True,False,1,0,0.0
009830,1,009830_01,False,False,False,28,12,0.0
009830,2,009830_02,False,False,False,28,12,0.0
009970,1,009970_01,False,True,False,1,0,0.0
010130,1,010130_01,False,True,False,1,0,0.0
010660,1,010660_01,False,True,False,1,0,0.0
010950,1,010950_01,False,False,False,28,12,0.0
011210,1,011210_01,False,False,False,28,12,0.0
011560,1,011560_01,False,True,False,1,0,0.0
011780,1,011780_01,False,True,False,1,0,0.0
012330,1,012330_01,False,True,False,1,0,0.0
012750,1,012750_01,False,True,False,1,0,0.0
013890,1,013890_01,False,True,False,1,0,0.0
014620,1,014620_01,False,True,False,1,0,0.0
014830,1,014830_01,False,True,False,1,0,0.0
015230,1,015230_01,False,True,False,1,0,0.0
015760,1,015760_01,False,False,False,28,12,0.0
015860,1,015860_01,False,True,False,1,0,0.0
016090,1,016090_01,False,True,False,1,0,0.0
017670,1,017670_01,False,False,False,28,12,0.0
017940,1,017940_01,False,True,False,1,0,0.0
017960,1,017960_01,True,True,True,0,0,0.0
018260,1,018260_01,False,False,False,11,12,inf
018260,2,018260_02,False,False,False,28,12,0.0
018310,1,018310_01,False,True,False,1,0,0.0
