request_index,request_started_at,previous_request_started_at,interval_seconds,endpoint_class,sector_code,page,page_size,http_status,content_type,content_length,response_sha256,response_prefix_sha256,block_markers,elapsed_seconds,secrets_recorded,response_count,response_count_basis
1,2026-09-02T00:45:30.174370+00:00,,,sector_inventory,,,,200,text/html;charset=EUC-KR,88133,abc245829b30dbeb363422f456182bc1d7b985b8bc5b70c4d359fbd4f5a0663c,b0246c49d51b91cd4ceda0a6ce1657e606a6fd357f5864ec458627be1462bf4a,[],0.05,False,79,parsed_rows_from_deduplicated_raw_snapshot
2,2026-09-02T00:45:32.179403+00:00,2026-09-02T00:45:30.174370+00:00,2.005,pagination_probe,286.0,1.0,100.0,200,text/html;charset=EUC-KR,125371,1006ea3d4383720ffee402d0ef724eb0093a171fe69c88663d64481b8895f0cd,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.043,False,59,parsed_rows_from_deduplicated_raw_snapshot
3,2026-09-02T00:45:34.184427+00:00,2026-09-02T00:45:32.179403+00:00,2.005,sector_detail,301.0,1.0,100.0,200,text/html;charset=EUC-KR,61236,3e53333434a8a50639b536488fa0941d34335a892f40fe93ba94ea9e9ad1af17,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.065,False,11,parsed_rows_from_deduplicated_raw_snapshot
4,2026-09-02T00:45:36.189456+00:00,2026-09-02T00:45:34.184427+00:00,2.005,sector_detail,280.0,1.0,100.0,200,text/html;charset=EUC-KR,87784,95a074c2f02c5ab8c952c25f75903654be289b6fd652224288d0fe1dc49240b9,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.051,False,31,parsed_rows_from_deduplicated_raw_snapshot
5,2026-09-02T00:45:38.190837+00:00,2026-09-02T00:45:36.189456+00:00,2.001,sector_detail,285.0,1.0,100.0,200,text/html;charset=EUC-KR,122572,2e31521828c48a72601d2abdf45592343dadac6e09353811a219dc19a7f4d22b,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.061,False,57,parsed_rows_from_deduplicated_raw_snapshot
6,2026-09-02T00:45:40.195843+00:00,2026-09-02T00:45:38.190837+00:00,2.005,sector_detail,305.0,1.0,100.0,200,text/html;charset=EUC-KR,58456,e1eab98693778d8b2ab60a6a1cfc2361cce81796afef3ced6c9144122a6612bc,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.043,False,9,parsed_rows_from_deduplicated_raw_snapshot
7,2026-09-02T00:45:42.200857+00:00,2026-09-02T00:45:40.195843+00:00,2.005,sector_detail,261.0,1.0,100.0,200,text/html;charset=EUC-KR,280567,e217d9aad2e41f60fce34eac9893baf375178147b85cba477397a39e97a7a029,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.095,False,175,parsed_rows_from_deduplicated_raw_snapshot
8,2026-09-02T00:45:44.205862+00:00,2026-09-02T00:45:42.200857+00:00,2.005,sector_detail,261.0,2.0,100.0,200,text/html;charset=EUC-KR,280566,306f2abe97c1e44de9fda119858204f0a903e48a4d20e356299eed762c8401b3,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.091,False,175,parsed_rows_from_deduplicated_raw_snapshot
9,2026-09-02T00:45:46.210911+00:00,2026-09-02T00:45:44.205862+00:00,2.005,sector_detail,268.0,1.0,100.0,200,text/html;charset=EUC-KR,169388,c4ea0450ccb2108e922d1470ce66ec4f326758e22cd08c3eb01de88afda00a47,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.087,False,92,parsed_rows_from_deduplicated_raw_snapshot
10,2026-09-02T00:45:48.215231+00:00,2026-09-02T00:45:46.210911+00:00,2.004,sector_detail,297.0,1.0,100.0,200,text/html;charset=EUC-KR,61008,93e60d6b9fa6bcf340347ed439ae23060b02bebdccb230d5b8794042316953e1,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.044,False,11,parsed_rows_from_deduplicated_raw_snapshot
